time,rnti,frame,slot,mcs,tbs
21:36:41.017787,3836,540,0,0,21
21:36:41.040979,960,542,0,0,21
21:36:42.264022,3836,640,0,0,19
21:36:42.287474,960,642,0,0,21
21:36:43.513558,3836,740,0,0,21
21:36:43.536940,960,742,0,0,21
21:36:44.815949,3836,840,0,0,19
21:36:44.839104,960,842,0,0,21
21:36:45.944458,3836,940,0,0,21
21:36:45.966257,960,942,0,0,21
21:36:47.052406,3836,16,0,0,19
21:36:47.073178,960,18,0,0,21
21:36:48.108973,3836,116,0,0,21
21:36:48.129688,960,118,0,0,21
21:36:49.165937,3836,216,0,0,19
21:36:49.186842,960,218,0,0,21
21:36:50.214799,3836,316,0,0,21
21:36:50.235442,960,318,0,0,21
21:36:51.290627,3836,416,0,0,19
21:36:51.314109,960,418,0,0,21
21:36:51.556150,960,438,15,0,21
21:36:51.614548,960,443,16,0,21
21:36:51.677633,960,449,4,0,21
21:36:51.706871,960,451,14,0,21
21:36:51.765536,960,456,15,0,21
21:36:51.794218,960,459,4,0,21
21:36:51.823278,960,461,14,0,21
21:36:51.882020,960,466,15,0,21
21:36:51.910741,960,469,4,0,21
21:36:52.000896,960,474,5,0,21
21:36:52.051813,960,476,14,0,21
21:36:52.103890,960,478,13,0,21
21:36:52.549833,960,514,15,0,21
21:36:52.565010,3836,516,0,0,21
21:36:52.588767,960,518,0,0,21
21:36:52.609962,960,519,16,0,21
21:36:52.672981,960,525,4,0,21
21:36:52.702914,960,527,14,0,21
21:36:52.762325,960,532,15,0,21
21:36:52.790860,960,535,4,0,21
21:36:52.820299,960,537,14,0,21
21:36:52.849485,960,540,4,0,21
21:36:52.878637,960,542,14,0,21
21:36:52.907581,960,545,4,0,21
21:36:52.933776,960,547,14,0,21
21:36:52.960394,960,550,4,0,21
21:36:52.988036,960,552,16,0,21
21:36:53.006095,960,554,10,0,21
21:36:53.222646,960,570,16,0,21
21:36:53.275335,960,575,16,0,21
21:36:53.333120,960,581,5,0,21
21:36:53.386375,960,586,6,0,21
21:36:53.443273,960,591,14,0,21
21:36:53.469603,960,594,4,0,21
21:36:53.497445,960,596,14,0,21
21:36:53.523769,960,599,4,0,21
21:36:53.550158,960,601,14,0,21
21:36:53.576530,960,604,4,0,21
21:36:53.603013,960,606,14,0,21
21:36:53.629442,960,609,4,0,21
21:36:53.646813,960,610,17,0,15
21:36:53.701174,3836,616,0,0,19
21:36:53.722138,960,618,0,0,21
21:36:53.919712,960,636,15,0,21
21:36:53.945678,960,639,4,0,21
21:36:53.999473,960,644,5,0,21
21:36:54.025681,960,646,14,0,21
21:36:54.101820,960,651,15,0,21
21:36:54.156111,960,654,5,0,21
21:36:54.209789,960,659,6,0,21
21:36:54.268008,960,664,14,0,21
21:36:54.295138,960,667,4,0,21
21:36:54.322895,960,669,14,0,21
21:36:54.349840,960,672,4,0,21
21:36:54.377709,960,674,14,0,21
21:36:54.396380,960,676,7,0,15
21:36:54.505297,3836,686,5,0,21
21:36:54.560898,3836,691,6,0,21
21:36:54.618573,3836,696,14,0,21
21:36:54.645412,3836,699,4,0,21
21:36:54.698887,3836,704,5,0,21
21:36:54.752281,3836,709,6,0,21
21:36:54.777828,3836,711,14,0,21
21:36:54.804266,3836,714,4,0,21
21:36:54.823423,3836,716,0,0,21
21:36:54.831609,3836,716,15,0,21
21:36:54.845124,960,718,0,0,21
21:36:54.885630,3836,721,15,0,21
21:36:54.912073,3836,724,4,0,21
21:36:54.930234,3836,725,17,0,15
21:36:55.324124,960,752,15,0,21
21:36:55.378523,960,757,16,0,21
21:36:55.437291,960,763,5,0,21
21:36:55.491403,960,768,6,0,21
21:36:55.548900,960,773,14,0,21
21:36:55.575369,960,776,4,0,21
21:36:55.633064,960,781,5,0,21
21:36:55.659196,960,783,14,0,21
21:36:55.712995,960,788,15,0,21
21:36:55.739213,960,791,4,0,21
21:36:55.756354,960,792,16,0,21
21:36:55.999844,3836,816,0,0,19
21:36:56.020849,960,818,0,0,21
21:36:56.270784,960,838,15,0,21
21:36:56.324595,960,843,16,0,21
21:36:56.382191,960,849,4,0,21
21:36:56.408875,960,851,14,0,21
21:36:56.462788,960,856,15,0,21
21:36:56.489097,960,859,4,0,21
21:36:56.515872,960,861,14,0,21
21:36:56.570291,960,866,15,0,21
21:36:56.596596,960,869,4,0,21
21:36:56.650508,960,874,5,0,21
21:36:56.676506,960,876,14,0,21
21:36:56.693450,960,878,6,0,21
21:36:57.047848,3836,911,15,0,21
21:36:57.092953,3836,916,0,0,21
21:36:57.101509,3836,916,16,0,21
21:36:57.114247,960,918,0,0,21
21:36:57.206543,3836,922,5,0,21
21:36:57.260024,3836,927,6,0,21
21:36:57.318805,3836,932,14,0,21
21:36:57.346046,3836,935,4,0,21
21:36:57.373321,3836,937,14,0,21
21:36:57.400307,3836,940,4,0,21
21:36:57.427754,3836,942,14,0,21
21:36:57.482132,3836,947,15,0,21
21:36:57.508497,3836,950,4,0,21
21:36:57.526171,3836,951,17,0,15
21:36:57.985091,960,994,15,0,21
21:36:58.038959,960,999,16,0,21
21:36:58.097942,960,1005,5,0,21
21:36:58.151292,960,1010,6,0,21
21:36:58.267885,960,1015,14,0,21
21:36:58.271044,3836,1016,0,0,19
21:36:58.292611,960,1018,0,0,21
21:36:58.295395,960,1018,5,0,21
21:36:58.322285,960,1020,15,0,21
21:36:58.375579,960,1,15,0,21
21:36:58.402009,960,4,4,0,21
21:36:58.429063,960,6,14,0,21
21:36:58.455963,960,9,4,0,21
21:36:58.473622,960,10,17,0,15
21:36:59.069652,960,66,15,0,21
21:36:59.124515,960,71,16,0,21
21:36:59.276398,960,77,6,0,21
21:36:59.334041,960,82,7,0,15
21:36:59.395369,960,87,14,0,21
21:36:59.424066,960,90,4,0,21
21:36:59.444783,3836,92,0,0,21
21:36:59.452855,960,92,14,0,21
21:36:59.467766,960,94,0,0,21
21:36:59.481801,960,95,4,0,21
21:36:59.511095,960,97,14,0,21
21:36:59.540672,960,100,4,0,21
21:36:59.569998,960,102,15,0,21
21:36:59.611339,960,106,6,0,21
21:37:00.045109,3836,143,15,0,21
21:37:00.103866,3836,148,16,0,21
21:37:00.167795,3836,154,5,0,21
21:37:00.246962,3836,159,6,0,21
21:37:00.318749,3836,164,14,0,21
21:37:00.347981,3836,167,4,0,21
21:37:00.406060,3836,172,5,0,21
21:37:00.434266,3836,174,14,0,21
21:37:00.492705,3836,179,15,0,21
21:37:00.521121,3836,182,4,0,21
21:37:00.540189,3836,183,17,0,15
21:37:00.634002,3836,192,0,0,19
