time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
21:36:40.857981,3836,1,529,7,1,0,0,2147483647,-1,1
21:36:40.857981,3836,1,529,7,2,0,0,2147483647,-1,3
21:36:40.857981,3836,1,529,7,4,1,0,800000,8000,13
21:36:40.858231,960,0,529,7,1,0,0,2147483647,-1,1
21:36:40.858232,960,0,529,7,2,0,0,2147483647,-1,3
21:36:40.858232,960,0,529,7,4,1,0,800000,8000,13
21:36:40.858564,3836,1,529,8,1,0,0,2147483647,-1,1
21:36:40.858564,3836,1,529,8,2,0,0,2147483647,-1,3
21:36:40.858565,3836,1,529,8,4,1,0,800000,8000,13
21:36:40.858814,960,0,529,8,1,0,0,2147483647,-1,1
21:36:40.858815,960,0,529,8,2,0,0,2147483647,-1,3
21:36:40.858815,960,0,529,8,4,1,0,800000,8000,13
21:36:40.859139,3836,1,529,9,1,0,0,2147483647,-1,1
21:36:40.859140,3836,1,529,9,2,0,0,2147483647,-1,3
21:36:40.859140,3836,1,529,9,4,1,0,800000,8000,13
21:36:40.859383,960,0,529,9,1,0,0,2147483647,-1,1
21:36:40.859383,960,0,529,9,2,0,0,2147483647,-1,3
21:36:40.859383,960,0,529,9,4,1,0,800000,8000,13
21:36:40.864075,3836,1,529,17,1,0,0,2147483647,-1,1
21:36:40.864075,3836,1,529,17,2,0,0,2147483647,-1,3
21:36:40.864076,3836,1,529,17,4,1,0,800000,8000,13
21:36:40.864332,960,0,529,17,1,0,0,2147483647,-1,1
21:36:40.864333,960,0,529,17,2,0,0,2147483647,-1,3
21:36:40.864333,960,0,529,17,4,1,0,800000,8000,13
21:36:40.864686,3836,1,529,18,1,0,0,2147483647,-1,1
21:36:40.864686,3836,1,529,18,2,0,0,2147483647,-1,3
21:36:40.864687,3836,1,529,18,4,1,0,800000,8000,13
21:36:40.865036,960,0,529,18,1,0,0,2147483647,-1,1
21:36:40.865036,960,0,529,18,2,0,0,2147483647,-1,3
21:36:40.865037,960,0,529,18,4,1,0,800000,8000,13
21:36:40.865249,3836,1,529,19,1,0,0,2147483647,-1,1
21:36:40.865250,3836,1,529,19,2,0,0,2147483647,-1,3
21:36:40.865250,3836,1,529,19,4,1,0,800000,8000,13
21:36:40.865500,960,0,529,19,1,0,0,2147483647,-1,1
21:36:40.865501,960,0,529,19,2,0,0,2147483647,-1,3
21:36:40.865501,960,0,529,19,4,1,0,800000,8000,13
21:36:40.870184,3836,1,530,7,1,0,0,2147483647,-1,1
21:36:40.870185,3836,1,530,7,2,0,0,2147483647,-1,3
21:36:40.870185,3836,1,530,7,4,1,0,800000,8000,13
21:36:40.870434,960,0,530,7,1,0,0,2147483647,-1,1
21:36:40.870434,960,0,530,7,2,0,0,2147483647,-1,3
