time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
21:42:19.330963,0,35021,624,100,0,0,28,28,0,28,1,1,1000000,981697,983528,50000,150000,3,1
21:42:19.393999,0,45239,630,100,0,0,28,28,0,28,1,1,1000000,990950,991855,50000,150000,3,1
21:42:20.462714,0,35021,724,100,0,0,28,28,0,28,1,1,1000000,983528,985175,50000,150000,3,1
21:42:20.536849,0,45239,730,100,0,0,28,28,0,28,1,1,1000000,991855,992669,50000,150000,3,1
21:42:21.710728,0,35021,824,100,0,0,28,28,0,28,1,1,1000000,985175,986657,50000,150000,3,1
21:42:21.784488,0,45239,830,100,0,0,28,28,0,28,1,1,1000000,992669,993402,50000,150000,3,1
21:42:23.025955,0,35021,924,100,0,0,28,28,0,28,1,1,1000000,986657,987991,50000,150000,3,1
21:42:23.098182,0,45239,930,100,0,0,28,28,0,28,1,1,1000000,993402,994062,50000,150000,3,1
21:42:24.275616,0,35021,0,100,0,0,28,28,0,28,1,1,1000000,987991,989192,50000,150000,3,1
21:42:24.347617,0,45239,6,100,0,0,28,28,0,28,1,1,1000000,994062,994656,50000,150000,3,1
21:42:25.475820,0,35021,100,100,0,0,28,28,0,28,1,1,1000000,989192,990273,50000,150000,3,1
21:42:25.547768,0,45239,106,100,0,0,28,28,0,28,1,1,1000000,994656,995190,50000,150000,3,1
21:42:26.699681,0,35021,200,100,0,0,28,28,0,28,1,1,1000000,990273,991246,50000,150000,3,1
21:42:26.771404,0,45239,206,100,0,0,28,28,0,28,1,1,1000000,995190,995671,50000,150000,3,1
21:42:27.927185,0,35021,300,100,0,0,28,28,0,28,1,1,1000000,991246,992121,50000,150000,3,1
21:42:28.023587,0,45239,306,100,0,0,28,28,0,28,1,1,1000000,995671,996104,50000,150000,3,1
21:42:29.181640,0,35021,400,100,0,0,28,28,0,28,1,1,1000000,992121,992909,50000,150000,3,1
21:42:29.254467,0,45239,406,100,0,0,28,28,0,28,1,1,1000000,996104,996493,50000,150000,3,1
21:42:29.884931,0,35021,457,57,0,0,28,28,0,28,1,1,1000000,992909,993618,50000,150000,3,1
21:42:29.975789,0,35021,462,5,0,0,28,28,0,28,-1,-1,-1,993618,993618,50000,150000,0,0
21:42:30.039229,0,35021,468,11,0,0,28,28,0,28,2,2,1000000,993618,994256,50000,150000,3,1
21:42:30.067998,0,35021,470,2,0,0,28,28,0,28,-1,-1,-1,994256,994256,50000,150000,0,0
21:42:30.171530,0,45239,479,73,0,0,28,28,0,28,1,1,1000000,996493,996844,50000,150000,3,1
21:42:30.234527,0,45239,485,6,0,0,28,28,0,28,-1,-1,-1,996844,996844,50000,150000,0,0
21:42:30.239628,0,35021,486,18,0,0,28,28,0,28,2,2,1000000,994256,994830,50000,150000,3,1
21:42:30.259060,0,45239,488,9,0,0,28,28,0,28,-1,-1,-1,996844,996844,50000,150000,0,0
21:42:30.401141,0,35021,497,11,0,0,28,28,0,28,1,1,1000000,994830,995347,50000,150000,3,1
21:42:30.413885,0,45239,498,19,0,0,28,28,0,28,3,3,1000000,996844,997160,50000,150000,3,1
21:42:30.431978,0,35021,500,3,0,0,28,28,0,28,-1,-1,-1,995347,995347,50000,150000,0,0
21:42:30.439068,0,45239,500,2,0,0,28,28,0,28,-1,-1,-1,997160,997160,50000,150000,0,0
21:42:30.475899,0,45239,503,5,0,0,28,28,0,28,-1,-1,-1,997160,997160,50000,150000,0,0
21:42:30.504342,0,45239,506,8,0,0,28,28,0,28,-1,-1,-1,997160,997160,50000,150000,0,0
21:42:30.516995,0,35021,507,10,0,0,28,28,0,28,2,2,1000000,995347,995813,50000,150000,3,1
21:42:30.582039,0,45239,513,15,0,0,28,28,0,28,4,4,1000000,997160,997444,50000,150000,2,1
21:42:30.622912,0,35021,517,10,0,0,28,28,0,28,1,1,1000000,995813,996231,50000,150000,3,1
21:42:30.688581,0,45239,524,11,0,0,28,28,0,28,1,1,1000000,997444,997699,50000,150000,3,1
21:42:30.725533,0,35021,527,10,0,0,28,28,0,28,1,1,1000000,996231,996608,50000,150000,3,1
21:42:30.743545,0,35021,529,2,0,0,28,28,0,28,-1,-1,-1,996608,996608,50000,150000,0,0
21:42:30.766216,0,45239,531,7,0,0,28,28,0,28,-1,-1,-1,997699,997699,50000,150000,0,0
21:42:30.791230,0,45239,534,10,0,0,28,28,0,28,2,2,1000000,997699,997929,50000,150000,3,1
21:42:30.816588,0,45239,536,2,0,0,28,28,0,28,-1,-1,-1,997929,997929,50000,150000,0,0
21:42:30.842153,0,45239,539,5,0,0,28,28,0,28,-1,-1,-1,997929,997929,50000,150000,0,0
21:42:30.871621,0,45239,541,7,0,0,28,28,0,28,-1,-1,-1,997929,997929,50000,150000,0,0
21:42:30.890968,0,45239,543,9,0,0,28,28,0,28,-1,-1,-1,997929,997929,50000,150000,0,0
21:42:31.541700,0,35021,600,73,0,0,28,28,0,28,2,2,1000000,996608,996947,50000,150000,3,1
21:42:31.610218,0,45239,606,72,0,0,28,28,0,28,5,5,1000000,997929,998136,50000,150000,2,1
21:42:32.781452,0,35021,700,100,0,0,28,28,0,28,1,1,1000000,996947,997253,50000,150000,3,1
21:42:32.850623,0,45239,706,100,0,0,28,28,0,28,1,1,1000000,998136,998323,50000,150000,3,1
21:42:33.935144,0,35021,800,100,0,0,28,28,0,28,1,1,1000000,997253,997527,50000,150000,3,1
21:42:34.019023,0,45239,806,100,0,0,28,28,0,28,1,1,1000000,998323,998490,50000,150000,3,1
21:42:35.106058,0,35021,900,100,0,0,28,28,0,28,1,1,1000000,997527,997774,50000,150000,3,1
21:42:35.173635,0,45239,906,100,0,0,28,28,0,28,1,1,1000000,998490,998641,50000,150000,3,1
21:42:36.257197,0,35021,1000,100,0,0,28,28,0,28,1,1,1000000,997774,997997,50000,150000,3,1
21:42:36.329513,0,45239,1006,100,0,0,28,28,0,28,1,1,1000000,998641,998777,50000,150000,3,1
21:42:37.476676,0,35021,76,100,0,0,28,28,0,28,1,1,1000000,997997,998197,50000,150000,3,1
21:42:37.545744,0,45239,82,100,0,0,28,28,0,28,1,1,1000000,998777,998899,50000,150000,3,1
21:42:38.664659,0,35021,176,100,0,0,28,28,0,28,1,1,1000000,998197,998378,50000,150000,3,1
21:42:38.734746,0,45239,182,100,0,0,28,28,0,28,1,1,1000000,998899,999009,50000,150000,3,1
21:42:39.843157,0,35021,276,100,0,0,28,28,0,28,1,1,1000000,998378,998540,50000,150000,3,1
21:42:39.906179,0,45239,282,100,0,0,28,28,0,28,1,1,1000000,999009,999108,50000,150000,3,1
21:42:40.994807,0,35021,376,100,0,0,28,28,0,28,1,1,1000000,998540,998686,50000,150000,3,1
21:42:41.058510,0,45239,382,100,0,0,28,28,0,28,1,1,1000000,999108,999197,50000,150000,3,1
21:42:42.078725,0,35021,476,100,0,0,28,28,0,28,1,1,1000000,998686,998817,50000,150000,3,1
21:42:42.142830,0,45239,482,100,0,0,28,28,0,28,1,1,1000000,999197,999278,50000,150000,3,1
21:42:43.192537,0,35021,576,100,0,0,28,28,0,28,1,1,1000000,998817,998935,50000,150000,3,1
21:42:43.255513,0,45239,582,100,0,0,28,28,0,28,1,1,1000000,999278,999350,50000,150000,3,1
21:42:44.262428,0,35021,676,100,0,0,28,28,0,28,1,1,1000000,998935,999042,50000,150000,3,1
21:42:44.325509,0,45239,682,100,0,0,28,28,0,28,1,1,1000000,999350,999415,50000,150000,3,1
21:42:45.328845,0,35021,776,100,0,0,28,28,0,28,1,1,1000000,999042,999138,50000,150000,3,1
21:42:45.391325,0,45239,782,100,0,0,28,28,0,28,1,1,1000000,999415,999473,50000,150000,3,1
21:42:46.468422,0,35021,876,100,0,0,28,28,0,28,1,1,1000000,999138,999224,50000,150000,3,1
21:42:46.531087,0,45239,882,100,0,0,28,28,0,28,1,1,1000000,999473,999526,50000,150000,3,1
21:42:47.537408,0,35021,976,100,0,0,28,28,0,28,1,1,1000000,999224,999301,50000,150000,3,1
21:42:47.599971,0,45239,982,100,0,0,28,28,0,28,1,1,1000000,999526,999573,50000,150000,3,1
21:42:48.663726,0,35021,52,100,0,0,28,28,0,28,1,1,1000000,999301,999371,50000,150000,3,1
21:42:48.724910,0,45239,58,100,0,0,28,28,0,28,1,1,1000000,999573,999616,50000,150000,3,1
21:42:49.808296,0,35021,152,100,0,0,28,28,0,28,1,1,1000000,999371,999434,50000,150000,3,1
21:42:49.871148,0,45239,158,100,0,0,28,28,0,28,1,1,1000000,999616,999654,50000,150000,3,1
21:42:50.909120,0,35021,252,100,0,0,28,28,0,28,1,1,1000000,999434,999491,50000,150000,3,1
21:42:50.972257,0,45239,258,100,0,0,28,28,0,28,1,1,1000000,999654,999689,50000,150000,3,1
21:42:52.105846,0,35021,352,100,0,0,28,28,0,28,1,1,1000000,999491,999541,50000,150000,3,1
21:42:52.174774,0,45239,358,100,0,0,28,28,0,28,1,1,1000000,999689,999720,50000,150000,3,1
21:42:53.412434,0,35021,452,100,0,0,28,28,0,28,1,1,1000000,999541,999587,50000,150000,3,1
21:42:53.480507,0,45239,458,100,0,0,28,28,0,28,1,1,1000000,999720,999748,50000,150000,3,1
21:42:54.673054,0,35021,552,100,0,0,28,28,0,28,1,1,1000000,999587,999628,50000,150000,3,1
21:42:54.741536,0,45239,558,100,0,0,28,28,0,28,1,1,1000000,999748,999773,50000,150000,3,1
21:42:55.826873,0,35021,652,100,0,0,28,28,0,28,1,1,1000000,999628,999666,50000,150000,3,1
21:42:55.895732,0,45239,658,100,0,0,28,28,0,28,1,1,1000000,999773,999796,50000,150000,3,1
21:42:57.062179,0,35021,752,100,0,0,28,28,0,28,1,1,1000000,999666,999699,50000,150000,3,1
21:42:57.129621,0,45239,758,100,0,0,28,28,0,28,1,1,1000000,999796,999816,50000,150000,3,1
21:42:58.232143,0,35021,852,100,0,0,28,28,0,28,1,1,1000000,999699,999729,50000,150000,3,1
21:42:58.299682,0,45239,858,100,0,0,28,28,0,28,1,1,1000000,999816,999834,50000,150000,3,1
21:42:59.515268,0,35021,952,100,0,0,28,28,0,28,1,0,0,999729,899756,50000,150000,3,1
21:42:59.582960,0,45239,958,100,0,0,28,28,0,28,1,1,1000000,999834,999851,50000,150000,3,1
21:43:00.767226,0,35021,28,100,0,0,28,28,0,28,1,1,1000000,899756,909780,50000,150000,3,1
21:43:00.836438,0,45239,34,100,0,0,28,28,0,28,1,1,1000000,999851,999866,50000,150000,3,1
21:43:01.912206,0,35021,128,100,0,0,28,28,0,28,1,1,1000000,909780,918802,50000,150000,3,1
21:43:02.009037,0,45239,134,100,0,0,28,28,0,28,1,1,1000000,999866,999879,50000,150000,3,1
21:43:03.112324,0,35021,228,100,0,0,28,28,0,28,1,1,1000000,918802,926922,50000,150000,3,1
21:43:03.180699,0,45239,234,100,0,0,28,28,0,28,1,1,1000000,999879,999891,50000,150000,3,1
21:43:04.363284,0,35021,328,100,0,0,28,28,0,28,1,1,1000000,926922,934230,50000,150000,3,1
21:43:04.435467,0,45239,334,100,0,0,28,28,0,28,1,1,1000000,999891,999902,50000,150000,3,1
21:43:05.597050,0,35021,428,100,0,0,28,28,0,28,1,1,1000000,934230,940807,50000,150000,3,1
21:43:05.768654,0,45239,434,100,0,0,28,28,0,28,1,1,1000000,999902,999912,50000,150000,3,1
21:43:06.907964,0,35021,528,100,0,0,28,28,0,28,1,1,1000000,940807,946726,50000,150000,3,1
21:43:06.967242,0,45239,534,100,0,0,28,28,0,28,1,1,1000000,999912,999921,50000,150000,3,1
21:43:07.901415,0,35021,628,100,0,0,28,28,0,28,1,1,1000000,946726,952053,50000,150000,3,1
21:43:07.978972,0,45239,634,100,0,0,28,28,0,28,1,1,1000000,999921,999928,50000,150000,3,1
21:43:09.065783,0,35021,728,100,0,0,28,28,0,28,1,1,1000000,952053,956848,50000,150000,3,1
21:43:09.125275,0,45239,734,100,0,0,28,28,0,28,1,1,1000000,999928,999936,50000,150000,3,1
21:43:10.080140,0,35021,828,100,0,0,28,28,0,28,1,1,1000000,956848,961163,50000,150000,3,1
21:43:10.139218,0,45239,834,100,0,0,28,28,0,28,1,1,1000000,999936,999942,50000,150000,3,1
21:43:11.135596,0,35021,928,100,0,0,28,28,0,28,1,1,1000000,961163,965047,50000,150000,3,1
21:43:11.194946,0,45239,934,100,0,0,28,28,0,28,1,0,0,999942,899948,50000,150000,3,1
21:43:12.139576,0,35021,4,100,0,0,28,28,0,28,1,1,1000000,965047,968542,50000,150000,3,1
21:43:12.199395,0,45239,10,100,0,0,28,28,0,28,1,1,1000000,899948,909953,50000,150000,3,1
21:43:13.205118,0,35021,104,100,0,0,28,28,0,28,1,1,1000000,968542,971688,50000,150000,3,1
21:43:13.273007,0,45239,110,100,0,0,28,28,0,28,1,1,1000000,909953,918958,50000,150000,3,1
21:43:14.418240,0,35021,204,100,0,0,28,28,0,28,1,1,1000000,971688,974519,50000,150000,3,1
21:43:14.487189,0,45239,210,100,0,0,28,28,0,28,1,1,1000000,918958,927062,50000,150000,3,1
21:43:15.600871,0,35021,304,100,0,0,28,28,0,28,1,1,1000000,974519,977067,50000,150000,3,1
21:43:15.666476,0,45239,310,100,0,0,28,28,0,28,1,1,1000000,927062,934356,50000,150000,3,1
21:43:16.828165,0,35021,404,100,0,0,28,28,0,28,1,1,1000000,977067,979360,50000,150000,3,1
21:43:16.908096,0,45239,410,100,0,0,28,28,0,28,1,1,1000000,934356,940920,50000,150000,3,1
21:43:18.100056,0,35021,504,100,0,0,28,28,0,28,1,1,1000000,979360,981424,50000,150000,3,1
21:43:18.169163,0,45239,510,100,0,0,28,28,0,28,1,1,1000000,940920,946828,50000,150000,3,1
21:43:19.452032,0,35021,604,100,0,0,28,28,0,28,1,1,1000000,981424,983282,50000,150000,3,1
21:43:19.519445,0,45239,610,100,0,0,28,28,0,28,1,1,1000000,946828,952145,50000,150000,3,1
21:43:20.705229,0,35021,704,100,0,0,28,28,0,28,1,0,0,983282,884954,50000,150000,3,1
21:43:20.775161,0,45239,710,100,0,0,28,28,0,28,1,1,1000000,952145,956930,50000,150000,3,1
21:43:21.955593,0,35021,804,100,0,0,28,28,0,28,1,1,1000000,884954,896458,50000,150000,3,1
21:43:22.024789,0,45239,810,100,0,0,28,28,0,28,1,1,1000000,956930,961237,50000,150000,3,1
21:43:23.203858,0,35021,904,100,0,0,28,28,0,28,1,1,1000000,896458,906812,50000,150000,3,1
21:43:23.274161,0,45239,910,100,0,0,28,28,0,28,1,1,1000000,961237,965114,50000,150000,3,1
