time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
21:43:57.837215,1,7,0,35021,801,2,801,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,4,2
21:43:57.858718,1,7,0,45239,803,2,803,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
21:43:57.962933,1,7,0,35021,811,2,811,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,2,4,2
21:43:57.983825,1,7,0,45239,813,2,813,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,4,2
21:43:58.070820,1,7,0,35021,821,2,821,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,4,2
21:43:58.092396,1,7,0,45239,823,2,823,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,4,2
21:43:58.179929,1,7,0,35021,831,2,831,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
21:43:58.189720,0,1,0,35021,832,0,832,0,0,0,0,5,1,12,152,14,1,0,0,2,1200,2,12,2
21:43:58.200663,0,1,0,35021,832,14,832,14,0,0,0,5,1,12,152,14,0,2,1,2,1200,2,12,2
21:43:58.203371,1,7,0,45239,833,2,833,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,4,2
21:43:58.210180,0,1,0,35021,833,14,833,14,0,0,0,5,1,12,152,14,0,3,2,2,1200,2,12,2
21:43:58.221480,0,1,0,35021,834,14,834,14,0,0,0,5,1,12,152,14,0,1,3,2,1200,2,12,2
21:43:58.256416,0,1,0,45239,838,0,838,0,0,0,0,5,1,13,168,15,1,0,0,2,1200,2,12,2
21:43:58.264138,0,1,0,45239,838,14,838,14,0,0,0,5,1,13,168,15,0,2,1,2,1200,2,2,2
21:43:58.275630,0,1,0,45239,839,14,839,14,0,0,0,5,1,13,168,15,0,3,2,2,1200,2,2,2
