time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
21:24:23.412295,960,857,8,60,48,1,101,0,5,8,890
21:24:23.480200,3836,863,8,60,48,1,101,0,5,8,890
21:24:23.525385,960,867,8,60,48,2,101,0,5,8,890
21:24:23.593967,3836,873,8,60,48,1,101,0,5,8,890
21:24:23.638796,960,877,8,60,48,1,101,0,5,8,890
21:24:23.707913,3836,883,8,60,48,2,101,0,5,8,890
21:24:23.753435,960,887,8,60,48,1,101,0,5,8,890
21:24:23.821711,3836,893,8,60,48,1,101,0,5,8,890
21:24:23.866902,960,897,8,60,48,1,101,0,5,8,890
21:24:23.959710,3836,903,8,55,48,1,101,0,5,8,890
21:24:24.005001,960,907,8,60,48,1,101,0,5,8,890
21:24:24.072941,3836,913,8,60,48,1,101,0,5,8,890
21:24:24.118137,960,917,8,60,48,2,101,0,5,8,890
21:24:24.186453,3836,923,8,60,48,1,101,0,5,8,890
21:24:24.232169,960,927,8,60,48,1,101,0,5,8,890
21:24:24.300724,3836,933,8,60,48,2,101,0,5,8,890
21:24:24.346754,960,937,8,60,48,1,101,0,5,8,890
21:24:24.416309,3836,943,8,60,48,1,101,0,5,8,890
21:24:24.462501,960,947,8,60,48,1,101,0,5,8,890
21:24:24.531048,3836,953,8,60,48,1,101,0,5,8,890
21:24:24.576220,960,957,8,60,48,2,101,0,5,8,890
21:24:24.644379,3836,963,8,60,48,1,101,0,5,8,890
21:24:24.690291,960,967,8,60,48,1,101,0,5,8,890
21:24:24.758817,3836,973,8,60,48,1,101,0,5,8,890
21:24:24.804813,960,977,8,60,48,1,101,0,5,8,890
21:24:24.873054,3836,983,8,60,48,2,101,0,5,8,890
21:24:24.918709,960,987,8,60,48,1,101,0,5,8,890
21:24:25.006259,3836,993,8,60,48,1,101,0,5,8,890
21:24:25.051735,960,997,8,60,48,1,101,0,5,8,890
21:24:25.120248,3836,1003,8,60,48,1,101,0,5,8,890
21:24:25.167261,960,1007,8,60,48,2,101,0,5,8,890
21:24:25.235661,3836,1013,8,60,48,1,101,0,5,8,890
21:24:25.281261,960,1017,8,60,48,1,101,0,5,8,890
21:24:25.351362,3836,1023,8,60,48,2,101,0,5,8,890
21:24:25.397249,960,3,8,60,48,1,101,0,5,8,890
21:24:25.470249,3836,9,8,60,48,1,101,0,5,8,890
21:24:25.517354,960,13,8,60,48,1,101,0,5,8,890
21:24:25.636164,3836,19,8,60,48,1,101,0,5,8,890
21:24:25.687097,960,23,8,60,48,1,101,0,5,8,890
21:24:25.757386,3836,29,8,60,48,1,101,0,5,8,890
21:24:25.802889,960,33,8,60,48,2,101,0,5,8,890
21:24:25.871106,3836,39,8,60,48,1,101,0,5,8,890
21:24:25.917277,960,43,8,60,48,1,101,0,5,8,890
21:24:25.987007,3836,49,8,60,48,2,101,0,5,8,890
21:24:26.034417,960,53,8,60,48,1,101,0,5,8,890
21:24:26.104152,3836,59,8,60,48,1,101,0,5,8,890
21:24:26.150707,960,63,8,60,48,1,101,0,5,8,890
21:24:26.220475,3836,69,8,60,48,1,101,0,5,8,890
21:24:26.266763,960,73,8,60,48,1,101,0,5,8,890
21:24:26.336982,3836,79,8,60,48,1,101,0,5,8,890
21:24:26.383391,960,83,8,60,48,2,101,0,5,8,890
21:24:26.453569,3836,89,8,60,48,1,101,0,5,8,890
21:24:26.499728,960,93,8,60,48,1,101,0,5,8,890
21:24:26.571283,3836,99,8,60,48,2,101,0,5,8,890
21:24:26.664754,960,103,8,60,48,1,101,0,5,8,890
21:24:26.735289,3836,109,8,60,48,1,101,0,5,8,890
21:24:26.781050,960,113,8,60,48,1,101,0,5,8,890
21:24:26.851142,3836,119,8,60,48,1,101,0,5,8,890
21:24:26.897446,960,123,8,60,48,2,101,0,5,8,890
21:24:26.968361,3836,129,8,60,48,1,101,0,5,8,890
21:24:27.014974,960,133,8,55,48,1,101,0,5,8,890
21:24:27.084126,3836,139,8,60,48,1,101,0,5,8,890
21:24:27.130286,960,143,8,65,48,1,101,0,5,8,890
21:24:27.199437,3836,149,8,60,48,2,101,0,5,8,890
21:24:27.245310,960,153,8,60,48,1,101,0,5,8,890
21:24:27.314388,3836,159,8,60,48,1,101,0,5,8,890
21:24:27.360337,960,163,8,60,48,1,101,0,5,8,890
21:24:27.428907,3836,169,8,60,48,1,101,0,5,8,890
21:24:27.474471,960,173,8,60,48,2,101,0,5,8,890
21:24:27.542667,3836,179,8,60,48,1,101,0,5,8,890
21:24:27.587898,960,183,8,60,48,1,101,0,5,8,890
21:24:27.656675,3836,189,8,60,48,2,101,0,5,8,890
21:24:27.702605,960,193,8,60,48,1,101,0,5,8,890
21:24:27.773149,3836,199,8,60,48,1,101,0,5,8,890
21:24:27.821050,960,203,8,60,48,1,101,0,5,8,890
21:24:27.890918,3836,209,8,60,48,1,101,0,5,8,890
21:24:27.963433,960,213,8,60,48,1,101,0,5,8,890
21:24:28.033294,3836,219,8,60,48,1,101,0,5,8,890
21:24:28.079759,960,223,8,60,48,2,101,0,5,8,890
21:24:28.149116,3836,229,8,60,48,1,101,0,5,8,890
21:24:28.193950,960,233,8,60,48,1,101,0,5,8,890
21:24:28.262214,3836,239,8,60,48,2,101,0,5,8,890
21:24:28.308031,960,243,8,60,48,1,101,0,5,8,890
21:24:28.376624,3836,249,8,55,48,1,101,0,5,8,890
21:24:28.422057,960,253,8,60,48,1,101,0,5,8,890
21:24:28.489919,3836,259,8,60,48,1,101,0,5,8,890
21:24:28.535354,960,263,8,60,48,2,101,0,5,8,890
21:24:28.603708,3836,269,8,60,48,1,101,0,5,8,890
21:24:28.650291,960,273,8,60,48,1,101,0,5,8,890
21:24:28.719505,3836,279,8,60,48,1,101,0,5,8,890
21:24:28.765949,960,283,8,60,48,1,101,0,5,8,890
21:24:28.834851,3836,289,8,60,48,2,101,0,5,8,890
21:24:28.880484,960,293,8,60,48,1,101,0,5,8,890
21:24:28.970882,3836,299,8,60,48,1,101,0,5,8,890
21:24:29.017437,960,303,8,60,48,1,101,0,5,8,890
21:24:29.086935,3836,309,8,60,48,1,101,0,5,8,890
21:24:29.132702,960,313,8,60,48,2,101,0,5,8,890
21:24:29.201308,3836,319,8,55,48,1,101,0,5,8,890
21:24:29.246784,960,323,8,65,48,1,101,0,5,8,890
21:24:29.315363,3836,329,8,60,48,2,101,0,5,8,890
21:24:29.361283,960,333,8,60,48,1,101,0,5,8,890
21:24:29.429680,3836,339,8,60,48,1,101,0,5,8,890
21:24:29.475656,960,343,8,60,48,1,101,0,5,8,890
21:24:29.545247,3836,349,8,60,48,1,101,0,5,8,890
21:24:29.591309,960,353,8,60,48,1,101,0,5,8,890
21:24:29.660501,3836,359,8,60,48,1,101,0,5,8,890
