time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
21:24:23.473995,1,7,0,3836,863,2,863,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,10,2
21:24:23.519061,1,7,0,960,867,2,867,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,2,4,2
21:24:23.587226,1,7,0,3836,873,2,873,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,10,2
21:24:23.632596,1,7,0,960,877,2,877,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,4,2
21:24:23.701388,1,7,0,3836,883,2,883,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,2,10,2
21:24:23.747401,1,7,0,960,887,2,887,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
21:24:23.815025,1,7,0,3836,893,2,893,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,10,2
21:24:23.860850,1,7,0,960,897,2,897,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,4,2
21:24:23.928811,1,7,0,3836,903,2,903,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,10,2
21:24:23.963286,0,1,0,3836,904,0,904,0,0,0,0,5,1,12,152,15,1,0,0,2,1200,2,2,2
21:24:23.971203,0,1,0,3836,904,14,904,14,0,0,0,5,1,12,152,15,0,2,1,2,1200,2,4,2
21:24:23.982651,0,1,0,3836,905,14,905,14,0,0,0,5,1,12,152,15,0,3,2,2,1200,2,4,2
21:24:23.986371,0,1,0,960,906,0,906,0,0,0,0,5,1,13,168,15,1,0,0,2,1200,2,2,2
21:24:23.994194,0,1,0,3836,906,14,906,14,0,0,0,5,1,12,152,15,0,1,3,2,1200,2,4,2
21:24:23.994487,0,1,0,960,906,14,906,14,0,0,5,5,1,13,168,15,0,2,1,2,1200,2,8,2
21:24:23.999138,1,7,0,960,907,2,907,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
21:24:24.006015,0,1,0,960,907,14,907,14,0,0,0,5,1,13,168,15,0,3,2,2,1200,2,8,2
21:24:24.017184,0,1,0,960,908,14,908,14,0,0,0,5,1,13,168,15,0,1,3,2,1200,2,8,2
21:24:24.066487,1,7,0,3836,913,2,913,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,10,2
21:24:24.112261,1,7,0,960,917,2,917,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,2,4,2
21:24:24.180181,1,7,0,3836,923,2,923,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,10,2
21:24:24.226081,1,7,0,960,927,2,927,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
21:24:24.293899,1,7,0,3836,933,2,933,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,2,10,2
21:24:24.340072,1,7,0,960,937,2,937,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
21:24:24.409938,1,7,0,3836,943,2,943,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,10,2
21:24:24.456301,1,7,0,960,947,2,947,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,4,2
21:24:24.524325,1,7,0,3836,953,2,953,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,10,2
21:24:24.569919,1,7,0,960,957,2,957,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,2,4,2
21:24:24.638330,1,7,0,3836,963,2,963,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,10,2
21:24:24.683852,1,7,0,960,967,2,967,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,4,2
21:24:24.752512,1,7,0,3836,973,2,973,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,10,2
21:24:24.798558,1,7,0,960,977,2,977,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,4,2
21:24:24.866950,1,7,0,3836,983,2,983,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,2,10,2
21:24:24.912391,1,7,0,960,987,2,987,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,4,2
21:24:24.999939,1,7,0,3836,993,2,993,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,10,2
21:24:25.045663,1,7,0,960,997,2,997,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
21:24:25.113923,1,7,0,3836,1003,2,1003,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,10,2
21:24:25.124184,0,1,0,3836,1004,0,1004,0,0,0,0,5,1,13,168,13,1,0,0,2,1200,2,2,2
21:24:25.132217,0,1,0,3836,1004,14,1004,14,0,0,0,5,1,13,168,13,0,2,1,2,1200,2,4,2
21:24:25.144067,0,1,0,3836,1005,14,1005,14,0,0,0,5,1,13,168,13,0,3,2,2,1200,2,4,2
21:24:25.147763,0,1,0,960,1006,0,1006,0,0,0,0,5,1,13,168,2,1,0,0,2,1200,2,2,2
21:24:25.155410,0,1,0,3836,1006,14,1006,14,0,0,0,5,1,13,168,13,0,1,3,2,1200,2,4,2
21:24:25.155799,0,1,0,960,1006,14,1006,14,0,0,5,5,1,13,168,2,0,2,1,2,1200,2,8,2
21:24:25.160714,1,7,0,960,1007,2,1007,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,2,4,2
21:24:25.167977,0,1,0,960,1007,14,1007,14,0,0,0,5,1,13,168,2,0,3,2,2,1200,2,8,2
21:24:25.179864,0,1,0,960,1008,14,1008,14,0,0,0,5,1,13,168,2,0,1,3,2,1200,2,8,2
21:24:25.229447,1,7,0,3836,1013,2,1013,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,10,2
21:24:25.274571,1,7,0,960,1017,2,1017,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,4,2
21:24:25.344615,1,7,0,3836,1023,2,1023,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,2,10,2
21:24:25.391519,1,7,0,960,3,2,3,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,4,2
21:24:25.464262,1,7,0,3836,9,2,9,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,10,2
21:24:25.511359,1,7,0,960,13,2,13,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,4,2
21:24:25.628313,1,7,0,3836,19,2,19,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,10,2
21:24:25.680239,1,7,0,960,23,2,23,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
21:24:25.750974,1,7,0,3836,29,2,29,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,10,2
21:24:25.796831,1,7,0,960,33,2,33,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,2,4,2
21:24:25.864824,1,7,0,3836,39,2,39,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,10,2
21:24:25.910904,1,7,0,960,43,2,43,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
21:24:25.980609,1,7,0,3836,49,2,49,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,2,10,2
21:24:26.028349,1,7,0,960,53,2,53,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,4,2
21:24:26.097779,1,7,0,3836,59,2,59,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,10,2
21:24:26.144569,1,7,0,960,63,2,63,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
21:24:26.214163,1,7,0,3836,69,2,69,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,10,2
21:24:26.260534,1,7,0,960,73,2,73,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
21:24:26.330464,1,7,0,3836,79,2,79,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,10,2
21:24:26.340990,0,1,0,3836,80,0,80,0,0,0,0,5,1,12,152,3,1,0,0,2,1200,2,2,2
21:24:26.349151,0,1,0,3836,80,14,80,14,0,0,0,5,1,12,152,3,0,2,1,2,1200,2,4,2
21:24:26.360394,0,1,0,3836,81,14,81,14,0,0,0,5,1,12,152,3,0,3,2,2,1200,2,4,2
21:24:26.364366,0,1,0,960,82,0,82,0,0,0,0,5,1,13,168,4,1,0,0,2,1200,2,2,2
21:24:26.372200,0,1,0,3836,82,14,82,14,0,0,0,5,1,12,152,3,0,1,3,2,1200,2,4,2
21:24:26.372543,0,1,0,960,82,14,82,14,0,0,5,5,1,13,168,4,0,2,1,2,1200,2,8,2
21:24:26.377161,1,7,0,960,83,2,83,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,2,4,2
21:24:26.384242,0,1,0,960,83,14,83,14,0,0,0,5,1,13,168,4,0,3,2,2,1200,2,8,2
21:24:26.395570,0,1,0,960,84,14,84,14,0,0,0,5,1,13,168,4,0,1,3,2,1200,2,8,2
21:24:26.447358,1,7,0,3836,89,2,89,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,10,2
21:24:26.493737,1,7,0,960,93,2,93,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,4,2
21:24:26.564389,1,7,0,3836,99,2,99,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,2,10,2
21:24:26.658205,1,7,0,960,103,2,103,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,4,2
21:24:26.728394,1,7,0,3836,109,2,109,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,10,2
21:24:26.775241,1,7,0,960,113,2,113,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,4,2
21:24:26.844444,1,7,0,3836,119,2,119,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,10,2
21:24:26.891176,1,7,0,960,123,2,123,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,2,4,2
21:24:26.961408,1,7,0,3836,129,2,129,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,10,2
21:24:27.008976,1,7,0,960,133,2,133,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
21:24:27.077848,1,7,0,3836,139,2,139,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,10,2
21:24:27.123966,1,7,0,960,143,2,143,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,4,2
21:24:27.192911,1,7,0,3836,149,2,149,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,2,10,2
21:24:27.239292,1,7,0,960,153,2,153,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,4,2
21:24:27.308420,1,7,0,3836,159,2,159,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,10,2
21:24:27.354327,1,7,0,960,163,2,163,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,4,2
21:24:27.422500,1,7,0,3836,169,2,169,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,10,2
21:24:27.469057,1,7,0,960,173,2,173,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,2,4,2
21:24:27.536714,1,7,0,3836,179,2,179,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,10,2
21:24:27.546449,0,1,0,3836,180,0,180,0,0,0,0,5,1,13,168,2,1,0,0,2,1200,2,2,2
21:24:27.554396,0,1,0,3836,180,14,180,14,0,0,0,5,1,13,168,2,0,2,1,2,1200,2,4,2
21:24:27.565608,0,1,0,3836,181,14,181,14,0,0,0,5,1,13,168,2,0,3,2,2,1200,2,4,2
21:24:27.569399,0,1,0,960,182,0,182,0,0,0,0,5,1,13,168,5,1,0,0,2,1200,1,2,2
21:24:27.577400,0,1,0,3836,182,14,182,14,0,0,0,5,1,13,168,2,0,1,3,2,1200,2,4,2
21:24:27.577811,0,1,0,960,182,14,182,14,0,0,5,5,1,13,168,5,0,2,1,2,1200,2,8,2
21:24:27.582093,1,7,0,960,183,2,183,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
21:24:27.589110,0,1,0,960,183,14,183,14,0,0,0,5,1,13,168,5,0,3,2,2,1200,2,8,2
21:24:27.600148,0,1,0,960,184,14,184,14,0,0,0,5,1,13,168,5,0,1,3,2,1200,2,8,2
21:24:27.650383,1,7,0,3836,189,2,189,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,2,10,2
21:24:27.696507,1,7,0,960,193,2,193,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,4,2
21:24:27.766369,1,7,0,3836,199,2,199,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,10,2
21:24:27.814413,1,7,0,960,203,2,203,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
21:24:27.884525,1,7,0,3836,209,2,209,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,10,2
21:24:27.931388,1,7,0,960,213,2,213,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,4,2
21:24:28.026877,1,7,0,3836,219,2,219,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,10,2
21:24:28.073686,1,7,0,960,223,2,223,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,2,4,2
21:24:28.142818,1,7,0,3836,229,2,229,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,10,2
21:24:28.188034,1,7,0,960,233,2,233,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
21:24:28.256352,1,7,0,3836,239,2,239,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,2,10,2
21:24:28.301582,1,7,0,960,243,2,243,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,4,2
21:24:28.370411,1,7,0,3836,249,2,249,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,10,2
