time,rnti,frame,slot,mcs,tbs
21:40:51.666120,35021,453,2,8,101
21:40:51.712139,45239,457,2,8,101
21:40:51.781027,35021,463,2,8,101
21:40:51.826612,45239,467,2,8,101
21:40:51.895216,35021,473,2,8,101
21:40:51.940741,45239,477,2,8,101
21:40:52.009485,35021,483,2,8,101
21:40:52.055110,45239,487,2,8,101
21:40:52.170729,35021,493,2,8,101
21:40:52.217770,45239,497,2,8,101
21:40:52.288744,35021,503,2,8,101
21:40:52.334894,45239,507,2,8,101
21:40:52.404647,35021,513,2,8,101
21:40:52.451752,45239,517,2,8,101
21:40:52.523585,35021,523,2,8,101
21:40:52.568904,45239,527,2,8,101
21:40:52.637396,35021,533,2,8,101
21:40:52.682846,45239,537,2,8,101
21:40:52.751199,35021,543,2,8,101
21:40:52.796782,45239,547,2,8,101
21:40:52.865246,35021,553,2,8,101
21:40:52.910652,45239,557,2,8,101
21:40:52.979095,35021,563,2,8,101
21:40:53.073276,45239,567,2,8,101
21:40:53.185924,35021,573,2,8,101
21:40:53.231687,45239,577,2,8,101
21:40:53.299618,35021,583,2,8,101
21:40:53.345051,45239,587,2,8,101
21:40:53.412989,35021,593,2,8,101
21:40:53.458523,45239,597,2,8,101
21:40:53.526468,35021,603,2,8,101
21:40:53.573914,45239,607,2,8,101
21:40:53.646886,35021,613,2,8,101
21:40:53.693803,45239,617,2,8,101
21:40:53.763165,35021,623,2,8,101
21:40:53.808982,45239,627,2,8,101
21:40:53.877616,35021,633,2,8,101
21:40:53.923992,45239,637,2,8,101
21:40:53.992747,35021,643,2,8,101
21:40:54.040957,45239,647,2,8,101
21:40:54.157727,35021,653,2,8,101
21:40:54.214787,45239,657,2,8,101
21:40:54.283127,35021,663,2,8,101
21:40:54.328122,45239,667,2,8,101
21:40:54.395717,35021,673,2,8,101
21:40:54.440502,45239,677,2,8,101
21:40:54.508057,35021,683,2,8,101
21:40:54.552928,45239,687,2,8,101
21:40:54.621640,35021,693,2,8,101
21:40:54.667026,45239,697,2,8,101
21:40:54.735239,35021,703,2,8,101
21:40:54.780290,45239,707,2,8,101
21:40:54.848313,35021,713,2,8,101
21:40:54.893224,45239,717,2,8,101
21:40:54.960775,35021,723,2,8,101
21:40:55.006294,45239,727,2,8,101
21:40:55.074123,35021,733,2,8,101
21:40:55.119822,45239,737,2,8,101
21:40:55.196247,35021,743,2,8,101
21:40:55.252779,45239,747,2,8,101
21:40:55.321792,35021,753,2,8,101
21:40:55.367838,45239,757,2,8,101
21:40:55.436337,35021,763,2,8,101
21:40:55.482086,45239,767,2,8,101
21:40:55.551075,35021,773,2,8,101
21:40:55.596752,45239,777,2,8,101
21:40:55.664649,35021,783,2,8,101
21:40:55.710218,45239,787,2,8,101
21:40:55.778908,35021,793,2,8,101
21:40:55.824583,45239,797,2,8,101
21:40:55.892662,35021,803,2,8,101
21:40:55.937974,45239,807,2,8,101
21:40:56.009594,35021,813,2,8,101
