time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
21:20:08.644298,960,804,15,1,0,0
21:20:08.644299,960,804,15,4,3,0
21:20:08.702806,960,809,16,1,0,0
21:20:08.702807,960,809,16,4,3,0
21:20:08.765221,960,815,5,1,0,0
21:20:08.765222,960,815,5,4,3,0
21:20:08.823033,960,820,6,1,0,0
21:20:08.823035,960,820,6,4,3,0
21:20:08.850338,960,822,14,1,0,0
21:20:08.850339,960,822,14,4,3,0
21:20:08.878822,960,825,4,1,0,0
21:20:08.878823,960,825,4,4,3,0
21:20:08.907376,960,827,14,1,0,0
21:20:08.907377,960,827,14,4,3,0
21:20:08.935706,960,830,4,1,0,0
21:20:08.935707,960,830,4,4,3,0
21:20:08.964264,960,832,14,1,0,0
21:20:08.964266,960,832,14,4,3,0
21:20:08.992829,960,835,4,1,0,0
21:20:08.992830,960,835,4,4,3,0
21:20:09.021372,960,837,14,1,0,0
21:20:09.021374,960,837,14,4,3,0
21:20:09.049806,960,840,4,1,0,0
21:20:09.049807,960,840,4,4,3,0
21:20:09.078119,960,842,14,1,0,0
21:20:09.078120,960,842,14,4,3,0
21:20:09.096303,960,844,6,1,0,0
21:20:09.096304,960,844,6,4,3,0
21:20:09.384156,3836,869,15,1,0,0
21:20:09.384157,3836,869,15,4,3,0
21:20:09.412170,3836,872,4,1,0,0
21:20:09.412171,3836,872,4,4,3,0
21:20:09.440619,3836,874,14,1,0,0
21:20:09.440620,3836,874,14,4,3,0
21:20:09.469262,3836,877,4,1,0,0
21:20:09.469263,3836,877,4,4,3,0
21:20:09.566975,3836,882,10,1,0,0
21:20:09.566976,3836,882,10,4,3,0
21:20:09.657070,3836,887,6,1,0,0
21:20:09.657072,3836,887,6,4,3,0
21:20:09.719046,3836,892,15,1,0,0
21:20:09.719048,3836,892,15,4,3,0
21:20:09.776850,3836,897,16,1,0,0
21:20:09.776852,3836,897,16,4,3,0
21:20:09.838686,3836,903,5,1,0,0
21:20:09.838687,3836,903,5,4,3,0
21:20:09.895908,3836,908,6,1,0,0
21:20:09.895910,3836,908,6,4,3,0
21:20:09.915820,3836,910,1,1,0,0
21:20:09.915821,3836,910,1,4,3,0
21:20:10.503892,960,960,15,1,0,0
21:20:10.503894,960,960,15,4,3,0
21:20:10.563509,960,965,16,1,0,0
21:20:10.563511,960,965,16,4,3,0
21:20:10.641368,960,971,4,1,0,0
21:20:10.641370,960,971,4,4,3,0
21:20:10.669878,960,973,14,1,0,0
21:20:10.669880,960,973,14,4,3,0
21:20:10.727670,960,978,15,1,0,0
21:20:10.727672,960,978,15,4,3,0
21:20:10.755904,960,981,4,1,0,0
