time,rnti,frame,slot,mcs,tbs
21:39:48.829012,35021,936,0,0,19
21:39:48.898246,45239,942,0,0,21
21:39:49.996163,35021,12,0,0,21
21:39:50.063435,45239,18,0,0,21
21:39:51.117946,35021,112,0,0,19
21:39:51.181848,45239,118,0,0,21
21:39:52.204983,35021,212,0,0,21
21:39:52.268837,45239,218,0,0,21
21:39:53.302396,35021,312,0,0,19
21:39:53.366824,45239,318,0,0,21
21:39:54.410802,35021,412,0,0,21
21:39:54.474529,45239,418,0,0,21
21:39:55.482787,35021,512,0,0,19
21:39:55.546384,45239,518,0,0,21
21:39:56.565582,35021,612,0,0,21
21:39:56.631490,45239,618,0,0,21
21:39:57.653638,35021,712,0,0,19
21:39:57.717603,45239,718,0,0,21
21:39:58.766142,35021,812,0,0,21
21:39:58.826605,45239,818,0,0,21
21:39:59.212192,45239,851,15,0,21
21:39:59.237078,45239,854,4,0,21
21:39:59.262445,45239,856,14,0,21
21:39:59.287403,45239,859,4,0,21
21:39:59.338257,45239,864,5,0,21
21:39:59.393761,45239,869,7,0,15
21:39:59.454821,45239,874,15,0,21
21:39:59.512251,45239,879,16,0,21
21:39:59.572733,45239,885,4,0,21
21:39:59.601219,45239,887,14,0,21
21:39:59.629379,45239,890,4,0,21
21:39:59.647825,45239,891,16,0,21
21:39:59.875075,35021,912,0,0,19
21:39:59.943147,45239,918,0,0,21
21:39:59.997369,35021,922,15,0,21
21:40:00.054880,35021,927,16,0,21
21:40:00.116351,35021,933,4,0,21
21:40:00.144651,35021,935,14,0,21
21:40:00.202516,35021,940,15,0,21
21:40:00.230299,35021,943,4,0,21
21:40:00.259019,35021,945,14,0,21
21:40:00.287742,35021,948,4,0,21
21:40:00.316104,35021,950,14,0,21
21:40:00.344613,35021,953,4,0,21
21:40:00.372866,35021,955,14,0,21
21:40:00.400916,35021,958,4,0,21
21:40:00.429485,35021,960,14,0,21
21:40:00.447763,35021,962,6,0,21
21:40:01.049071,35021,1012,0,0,21
21:40:01.116338,45239,1017,15,0,21
21:40:01.119159,45239,1018,0,0,21
21:40:01.174158,45239,1022,16,0,21
21:40:01.235855,45239,4,4,0,21
21:40:01.264268,45239,6,14,0,21
21:40:01.321622,45239,11,15,0,21
21:40:01.349237,45239,14,4,0,21
21:40:01.406640,45239,19,5,0,21
21:40:01.434600,45239,21,14,0,21
21:40:01.462764,45239,24,4,0,21
21:40:01.520186,45239,29,5,0,21
21:40:01.548046,45239,31,14,0,21
21:40:01.566969,45239,33,7,0,15
21:40:01.809623,35021,54,15,0,21
21:40:01.867108,35021,59,17,0,15
21:40:01.927342,35021,65,4,0,21
21:40:01.985197,35021,67,14,0,21
21:40:02.042437,35021,72,15,0,21
21:40:02.070296,35021,75,4,0,21
21:40:02.098885,35021,77,14,0,21
21:40:02.156273,35021,82,15,0,21
21:40:02.184071,35021,85,4,0,21
21:40:02.215696,35021,88,0,0,19
21:40:02.241129,35021,90,5,0,21
21:40:02.268662,35021,92,14,0,21
21:40:02.283237,45239,94,0,0,21
21:40:02.286099,35021,94,5,0,21
21:40:03.418703,35021,188,0,0,21
21:40:03.486123,45239,194,0,0,21
21:40:03.529068,45239,197,15,0,21
21:40:03.586880,45239,202,16,0,21
21:40:03.648810,45239,208,4,0,21
21:40:03.677459,45239,210,14,0,21
21:40:03.706342,45239,213,4,0,21
