time,rnti,frame,slot,lcid,data_size
21:39:59.152091,45239,845,8,4,752
21:39:59.161673,45239,846,7,4,3712
21:39:59.162329,45239,846,8,4,7672
21:39:59.162329,45239,846,8,4,8632
21:39:59.162679,45239,846,9,4,3464
21:39:59.162680,45239,846,9,4,12056
21:39:59.162680,45239,846,9,4,1824
21:39:59.166435,45239,846,17,4,3712
21:39:59.167141,45239,846,18,4,6600
21:39:59.167141,45239,846,18,4,10760
21:39:59.167662,45239,846,19,4,1336
21:39:59.167662,45239,846,19,4,12056
21:39:59.167662,45239,846,19,4,3944
21:39:59.171415,45239,847,7,4,3712
21:39:59.172139,45239,847,8,4,4480
21:39:59.172140,45239,847,8,4,12056
21:39:59.172140,45239,847,8,4,784
21:39:59.172685,45239,847,9,4,11312
21:39:59.172685,45239,847,9,4,6048
21:39:59.176551,45239,847,17,4,3712
21:39:59.177255,45239,847,18,4,2376
21:39:59.177255,45239,847,18,4,12056
21:39:59.177256,45239,847,18,4,2904
21:39:59.178001,45239,847,19,4,9192
21:39:59.178002,45239,847,19,4,5856
21:39:59.181559,45239,848,7,4,3712
21:39:59.182235,45239,848,8,4,2568
21:39:59.182236,45239,848,8,4,12056
21:39:59.182236,45239,848,8,4,896
21:39:59.182844,45239,848,9,4,11200
21:39:59.182845,45239,848,9,4,4360
21:39:59.186498,45239,848,17,4,3712
21:39:59.187089,45239,848,18,4,4064
21:39:59.187089,45239,848,18,4,12056
21:39:59.187090,45239,848,18,4,1224
21:39:59.187569,45239,848,19,4,10872
21:39:59.187570,45239,848,19,4,6488
21:39:59.191372,45239,849,7,4,3712
21:39:59.192046,45239,849,8,4,1936
21:39:59.192047,45239,849,8,4,12056
21:39:59.192047,45239,849,8,4,3320
21:39:59.192462,45239,849,9,4,8776
21:39:59.192463,45239,849,9,4,8584
21:39:59.196378,45239,849,17,4,3512
21:39:59.196379,45239,849,17,4,184
21:39:59.196937,45239,849,18,4,11912
21:39:59.196937,45239,849,18,4,5448
21:39:59.197591,45239,849,19,4,6648
21:39:59.197591,45239,849,19,4,8400
21:39:59.201276,45239,850,7,4,3696
21:39:59.201963,45239,850,8,4,12056
21:39:59.201963,45239,850,8,4,5280
21:39:59.202319,45239,850,9,4,6816
21:39:59.202319,45239,850,9,4,10544
21:39:59.206420,45239,850,17,4,1552
21:39:59.206420,45239,850,17,4,2136
21:39:59.207045,45239,850,18,4,9960
21:39:59.207045,45239,850,18,4,7400
21:39:59.207537,45239,850,19,4,4696
21:39:59.207537,45239,850,19,4,12056
21:39:59.207538,45239,850,19,4,592
21:39:59.211307,45239,851,7,4,3712
21:39:59.211972,45239,851,8,4,7832
21:39:59.211972,45239,851,8,4,9504
21:39:59.212504,45239,851,9,4,2592
21:39:59.212504,45239,851,9,4,12056
21:39:59.212504,45239,851,9,4,2688
21:39:59.216366,45239,851,17,4,3712
21:39:59.216969,45239,851,18,4,5736
21:39:59.216969,45239,851,18,4,11624
21:39:59.217623,45239,851,19,4,472
21:39:59.217623,45239,851,19,4,12056
21:39:59.217623,45239,851,19,4,2496
21:39:59.221344,45239,852,7,4,3712
21:39:59.221953,45239,852,8,4,5928
21:39:59.221954,45239,852,8,4,11408
21:39:59.222447,45239,852,9,4,688
21:39:59.222448,45239,852,9,4,12056
21:39:59.222448,45239,852,9,4,4592
21:39:59.226371,45239,852,17,4,2128
21:39:59.226371,45239,852,17,4,1568
21:39:59.227084,45239,852,18,4,10528
21:39:59.227085,45239,852,18,4,6832
21:39:59.227594,45239,852,19,4,5264
21:39:59.227594,45239,852,19,4,12056
21:39:59.231449,45239,853,7,4,3712
21:39:59.231990,45239,853,8,4,8384
21:39:59.231990,45239,853,8,4,8952
21:39:59.232516,45239,853,9,4,3144
21:39:59.232516,45239,853,9,4,12056
21:39:59.232517,45239,853,9,4,2136
21:39:59.236682,45239,853,17,4,3712
21:39:59.237309,45239,853,18,4,6288
21:39:59.237310,45239,853,18,4,11072
21:39:59.237899,45239,853,19,4,1024
21:39:59.237899,45239,853,19,4,12056
21:39:59.237899,45239,853,19,4,1952
21:39:59.241788,45239,854,7,4,3712
21:39:59.242449,45239,854,8,4,6472
21:39:59.242450,45239,854,8,4,10864
21:39:59.242936,45239,854,9,4,1232
21:39:59.242936,45239,854,9,4,12056
21:39:59.242936,45239,854,9,4,4048
21:39:59.246710,45239,854,17,4,3712
21:39:59.247323,45239,854,18,4,4376
21:39:59.247323,45239,854,18,4,12056
21:39:59.247323,45239,854,18,4,912
21:39:59.247811,45239,854,19,4,11184
21:39:59.247811,45239,854,19,4,6176
21:39:59.251742,45239,855,7,4,3712
21:39:59.252447,45239,855,8,4,2248
21:39:59.252448,45239,855,8,4,12056
21:39:59.252448,45239,855,8,4,3008
21:39:59.252911,45239,855,9,4,9088
21:39:59.252911,45239,855,9,4,8272
21:39:59.256839,45239,855,17,4,3712
21:39:59.257790,45239,855,18,4,152
21:39:59.257790,45239,855,18,4,12056
21:39:59.257791,45239,855,18,4,5128
21:39:59.258265,45239,855,19,4,6968
21:39:59.258266,45239,855,19,4,8080
21:39:59.262089,45239,856,7,4,3712
21:39:59.262799,45239,856,8,4,344
21:39:59.262799,45239,856,8,4,12056
21:39:59.262799,45239,856,8,4,2344
21:39:59.263231,45239,856,9,4,9752
21:39:59.263231,45239,856,9,4,5808
21:39:59.267026,45239,856,17,4,3712
21:39:59.267630,45239,856,18,4,2616
21:39:59.267630,45239,856,18,4,12056
21:39:59.267630,45239,856,18,4,2664
21:39:59.268401,45239,856,19,4,9432
21:39:59.268401,45239,856,19,4,7928
21:39:59.272069,45239,857,7,4,3712
21:39:59.272897,45239,857,8,4,496
21:39:59.272897,45239,857,8,4,12056
21:39:59.272897,45239,857,8,4,4760
21:39:59.273182,45239,857,9,4,7336
21:39:59.273182,45239,857,9,4,10024
21:39:59.277215,45239,857,17,4,2072
