time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
21:23:19.907814,3836,619,15,1,0,0
21:23:19.907816,3836,619,15,4,3,0
21:23:19.985382,3836,624,16,1,0,0
21:23:19.985384,3836,624,16,4,3,0
21:23:20.046963,3836,630,4,1,0,0
21:23:20.046965,3836,630,4,4,3,0
21:23:20.075540,3836,632,14,1,0,0
21:23:20.075541,3836,632,14,4,3,0
21:23:20.190182,960,642,15,1,0,0
21:23:20.190183,960,642,15,4,3,0
21:23:20.242047,3836,647,6,1,0,0
21:23:20.242048,3836,647,6,4,3,0
21:23:20.259348,960,648,16,1,0,0
21:23:20.259349,960,648,16,4,3,0
21:23:20.362501,3836,657,16,1,0,0
21:23:20.362503,3836,657,16,4,3,0
21:23:20.379656,960,659,6,1,0,0
21:23:20.379657,960,659,6,4,3,0
21:23:20.558064,3836,668,6,1,0,0
21:23:20.558065,3836,668,6,4,3,0
21:23:20.579097,960,669,15,1,0,0
21:23:20.579098,960,669,15,4,3,0
21:23:20.685610,3836,678,15,1,0,0
21:23:20.685612,3836,678,15,4,3,0
21:23:20.697437,960,679,16,1,0,0
21:23:20.697438,960,679,16,4,3,0
21:23:20.724820,960,682,4,1,0,0
21:23:20.724822,960,682,4,4,3,0
21:23:20.807568,3836,689,5,1,0,0
21:23:20.807570,3836,689,5,4,3,0
21:23:20.843424,960,692,5,1,0,0
21:23:20.843426,960,692,5,4,3,0
21:23:20.871382,960,694,14,1,0,0
21:23:20.871384,960,694,14,4,3,0
21:23:20.900066,960,697,4,1,0,0
21:23:20.900067,960,697,4,4,3,0
21:23:20.930625,3836,699,15,1,0,0
21:23:20.930627,3836,699,15,4,3,0
21:23:21.025474,960,707,14,1,0,0
21:23:21.025476,960,707,14,4,3,0
21:23:21.053839,3836,709,16,1,0,0
21:23:21.053840,3836,709,16,4,3,0
21:23:21.083057,3836,712,4,1,0,0
21:23:21.083059,3836,712,4,4,3,0
21:23:21.112400,3836,714,15,1,0,0
21:23:21.112402,3836,714,15,4,3,0
21:23:21.147081,960,717,15,1,0,0
21:23:21.147082,960,717,15,4,3,0
21:23:21.175949,960,720,5,1,0,0
21:23:21.175950,960,720,5,4,3,0
21:23:21.228420,3836,724,16,1,0,0
21:23:21.228422,3836,724,16,4,3,0
21:23:21.295964,960,730,14,1,0,0
21:23:21.295965,960,730,14,4,3,0
21:23:21.324101,960,733,4,1,0,0
21:23:21.324103,960,733,4,4,3,0
21:23:21.347573,3836,735,6,1,0,0
21:23:21.347575,3836,735,6,4,3,0
21:23:21.352196,960,735,14,1,0,0
21:23:21.352197,960,735,14,4,3,0
21:23:21.467634,3836,745,16,1,0,0
21:23:21.467636,3836,745,16,4,3,0
21:23:21.472300,960,746,4,1,0,0
21:23:21.472300,960,746,4,4,3,0
21:23:21.627285,960,756,5,1,0,0
21:23:21.627287,960,756,5,4,3,0
21:23:21.627827,3836,756,6,1,0,0
21:23:21.627828,3836,756,6,4,3,0
21:23:21.748397,3836,766,15,1,0,0
21:23:21.748399,3836,766,15,4,3,0
21:23:21.748940,960,766,16,1,0,0
21:23:21.748941,960,766,16,4,3,0
21:23:21.864181,3836,776,16,1,0,0
21:23:21.864183,3836,776,16,4,3,0
21:23:21.869812,960,777,6,1,0,0
21:23:21.869813,960,777,6,4,3,0
21:23:21.891521,3836,779,4,1,0,0
21:23:21.891522,3836,779,4,4,3,0
21:23:21.988691,960,787,14,1,0,0
21:23:21.988693,960,787,14,4,3,0
21:23:22.006287,3836,789,5,1,0,0
21:23:22.006289,3836,789,5,4,3,0
21:23:22.017049,960,790,4,1,0,0
21:23:22.017050,960,790,4,4,3,0
21:23:22.034588,3836,791,15,1,0,0
21:23:22.034589,3836,791,15,4,3,0
21:23:22.046043,960,792,15,1,0,0
21:23:22.046044,960,792,15,4,3,0
21:23:22.149362,3836,801,16,1,0,0
21:23:22.149363,3836,801,16,4,3,0
21:23:22.160955,960,802,16,1,0,0
21:23:22.160956,960,802,16,4,3,0
21:23:22.177005,3836,804,4,1,0,0
21:23:22.177005,3836,804,4,4,3,0
21:23:22.188629,960,805,4,1,0,0
21:23:22.188630,960,805,4,4,3,0
21:23:22.206471,3836,806,15,1,0,0
21:23:22.206472,3836,806,15,4,3,0
21:23:22.217393,960,807,14,1,0,0
21:23:22.217394,960,807,14,4,3,0
21:23:22.245875,960,810,4,1,0,0
21:23:22.245876,960,810,4,4,3,0
21:23:22.326943,3836,817,5,1,0,0
21:23:22.326945,3836,817,5,4,3,0
21:23:22.361468,960,820,5,1,0,0
21:23:22.361470,960,820,5,4,3,0
21:23:22.442223,3836,827,6,1,0,0
21:23:22.442224,3836,827,6,4,3,0
21:23:22.469760,3836,829,14,1,0,0
21:23:22.469761,3836,829,14,4,3,0
21:23:22.482150,960,830,16,1,0,0
21:23:22.482150,960,830,16,4,3,0
21:23:22.498492,3836,832,4,1,0,0
21:23:22.498494,3836,832,4,4,3,0
21:23:22.624373,3836,834,15,1,0,0
21:23:22.624375,3836,834,15,4,3,0
21:23:22.702119,960,841,7,1,0,0
21:23:22.702121,960,841,7,4,3,0
21:23:22.742403,3836,844,16,1,0,0
21:23:22.742404,3836,844,16,4,3,0
21:23:22.770088,3836,847,4,1,0,0
21:23:22.770090,3836,847,4,4,3,0
21:23:22.799342,3836,849,14,1,0,0
21:23:22.799344,3836,849,14,4,3,0
21:23:22.822499,960,851,14,1,0,0
21:23:22.822502,960,851,14,4,3,0
21:23:22.828393,3836,852,4,1,0,0
21:23:22.828394,3836,852,4,4,3,0
21:23:22.851954,960,854,4,1,0,0
21:23:22.851956,960,854,4,4,3,0
21:23:22.881405,960,856,15,1,0,0
21:23:22.881407,960,856,15,4,3,0
21:23:22.945907,3836,862,5,1,0,0
21:23:22.945909,3836,862,5,4,3,0
21:23:22.999878,960,866,17,1,0,0
21:23:22.999880,960,866,17,4,3,0
21:23:23.026933,960,869,4,1,0,0
21:23:23.026935,960,869,4,4,3,0
21:23:23.055509,960,871,14,1,0,0
21:23:23.055512,960,871,14,4,3,0
21:23:23.068504,3836,872,16,1,0,0
21:23:23.068505,3836,872,16,4,3,0
21:23:23.084961,960,874,4,1,0,0
21:23:23.084962,960,874,4,4,3,0
21:23:23.114962,960,876,15,1,0,0
21:23:23.114964,960,876,15,4,3,0
21:23:23.191060,3836,883,6,1,0,0
21:23:23.191062,3836,883,6,4,3,0
21:23:23.231958,960,886,16,1,0,0
21:23:23.231960,960,886,16,4,3,0
21:23:23.313582,3836,893,16,1,0,0
21:23:23.313584,3836,893,16,4,3,0
21:23:23.354053,960,897,6,1,0,0
21:23:23.354055,960,897,6,4,3,0
21:23:23.434381,3836,904,6,1,0,0
21:23:23.434383,3836,904,6,4,3,0
21:23:23.474707,960,907,16,1,0,0
21:23:23.474709,960,907,16,4,3,0
21:23:23.594747,3836,914,15,1,0,0
21:23:23.594749,3836,914,15,4,3,0
21:23:23.636575,960,918,7,1,0,0
21:23:23.636576,960,918,7,4,3,0
21:23:23.665265,960,920,15,1,0,0
21:23:23.665267,960,920,15,4,3,0
21:23:23.713145,3836,924,16,1,0,0
21:23:23.713147,3836,924,16,4,3,0
21:23:23.741693,3836,927,4,1,0,0
21:23:23.741695,3836,927,4,4,3,0
21:23:23.783625,960,930,16,1,0,0
21:23:23.783627,960,930,16,4,3,0
21:23:23.811183,960,933,4,1,0,0
21:23:23.811184,960,933,4,4,3,0
21:23:23.839990,960,935,14,1,0,0
21:23:23.839992,960,935,14,4,3,0
21:23:23.857852,3836,937,5,1,0,0
21:23:23.857853,3836,937,5,4,3,0
21:23:23.868664,960,938,4,1,0,0
21:23:23.868665,960,938,4,4,3,0
21:23:23.886598,3836,939,15,1,0,0
21:23:23.886599,3836,939,15,4,3,0
21:23:23.898190,960,940,15,1,0,0
21:23:23.898191,960,940,15,4,3,0
21:23:24.002073,3836,949,16,1,0,0
21:23:24.002074,3836,949,16,4,3,0
21:23:24.013560,960,950,16,1,0,0
21:23:24.013561,960,950,16,4,3,0
21:23:24.029544,3836,952,4,1,0,0
21:23:24.029545,3836,952,4,4,3,0
21:23:24.040978,960,953,4,1,0,0
21:23:24.040979,960,953,4,4,3,0
21:23:24.058755,3836,954,15,1,0,0
21:23:24.058756,3836,954,15,4,3,0
21:23:24.069617,960,955,14,1,0,0
21:23:24.069618,960,955,14,4,3,0
21:23:24.098369,960,958,4,1,0,0
21:23:24.098370,960,958,4,4,3,0
21:23:24.180475,3836,964,16,1,0,0
21:23:24.180477,3836,964,16,4,3,0
21:23:24.208094,3836,967,4,1,0,0
21:23:24.208095,3836,967,4,4,3,0
21:23:24.220160,960,968,5,1,0,0
21:23:24.220161,960,968,5,4,3,0
21:23:24.236908,3836,969,14,1,0,0
21:23:24.236909,3836,969,14,4,3,0
21:23:24.265864,3836,972,4,1,0,0
21:23:24.265866,3836,972,4,4,3,0
21:23:24.295306,3836,974,15,1,0,0
21:23:24.295307,3836,974,15,4,3,0
21:23:24.341865,960,978,16,1,0,0
21:23:24.341867,960,978,16,4,3,0
21:23:24.410525,3836,984,16,1,0,0
21:23:24.410527,3836,984,16,4,3,0
21:23:24.438162,3836,987,4,1,0,0
21:23:24.438163,3836,987,4,4,3,0
21:23:24.462878,960,989,6,1,0,0
21:23:24.462879,960,989,6,4,3,0
21:23:24.467956,3836,989,14,1,0,0
21:23:24.467957,3836,989,14,4,3,0
21:23:24.496684,3836,992,4,1,0,0
21:23:24.496686,3836,992,4,4,3,0
21:23:24.658812,960,999,15,1,0,0
