time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
21:23:09.244837,960,760,8,55,48,1,92,0,5,8,890
21:23:09.313363,3836,766,8,60,48,2,101,0,5,8,890
21:23:09.358990,960,770,8,60,48,2,101,0,5,8,890
21:23:09.426239,3836,776,8,55,48,1,92,0,5,8,890
21:23:09.471052,960,780,8,60,48,1,101,0,5,8,890
21:23:09.538620,3836,786,8,60,48,1,101,0,5,8,890
21:23:09.583683,960,790,8,60,48,1,101,0,5,8,890
21:23:09.651321,3836,796,8,60,48,1,101,0,5,8,890
21:23:09.695783,960,800,8,60,48,1,92,0,5,8,890
21:23:09.763343,3836,806,8,60,48,1,101,0,5,8,890
21:23:09.808501,960,810,8,60,48,1,101,0,5,8,890
21:23:09.875863,3836,816,8,60,48,2,92,0,5,8,890
21:23:09.921205,960,820,8,60,48,2,101,0,5,8,890
21:23:10.037814,3836,826,8,60,48,1,101,0,5,8,890
21:23:10.083555,960,830,8,60,48,1,101,0,5,8,890
21:23:10.151325,3836,836,8,60,48,1,101,0,5,8,890
21:23:10.196407,960,840,8,60,48,1,92,0,5,8,890
21:23:10.264074,3836,846,8,60,48,1,101,0,5,8,890
21:23:10.309858,960,850,8,60,48,1,101,0,5,8,890
21:23:10.377354,3836,856,8,60,48,2,92,0,5,8,890
21:23:10.422708,960,860,8,60,48,1,101,0,5,8,890
21:23:10.490906,3836,866,8,55,48,1,101,0,5,8,890
21:23:10.536494,960,870,8,60,48,2,101,0,5,8,890
21:23:10.604090,3836,876,8,60,48,1,101,0,5,8,890
21:23:10.649129,960,880,8,60,48,1,92,0,5,8,890
21:23:10.717484,3836,886,8,60,48,1,101,0,5,8,890
21:23:10.763120,960,890,8,60,48,1,101,0,5,8,890
21:23:10.830788,3836,896,8,60,48,1,92,0,5,8,890
21:23:10.876043,960,900,8,60,48,1,101,0,5,8,890
21:23:10.957626,3836,906,8,60,48,2,101,0,5,8,890
21:23:11.006318,960,910,8,60,48,2,101,0,5,8,890
21:23:11.164499,3836,916,8,60,48,1,101,0,5,8,890
21:23:11.209834,960,920,8,60,48,1,92,0,5,8,890
21:23:11.278578,3836,926,8,60,48,1,101,0,5,8,890
21:23:11.323911,960,930,8,60,48,1,101,0,5,8,890
21:23:11.392718,3836,936,8,60,48,1,92,0,5,8,890
21:23:11.438654,960,940,8,60,48,1,101,0,5,8,890
21:23:11.506656,3836,946,8,60,48,1,101,0,5,8,890
21:23:11.554212,960,950,8,60,48,1,101,0,5,8,890
21:23:11.623076,3836,956,8,60,48,2,101,0,5,8,890
21:23:11.668685,960,960,8,60,48,2,92,0,5,8,890
21:23:11.737477,3836,966,8,60,48,1,101,0,5,8,890
21:23:11.783009,960,970,8,60,48,1,101,0,5,8,890
21:23:11.851458,3836,976,8,60,48,1,92,0,5,8,890
21:23:11.896672,960,980,8,60,48,1,101,0,5,8,890
21:23:11.966586,3836,986,8,60,48,1,101,0,5,8,890
21:23:12.012430,960,990,8,60,48,1,101,0,5,8,890
21:23:12.172798,3836,996,8,60,48,2,101,0,5,8,890
21:23:12.218493,960,1000,8,60,48,1,92,0,5,8,890
21:23:12.287490,3836,1006,8,60,48,1,101,0,5,8,890
21:23:12.333385,960,1010,8,60,48,2,101,0,5,8,890
21:23:12.402763,3836,1016,8,60,48,1,92,0,5,8,890
21:23:12.448739,960,1020,8,60,48,1,101,0,5,8,890
21:23:12.517467,3836,2,8,60,48,1,101,0,5,8,890
21:23:12.563295,960,6,8,60,48,1,101,0,5,8,890
