time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
21:23:09.244837,896034,308382463,960,760,8,92
21:23:09.313362,896034,376907399,3836,766,8,101
21:23:09.358989,896034,422534721,960,770,8,101
21:23:09.426239,896034,489783955,3836,776,8,92
21:23:09.471052,896034,534597343,960,780,8,101
21:23:09.538618,896034,602163321,3836,786,8,101
21:23:09.583682,896034,647227570,960,790,8,101
21:23:09.651321,896034,714866028,3836,796,8,101
21:23:09.695783,896034,759327889,960,800,8,92
21:23:09.763343,896034,826887955,3836,806,8,101
21:23:09.808500,896034,872045692,960,810,8,101
21:23:09.875863,896034,939408223,3836,816,8,92
21:23:09.921204,896034,984749645,960,820,8,101
21:23:10.037813,896035,101358625,3836,826,8,101
21:23:10.083553,896035,147097937,960,830,8,101
21:23:10.151325,896035,214870426,3836,836,8,101
21:23:10.196407,896035,259952594,960,840,8,92
21:23:10.264074,896035,327619109,3836,846,8,101
21:23:10.309858,896035,373403236,960,850,8,101
21:23:10.377353,896035,440898568,3836,856,8,92
21:23:10.422708,896035,486252740,960,860,8,101
21:23:10.490905,896035,554450776,3836,866,8,101
21:23:10.536494,896035,600038900,960,870,8,101
21:23:10.604090,896035,667634870,3836,876,8,101
21:23:10.649129,896035,712673786,960,880,8,92
21:23:10.717484,896035,781029261,3836,886,8,101
21:23:10.763120,896035,826665286,960,890,8,101
21:23:10.830787,896035,894332778,3836,896,8,92
21:23:10.876043,896035,939588547,960,900,8,101
21:23:10.957626,896036,21171265,3836,906,8,101
21:23:11.006318,896036,69862872,960,910,8,101
21:23:11.164498,896036,228043577,3836,916,8,101
21:23:11.209833,896036,273378483,960,920,8,92
21:23:11.278578,896036,342123310,3836,926,8,101
21:23:11.323911,896036,387456349,960,930,8,101
21:23:11.392718,896036,456263089,3836,936,8,92
21:23:11.438653,896036,502198384,960,940,8,101
21:23:11.506656,896036,570201350,3836,946,8,101
21:23:11.554212,896036,617756832,960,950,8,101
21:23:11.623076,896036,686621308,3836,956,8,101
21:23:11.668685,896036,732229758,960,960,8,92
21:23:11.737477,896036,801022011,3836,966,8,101
21:23:11.783009,896036,846553996,960,970,8,101
21:23:11.851457,896036,915002573,3836,976,8,92
21:23:11.896671,896036,960216608,960,980,8,101
21:23:11.966586,896037,30131020,3836,986,8,101
21:23:12.012430,896037,75975492,960,990,8,101
21:23:12.172798,896037,236343134,3836,996,8,101
21:23:12.218493,896037,282038069,960,1000,8,92
21:23:12.287489,896037,351034803,3836,1006,8,101
21:23:12.333384,896037,396929633,960,1010,8,101
21:23:12.402763,896037,466308139,3836,1016,8,92
21:23:12.448738,896037,512283611,960,1020,8,101
21:23:12.517466,896037,581011570,3836,2,8,101
21:23:12.563294,896037,626839799,960,6,8,101
21:23:12.634597,896037,698142571,3836,12,8,101
21:23:12.681850,896037,745395591,960,16,8,92
21:23:12.750828,896037,814373675,3836,22,8,101
21:23:12.796893,896037,860438014,960,26,8,101
21:23:12.876234,896037,939779325,3836,33,7,92
21:23:12.911196,896037,974741752,960,36,8,101
21:23:12.991169,896038,54713952,3836,43,8,101
21:23:13.025869,896038,89414615,960,46,8,101
21:23:13.153337,896038,216881897,3836,53,8,101
21:23:13.187761,896038,251305988,960,56,8,92
21:23:13.267691,896038,331236695,3836,63,8,101
21:23:13.301903,896038,365448015,960,66,8,101
21:23:13.381480,896038,445024861,3836,73,8,101
21:23:13.415687,896038,479232264,960,76,8,101
21:23:13.495981,896038,559526243,3836,83,8,101
21:23:13.530527,896038,594072768,960,86,8,101
21:23:13.610086,896038,673631053,3836,93,8,101
21:23:13.645305,896038,708850724,960,96,8,92
21:23:13.724671,896038,788215845,3836,103,8,101
21:23:13.758469,896038,822013983,960,106,8,101
21:23:13.837676,896038,901221594,3836,113,8,101
21:23:13.871719,896038,935264136,960,116,8,101
21:23:13.951202,896039,14746898,3836,123,8,101
21:23:13.985503,896039,49048508,960,126,8,101
21:23:14.066432,896039,129976863,3836,133,8,101
21:23:14.192486,896039,256031407,960,136,8,92
21:23:14.272825,896039,336370800,3836,143,8,101
21:23:14.307364,896039,370908881,960,146,8,101
21:23:14.387334,896039,450879204,3836,153,8,101
21:23:14.421718,896039,485263482,960,156,8,101
21:23:14.502362,896039,565907021,3836,163,8,101
21:23:14.536889,896039,600434664,960,166,8,101
21:23:14.617333,896039,680877802,3836,173,8,101
21:23:14.651472,896039,715017053,960,176,8,92
21:23:14.734957,896039,798502024,3836,183,8,101
21:23:14.769233,896039,832778584,960,186,8,101
21:23:14.849587,896039,913132617,3836,193,8,101
21:23:14.884084,896039,947628914,960,196,8,101
21:23:14.963979,896040,27524171,3836,203,8,101
21:23:14.998184,896040,61729658,960,206,8,101
21:23:15.078188,896040,141732811,3836,213,8,101
21:23:15.112967,896040,176512631,960,216,8,92
21:23:15.193054,896040,256599555,3836,223,8,101
21:23:15.227231,896040,290776053,960,226,8,101
21:23:15.307918,896040,371463493,3836,233,8,101
21:23:15.342696,896040,406241464,960,236,8,101
21:23:15.423297,896040,486842095,3836,243,8,101
21:23:15.457466,896040,521011060,960,246,8,101
21:23:15.539440,896040,602985758,3836,253,8,101
21:23:15.573836,896040,637381537,960,256,8,92
21:23:15.653861,896040,717406046,3836,263,8,101
21:23:15.688774,896040,752318911,960,266,8,101
21:23:15.770660,896040,834205130,3836,273,8,101
21:23:15.805269,896040,868813951,960,276,8,101
21:23:15.885090,896040,948635112,3836,283,8,101
21:23:15.919779,896040,983324493,960,286,8,101
21:23:16.019670,896041,83215587,3836,293,8,101
21:23:16.054313,896041,117858117,960,296,8,92
21:23:16.134707,896041,198252385,3836,303,8,101
21:23:16.169331,896041,232875951,960,306,8,101
21:23:16.250034,896041,313579142,3836,313,8,101
21:23:16.284445,896041,347990768,960,316,8,101
21:23:16.365711,896041,429256118,3836,323,8,101
21:23:16.399902,896041,463447397,960,326,8,101
21:23:16.479949,896041,543494023,3836,333,8,101
21:23:16.514003,896041,577548678,960,336,8,92
21:23:16.593799,896041,657344581,3836,343,8,101
21:23:16.628553,896041,692098146,960,346,8,101
21:23:16.708476,896041,772021450,3836,353,8,101
21:23:16.742973,896041,806518297,960,356,8,101
21:23:16.823869,896041,887414687,3836,363,8,101
21:23:16.858066,896041,921611031,960,366,8,101
21:23:16.963225,896042,26769971,3836,373,8,101
21:23:16.998192,896042,61737450,960,376,8,92
21:23:17.079168,896042,142713370,3836,383,8,101
21:23:17.113403,896042,176948674,960,386,8,101
21:23:17.193870,896042,257415683,3836,393,8,101
21:23:17.228261,896042,291805944,960,396,8,101
21:23:17.403676,896042,467221646,3836,403,8,101
21:23:17.438825,896042,502370472,960,406,8,101
21:23:17.520441,896042,583986625,3836,413,8,101
21:23:17.555395,896042,618940012,960,416,8,92
21:23:17.637121,896042,700666414,3836,423,8,101
21:23:17.672020,896042,735564976,960,426,8,101
21:23:17.752295,896042,815840661,3836,433,8,101
21:23:17.786555,896042,850100000,960,436,8,101
21:23:17.869581,896042,933126505,3836,443,8,101
21:23:17.903682,896042,967227160,960,446,8,101
21:23:17.983723,896043,47268537,3836,453,8,101
21:23:18.018087,896043,81632408,960,456,8,92
21:23:18.097633,896043,161178530,3836,463,8,101
21:23:18.131954,896043,195499174,960,466,8,101
21:23:18.211338,896043,274883260,3836,473,8,101
21:23:18.245661,896043,309206790,960,476,8,101
21:23:18.325702,896043,389247204,3836,483,8,101
21:23:18.360026,896043,423571270,960,486,8,101
21:23:18.439975,896043,503520251,3836,493,8,101
21:23:18.474126,896043,537671015,960,496,8,92
21:23:18.553978,896043,617523369,3836,503,8,101
21:23:18.587929,896043,651474312,960,506,8,101
21:23:18.668312,896043,731857084,3836,513,8,101
21:23:18.702453,896043,765998148,960,516,8,101
21:23:18.782005,896043,845549768,3836,523,8,101
21:23:18.816257,896043,879802362,960,526,8,101
21:23:18.896301,896043,959846002,3836,533,8,101
21:23:18.957060,896044,20605046,960,536,8,92
21:23:19.041434,896044,104979811,3836,543,8,101
21:23:19.076042,896044,139587200,960,546,8,101
21:23:19.155536,896044,219081098,3836,553,8,101
21:23:19.189810,896044,253355495,960,556,8,101
21:23:19.268718,896044,332263564,3836,563,8,101
21:23:19.302882,896044,366426957,960,566,8,101
21:23:19.382152,896044,445696836,3836,573,8,101
21:23:19.416161,896044,479705857,960,576,8,92
21:23:19.494969,896044,558514111,3836,583,8,101
21:23:19.529432,896044,592976905,960,586,8,101
21:23:19.609053,896044,672598735,3836,593,8,101
21:23:19.643162,896044,706707067,960,596,8,101
21:23:19.723663,896044,787208478,3836,603,8,101
21:23:19.758205,896044,821750511,960,606,8,101
21:23:19.837817,896044,901362025,3836,613,8,101
21:23:19.848599,896044,912144589,3836,614,7,469
21:23:19.849352,896044,912897397,3836,614,8,2178
21:23:19.849842,896044,913387538,3836,614,9,2178
21:23:19.854804,896044,918349085,3836,614,17,469
21:23:19.855268,896044,918813176,3836,614,18,2178
21:23:19.855768,896044,919313136,3836,614,19,2178
21:23:19.860242,896044,923787340,3836,615,7,469
21:23:19.860916,896044,924461699,3836,615,8,2178
21:23:19.861576,896044,925121277,3836,615,9,2178
21:23:19.866780,896044,930325417,3836,615,17,469
21:23:19.867417,896044,930961933,3836,615,18,2178
21:23:19.868385,896044,931930266,3836,615,19,1889
21:23:19.871951,896044,935495961,3836,616,7,469
21:23:19.872963,896044,936507872,960,616,8,92
21:23:19.872965,896044,936509965,3836,616,8,1857
21:23:19.873283,896044,936827965,3836,616,9,1953
21:23:19.877868,896044,941413744,3836,616,17,469
21:23:19.878483,896044,942027930,3836,616,18,2178
21:23:19.879005,896044,942550388,3836,616,19,2178
21:23:19.883571,896044,947115984,3836,617,7,469
21:23:19.884234,896044,947778901,3836,617,8,2178
21:23:19.884784,896044,948329682,3836,617,9,2178
21:23:19.889379,896044,952924103,3836,617,17,469
21:23:19.890084,896044,953629116,3836,617,18,2178
21:23:19.890813,896044,954358104,3836,617,19,1889
21:23:19.895155,896044,958700417,3836,618,7,469
21:23:19.896114,896044,959659637,3836,618,8,2178
21:23:19.896416,896044,959960920,3836,618,9,2178
21:23:19.901197,896044,964742709,3836,618,17,469
21:23:19.901808,896044,965353810,3836,618,18,2178
21:23:19.902340,896044,965885566,3836,618,19,2178
21:23:19.906783,896044,970328451,3836,619,7,469
21:23:19.907453,896044,970998412,3836,619,8,2178
21:23:19.908042,896044,971587371,3836,619,9,2178
21:23:19.912688,896044,976233045,3836,619,17,469
21:23:19.913397,896044,976942256,3836,619,18,2178
21:23:19.914012,896044,977557472,3836,619,19,1889
21:23:19.919378,896044,982922832,3836,620,7,469
21:23:19.920712,896044,984257789,3836,620,8,2178
21:23:19.921264,896044,984809573,3836,620,9,2178
21:23:19.925970,896044,989515084,3836,620,17,469
21:23:19.926574,896044,990119426,3836,620,18,2178
21:23:19.927323,896044,990868152,3836,620,19,2178
21:23:19.931213,896044,994758221,3836,621,7,469
21:23:19.932591,896044,996135966,3836,621,8,2178
21:23:19.933667,896044,997212317,3836,621,9,2178
21:23:19.937097,896045,642260,3836,621,17,469
21:23:19.938251,896045,1796202,3836,621,18,2178
21:23:19.939071,896045,2616119,3836,621,19,1889
21:23:19.960374,896045,23919044,3836,622,7,469
21:23:19.961370,896045,24915690,3836,622,8,2178
21:23:19.962246,896045,25791096,3836,622,9,2178
21:23:19.966631,896045,30175884,3836,622,17,469
21:23:19.967364,896045,30909049,3836,622,18,2178
21:23:19.968282,896045,31827060,3836,622,19,2178
21:23:19.972547,896045,36092646,3836,623,7,469
21:23:19.973061,896045,36606093,3836,623,8,2178
