time,rnti,frame,slot,mcs,tbs
21:21:57.640609,3836,892,0,0,21
21:21:57.660786,960,894,0,0,21
21:21:58.675759,3836,992,0,0,19
21:21:58.695932,960,994,0,0,21
21:21:59.751271,3836,68,0,0,21
21:21:59.771354,960,70,0,0,21
21:22:00.795311,3836,168,0,0,19
21:22:00.815074,960,170,0,0,21
21:22:01.811702,3836,268,0,0,21
21:22:01.831485,960,270,0,0,21
21:22:02.963378,3836,368,0,0,19
21:22:02.986156,960,370,0,0,21
21:22:04.130300,3836,468,0,0,21
21:22:04.153386,960,470,0,0,21
21:22:05.285333,3836,568,0,0,19
21:22:05.308301,960,570,0,0,21
21:22:06.449207,3836,668,0,0,21
21:22:06.471811,960,670,0,0,21
21:22:07.612105,3836,768,0,0,19
21:22:07.634778,960,770,0,0,21
21:22:08.263247,3836,822,15,0,21
21:22:08.321182,3836,827,16,0,21
21:22:08.383585,3836,833,4,0,21
21:22:08.412593,3836,835,14,0,21
21:22:08.469956,3836,840,15,0,21
21:22:08.497635,3836,843,4,0,21
21:22:08.594392,960,851,15,0,21
21:22:08.657003,960,857,6,0,21
21:22:08.685305,3836,859,16,0,21
21:22:08.774960,960,867,15,0,21
21:22:08.777736,3836,868,0,0,21
21:22:08.800260,960,870,0,0,21
21:22:08.803888,3836,870,6,0,21
21:22:08.831324,3836,872,15,0,21
21:22:08.893721,960,878,5,0,21
21:22:08.968572,3836,882,16,0,21
21:22:08.996742,3836,885,4,0,21
21:22:09.125068,3836,887,14,0,21
21:22:09.136923,960,888,14,0,21
21:22:09.166350,960,891,4,0,21
21:22:09.246982,3836,898,4,0,21
21:22:09.276052,3836,900,15,0,21
21:22:09.281733,960,901,5,0,21
21:22:09.310336,960,903,15,0,21
21:22:09.391866,3836,910,16,0,21
21:22:09.419383,3836,913,4,0,21
21:22:09.426822,960,913,17,0,15
21:22:09.448186,3836,915,14,0,21
21:22:09.453943,960,916,4,0,21
21:22:09.476412,3836,918,4,0,21
21:22:09.482508,960,918,15,0,21
21:22:09.502652,3836,920,15,0,21
21:22:09.589313,960,928,16,0,21
21:22:09.611796,3836,930,16,0,21
21:22:09.616315,960,931,4,0,21
21:22:09.639355,3836,933,4,0,21
21:22:09.645104,960,933,14,0,21
21:22:09.667618,3836,935,14,0,21
21:22:09.673315,960,936,4,0,21
21:22:09.696362,3836,938,4,0,21
21:22:09.702769,960,938,15,0,21
21:22:09.811876,3836,948,5,0,21
21:22:09.818871,960,948,17,0,15
21:22:09.839870,3836,950,14,0,21
21:22:09.845462,960,951,4,0,21
21:22:09.868190,3836,953,4,0,21
21:22:09.873870,960,953,14,0,21
21:22:09.896473,3836,955,14,0,21
21:22:09.902089,960,956,4,0,21
21:22:09.924937,3836,958,4,0,21
21:22:09.931227,960,958,15,0,21
21:22:10.035955,3836,968,0,0,19
21:22:10.038848,3836,968,5,0,21
21:22:10.045005,960,968,16,0,21
21:22:10.058572,960,970,0,0,21
21:22:10.072178,960,971,4,0,21
21:22:10.100416,960,973,14,0,21
21:22:10.143894,960,976,7,0,15
21:22:10.171180,3836,978,16,0,21
21:22:10.257239,960,986,5,0,21
21:22:10.284426,960,988,14,0,21
21:22:10.291663,3836,989,7,0,15
21:22:10.312618,960,991,4,0,21
21:22:10.341464,960,993,15,0,21
21:22:10.369234,960,996,4,0,21
21:22:10.408392,3836,999,14,0,21
21:22:10.437317,3836,1002,4,0,21
21:22:10.482443,960,1006,5,0,21
21:22:10.550496,3836,1012,5,0,21
21:22:10.602444,960,1016,16,0,21
21:22:10.671033,3836,1022,16,0,21
21:22:10.722222,960,3,6,0,21
21:22:10.749694,960,5,14,0,21
21:22:10.778281,960,8,4,0,21
21:22:10.791010,3836,9,6,0,21
21:22:10.807633,960,10,15,0,21
21:22:10.909520,3836,19,14,0,21
21:22:10.922421,960,20,16,0,21
21:22:11.048714,3836,30,4,0,21
21:22:11.061494,960,31,6,0,21
21:22:11.078176,3836,32,15,0,21
21:22:11.229572,960,41,16,0,21
21:22:11.241027,3836,42,16,0,21
21:22:11.254606,3836,44,0,0,21
21:22:11.256820,960,44,4,0,21
21:22:11.268342,3836,45,4,0,21
21:22:11.277529,960,46,0,0,21
21:22:11.286306,960,46,15,0,21
21:22:11.383983,3836,55,5,0,21
21:22:11.401671,960,56,16,0,21
21:22:11.429217,960,59,4,0,21
21:22:11.457916,960,61,14,0,21
21:22:11.487195,960,64,4,0,21
21:22:11.505340,3836,65,15,0,21
21:22:11.534552,3836,68,5,0,21
21:22:11.604993,960,74,5,0,21
21:22:11.657579,3836,78,14,0,21
21:22:11.687041,3836,81,4,0,21
21:22:11.728598,960,84,16,0,21
21:22:11.803088,3836,91,5,0,21
21:22:11.831841,3836,93,15,0,21
21:22:11.849872,960,95,6,0,21
21:22:11.947932,3836,103,16,0,21
21:22:11.971990,960,105,14,0,21
21:22:11.977798,3836,106,4,0,21
21:22:12.000674,960,108,4,0,21
21:22:12.006995,3836,108,15,0,21
21:22:12.029833,960,110,15,0,21
21:22:12.164988,3836,118,16,0,21
21:22:12.187882,960,120,16,0,21
21:22:12.192507,3836,121,4,0,21
21:22:12.216941,960,123,4,0,21
21:22:12.222851,3836,123,14,0,21
21:22:12.246118,960,125,14,0,21
21:22:12.252019,3836,126,4,0,21
21:22:12.275603,960,128,4,0,21
21:22:12.282081,3836,128,15,0,21
21:22:12.305758,960,130,15,0,21
21:22:12.400539,3836,138,16,0,21
21:22:12.424484,960,140,16,0,21
21:22:12.429263,3836,141,4,0,21
21:22:12.456383,3836,143,14,0,21
21:22:12.459520,3836,144,0,0,19
21:22:12.480321,960,146,0,0,21
21:22:12.482364,3836,146,4,0,21
21:22:12.508627,3836,148,15,0,21
21:22:12.534740,960,151,6,0,21
21:22:12.559581,960,153,14,0,21
21:22:12.585111,960,156,4,0,21
21:22:12.611752,3836,158,16,0,21
21:22:12.636333,3836,161,4,0,21
21:22:12.661792,3836,163,14,0,21
21:22:12.687300,3836,166,4,0,21
21:22:12.687981,960,166,5,0,21
21:22:12.789424,3836,176,5,0,21
21:22:12.794986,960,176,16,0,21
21:22:12.899392,3836,186,16,0,21
21:22:12.904536,960,187,6,0,21
21:22:13.007749,3836,197,6,0,21
21:22:13.013527,960,197,16,0,21
21:22:13.131603,3836,207,14,0,21
21:22:13.137401,960,208,4,0,21
21:22:13.213973,3836,210,5,0,21
21:22:13.218543,960,210,15,0,21
21:22:13.241958,3836,212,15,0,21
21:22:13.349277,960,220,16,0,21
21:22:13.373485,3836,222,16,0,21
21:22:13.378204,960,223,4,0,21
21:22:13.402875,3836,225,5,0,21
21:22:13.432702,3836,227,14,0,21
21:22:13.463802,3836,230,4,0,21
21:22:13.495193,3836,232,15,0,21
21:22:13.501331,960,233,5,0,21
21:22:13.532469,960,235,15,0,21
21:22:13.619748,3836,242,16,0,21
21:22:13.634417,3836,244,0,0,21
21:22:13.649213,3836,245,4,0,21
21:22:13.658940,960,246,0,0,21
21:22:13.662045,960,246,5,0,21
21:22:13.679866,3836,247,14,0,21
21:22:13.711058,3836,250,4,0,21
21:22:13.791173,960,256,14,0,21
21:22:13.821532,960,259,4,0,21
21:22:13.834487,3836,260,5,0,21
21:22:13.944730,960,269,5,0,21
21:22:13.963744,3836,270,16,0,21
21:22:13.975431,960,271,15,0,21
21:22:13.993237,3836,273,4,0,21
21:22:14.023888,3836,275,14,0,21
21:22:14.054366,3836,278,4,0,21
21:22:14.098009,960,281,16,0,21
21:22:14.127022,960,284,4,0,21
21:22:14.158750,960,286,15,0,21
21:22:14.218862,3836,288,5,0,21
21:22:14.326841,960,296,16,0,21
21:22:14.351578,3836,298,16,0,21
21:22:14.356749,960,299,4,0,21
21:22:14.387017,960,301,14,0,21
21:22:14.417205,960,304,4,0,21
21:22:14.448429,960,306,15,0,21
21:22:14.478894,3836,309,6,0,21
21:22:14.569549,960,316,16,0,21
21:22:14.604343,3836,319,14,0,21
21:22:14.634258,3836,322,4,0,21
21:22:14.695757,960,327,6,0,21
21:22:14.755810,3836,332,5,0,21
21:22:14.823012,960,337,16,0,21
21:22:14.883590,3836,342,16,0,21
21:22:14.898375,3836,344,0,0,19
21:22:14.922804,960,346,0,0,21
21:22:14.951012,960,348,6,0,21
21:22:15.011721,3836,353,6,0,21
21:22:15.077064,960,358,15,0,21
21:22:15.136742,3836,363,14,0,21
21:22:15.286890,960,368,16,0,21
21:22:15.315645,960,371,5,0,21
21:22:15.345034,960,373,14,0,21
21:22:15.351047,3836,374,4,0,21
21:22:15.381335,3836,376,15,0,21
21:22:15.470247,960,384,4,0,21
21:22:15.500973,960,386,15,0,21
21:22:15.501385,3836,386,16,0,21
21:22:15.530096,3836,389,4,0,21
21:22:15.621493,960,396,16,0,21
21:22:15.650257,960,399,4,0,21
21:22:15.650867,3836,399,5,0,21
21:22:15.680138,960,401,14,0,21
21:22:15.680727,3836,401,15,0,21
21:22:15.709881,960,404,4,0,21
21:22:15.741586,960,406,17,0,15
21:22:15.801216,3836,411,16,0,21
21:22:15.829783,3836,414,4,0,21
21:22:15.860465,3836,416,15,0,21
21:22:15.861050,960,416,16,0,21
21:22:15.890114,960,419,4,0,21
21:22:15.920178,960,421,14,0,21
21:22:15.950267,960,424,4,0,21
21:22:15.980804,960,426,15,0,21
21:22:15.981380,3836,426,16,0,21
21:22:16.010255,3836,429,4,0,21
21:22:16.040938,3836,431,14,0,21
21:22:16.071429,3836,434,5,0,21
21:22:16.101546,960,436,16,0,21
21:22:16.130253,960,439,4,0,21
21:22:16.160322,960,441,14,0,21
21:22:16.187742,3836,444,0,0,21
21:22:16.190821,3836,444,5,0,21
21:22:16.190823,960,444,5,0,21
21:22:16.211779,960,446,0,0,21
21:22:16.220826,960,446,15,0,21
21:22:16.351518,3836,454,16,0,21
21:22:16.375497,960,456,16,0,21
21:22:16.476807,3836,465,6,0,21
21:22:16.500792,960,467,6,0,21
21:22:16.597378,3836,475,14,0,21
21:22:16.618726,960,477,16,0,21
21:22:16.622745,3836,478,4,0,21
21:22:16.648990,3836,480,15,0,21
21:22:16.725888,960,488,6,0,21
21:22:16.751496,3836,490,16,0,21
21:22:16.776172,3836,493,4,0,21
21:22:16.801691,3836,495,14,0,21
21:22:16.826889,3836,498,4,0,21
21:22:16.832412,960,498,15,0,21
21:22:16.852582,3836,500,15,0,21
21:22:16.933770,960,508,16,0,21
21:22:16.953895,3836,510,16,0,21
21:22:16.957860,960,511,4,0,21
21:22:16.977809,3836,513,4,0,21
21:22:16.982751,960,513,14,0,21
21:22:17.002913,3836,515,14,0,21
21:22:17.007897,960,516,4,0,21
21:22:17.027984,3836,518,4,0,21
21:22:17.033490,960,518,15,0,21
21:22:17.054044,3836,520,15,0,21
21:22:17.135246,960,528,16,0,21
21:22:17.155424,3836,530,16,0,21
21:22:17.159405,960,531,4,0,21
21:22:17.179596,3836,533,4,0,21
21:22:17.184573,960,533,14,0,21
21:22:17.279705,3836,535,14,0,21
21:22:17.288876,960,536,10,0,21
21:22:17.306266,3836,538,4,0,21
21:22:17.364837,3836,544,0,0,19
21:22:17.384809,960,546,0,0,21
21:22:17.387375,960,546,5,0,21
21:22:17.407299,3836,548,5,0,21
21:22:17.412368,960,548,15,0,21
21:22:17.431964,3836,550,14,0,21
21:22:17.436949,960,551,4,0,21
21:22:17.457231,3836,553,4,0,21
21:22:17.462182,960,553,14,0,21
21:22:17.482117,3836,555,14,0,21
21:22:17.487084,960,556,4,0,21
21:22:17.507970,3836,558,6,0,21
21:22:17.512431,960,558,15,0,21
21:22:17.612157,3836,568,15,0,21
21:22:17.612626,960,568,16,0,21
21:22:17.716949,3836,579,5,0,21
21:22:17.717427,960,579,6,0,21
21:22:17.822140,3836,589,15,0,21
21:22:17.822612,960,589,16,0,21
21:22:17.927034,3836,600,5,0,21
21:22:17.927510,960,600,6,0,21
21:22:18.032249,3836,610,14,0,21
21:22:18.032754,960,610,15,0,21
21:22:18.057801,3836,613,4,0,21
21:22:18.082953,3836,615,14,0,21
21:22:18.134125,960,620,16,0,21
21:22:18.158264,960,623,4,0,21
21:22:18.183654,960,625,14,0,21
21:22:18.188652,3836,626,4,0,21
21:22:18.209188,960,628,4,0,21
21:22:18.214929,3836,628,15,0,21
21:22:18.236430,960,630,17,0,15
21:22:18.329801,3836,638,16,0,21
21:22:18.350096,960,640,16,0,21
21:22:18.354223,3836,641,4,0,21
21:22:18.374746,960,643,4,0,21
21:22:18.380353,3836,643,15,0,21
21:22:18.382874,3836,644,0,0,21
21:22:18.400509,960,645,14,0,21
21:22:18.403484,960,646,0,0,21
21:22:18.405489,3836,646,4,0,21
21:22:18.427594,960,648,4,0,21
21:22:18.433968,3836,648,15,0,21
21:22:18.456858,960,650,15,0,21
21:22:18.548612,3836,658,16,0,21
21:22:18.575960,960,660,16,0,21
21:22:18.581016,3836,661,4,0,21
21:22:18.613328,3836,663,14,0,21
21:22:18.642069,3836,666,4,0,21
21:22:18.671344,3836,668,15,0,21
21:22:18.700285,960,671,6,0,21
21:22:18.785012,3836,678,16,0,21
21:22:18.812540,3836,681,4,0,21
21:22:18.819320,960,681,16,0,21
21:22:18.841029,3836,683,14,0,21
21:22:18.869400,3836,686,4,0,21
21:22:18.898248,3836,688,15,0,21
21:22:18.938792,960,692,6,0,21
21:22:19.013344,3836,698,16,0,21
