time,rnti,frame,slot,mcs,tbs
21:19:06.427238,3836,628,0,0,21
21:19:06.446907,960,630,0,0,21
21:19:07.450003,3836,728,0,0,19
21:19:07.470538,960,730,0,0,21
21:19:08.477826,3836,828,0,0,21
21:19:08.527318,960,830,0,0,21
21:19:09.515549,3836,928,0,0,19
21:19:09.535673,960,930,0,0,21
21:19:10.556712,3836,4,0,0,21
21:19:10.576096,960,6,0,0,21
21:19:11.662952,3836,104,0,0,19
21:19:11.686413,960,106,0,0,21
21:19:12.871260,3836,204,0,0,21
21:19:12.894654,960,206,0,0,21
21:19:14.049838,3836,304,0,0,19
21:19:14.072318,960,306,0,0,21
21:19:15.226724,3836,404,0,0,21
21:19:15.249279,960,406,0,0,21
21:19:16.385652,3836,504,0,0,19
21:19:16.408405,960,506,0,0,21
21:19:16.695435,3836,531,4,0,21
21:19:16.752884,3836,536,5,0,21
21:19:16.781035,3836,538,14,0,21
21:19:16.838029,3836,543,15,0,21
21:19:16.894812,3836,548,16,0,21
21:19:16.956319,3836,554,5,0,21
21:19:17.014069,3836,559,6,0,21
21:19:17.075890,3836,564,14,0,21
21:19:17.104157,3836,567,4,0,21
21:19:17.132715,3836,569,14,0,21
21:19:17.150932,3836,571,6,0,21
21:19:17.519047,3836,604,0,0,21
21:19:17.541664,960,606,0,0,21
21:19:17.556418,960,607,6,0,21
21:19:17.583273,960,609,14,0,21
21:19:17.611437,960,612,4,0,21
21:19:17.639736,960,614,14,0,21
21:19:17.668081,960,617,4,0,21
21:19:17.725128,960,622,5,0,21
21:19:17.782112,960,627,6,0,21
21:19:17.809127,960,629,14,0,21
21:19:17.837243,960,632,4,0,21
21:19:17.865414,960,634,14,0,21
21:19:17.893544,960,637,4,0,21
21:19:17.922070,960,639,14,0,21
21:19:17.978059,960,642,5,0,21
21:19:18.029426,960,646,15,0,21
21:19:18.255285,3836,666,15,0,21
21:19:18.313096,3836,671,16,0,21
21:19:18.374618,3836,677,5,0,21
21:19:18.431908,3836,682,6,0,21
21:19:18.493425,3836,687,14,0,21
21:19:18.521521,3836,690,4,0,21
21:19:18.550126,3836,692,14,0,21
21:19:18.578398,3836,695,4,0,21
21:19:18.606751,3836,697,14,0,21
21:19:18.635227,3836,700,4,0,21
21:19:18.663667,3836,702,14,0,21
21:19:18.678414,3836,704,0,0,19
21:19:18.692127,3836,705,4,0,21
21:19:18.701146,960,706,0,0,21
21:19:18.710811,3836,706,17,0,15
21:19:19.233133,960,742,14,0,21
21:19:19.261145,960,745,4,0,21
21:19:19.289436,960,747,14,0,21
21:19:19.317943,960,750,4,0,21
21:19:19.346087,960,752,14,0,21
21:19:19.374914,960,755,4,0,21
21:19:19.403467,960,757,14,0,21
21:19:19.464683,960,762,15,0,21
21:19:19.492883,960,765,4,0,21
21:19:19.551052,960,770,6,0,21
