time,rnti,frame,slot,snrx10,tpc,rssi
21:19:17.679189,960,617,17,100,1,937
21:19:17.769244,960,625,17,100,1,929
21:19:18.743056,3836,709,7,100,1,937
21:19:19.594654,960,773,17,100,1,944
21:19:20.009525,3836,810,7,100,1,937
21:19:20.032684,3836,812,7,100,1,937
21:19:20.637772,960,860,7,100,1,937
21:19:20.899265,960,883,7,100,1,937
21:19:20.978281,960,890,7,100,1,937
21:19:21.548973,3836,938,7,100,1,937
21:19:22.298320,960,995,7,100,1,937
21:19:23.302895,3836,52,7,100,1,937
21:19:23.349823,3836,56,7,100,1,937
21:19:23.449458,3836,64,17,100,1,937
21:19:23.519513,3836,70,17,100,1,937
21:19:24.022055,960,114,7,100,1,937
21:19:24.607253,3836,163,7,100,1,929
21:19:25.077744,3836,204,7,100,1,937
21:19:25.560915,960,242,17,100,1,937
21:19:25.766448,960,260,17,100,1,929
21:19:25.874548,960,270,7,100,1,937
21:19:26.685410,3836,334,7,100,1,937
21:19:28.091332,3836,448,17,100,1,937
21:19:28.908230,960,510,7,100,1,937
21:19:30.594052,960,644,17,100,1,937
21:19:31.118429,3836,690,17,100,1,929
21:19:31.124037,3836,691,7,100,1,937
21:19:31.140790,3836,692,17,110,1,937
21:19:31.219474,3836,699,17,100,1,937
21:19:31.337288,3836,710,17,100,1,937
