time,eNB_ID,rnti,rb_id,length
21:39:05.463929,0,45239,1,0
21:39:05.463931,0,45239,4,1
21:39:05.522624,0,45239,1,0
21:39:05.522626,0,45239,4,1
21:39:05.550043,0,45239,1,0
21:39:05.550044,0,45239,4,1
21:39:05.578397,0,45239,1,0
21:39:05.578399,0,45239,4,1
21:39:05.606828,0,45239,1,0
21:39:05.606829,0,45239,4,1
21:39:05.664272,0,45239,1,0
21:39:05.664273,0,45239,4,1
21:39:05.722194,0,45239,1,0
21:39:05.722195,0,45239,4,1
21:39:05.749740,0,45239,1,0
21:39:05.749741,0,45239,4,1
21:39:05.778336,0,45239,1,0
21:39:05.778337,0,45239,4,1
21:39:05.807410,0,45239,1,0
21:39:05.807411,0,45239,4,1
21:39:05.864712,0,45239,1,0
21:39:05.864714,0,45239,4,1
21:39:05.892387,0,45239,1,0
21:39:05.892388,0,45239,4,1
21:39:05.911227,0,45239,1,0
21:39:05.911229,0,45239,4,1
21:39:06.348080,0,35021,1,0
21:39:06.348082,0,35021,4,1
21:39:06.375805,0,35021,1,0
21:39:06.375806,0,35021,4,1
21:39:06.433338,0,35021,1,0
21:39:06.433339,0,35021,4,1
21:39:06.461377,0,35021,1,0
21:39:06.461378,0,35021,4,1
21:39:06.490012,0,35021,1,0
21:39:06.490013,0,35021,4,1
21:39:06.518766,0,35021,1,0
21:39:06.518767,0,35021,4,1
21:39:06.547549,0,35021,1,0
21:39:06.547549,0,35021,4,1
21:39:06.575993,0,35021,1,0
21:39:06.575994,0,35021,4,1
21:39:06.633493,0,35021,1,0
21:39:06.633494,0,35021,4,1
21:39:06.691793,0,35021,1,0
21:39:06.691794,0,35021,4,1
21:39:06.753532,0,35021,1,0
21:39:06.753533,0,35021,4,1
21:39:06.781956,0,35021,1,0
21:39:06.781958,0,35021,4,1
21:39:06.800031,0,35021,1,0
21:39:06.800032,0,35021,4,1
21:39:07.070915,0,45239,1,0
21:39:07.070917,0,45239,4,1
21:39:07.156923,0,45239,1,0
21:39:07.156925,0,45239,4,1
21:39:07.184271,0,45239,1,0
21:39:07.184273,0,45239,4,1
21:39:07.242263,0,45239,1,0
21:39:07.242265,0,45239,4,1
21:39:07.299986,0,45239,1,0
21:39:07.299988,0,45239,4,1
21:39:07.327144,0,45239,1,0
21:39:07.327146,0,45239,4,1
21:39:07.356332,0,45239,1,0
21:39:07.356333,0,45239,4,1
21:39:07.385113,0,45239,1,0
21:39:07.385115,0,45239,4,1
21:39:07.413440,0,45239,1,0
21:39:07.413441,0,45239,4,1
21:39:07.438767,0,45239,1,0
21:39:07.438768,0,45239,4,1
21:39:07.464136,0,45239,1,0
21:39:07.464137,0,45239,4,1
21:39:07.517081,0,45239,1,0
21:39:07.517084,0,45239,4,1
21:39:07.539132,0,45239,1,0
21:39:07.539134,0,45239,4,1
21:39:07.869120,0,35021,1,0
21:39:07.869122,0,35021,4,1
21:39:07.893964,0,35021,1,0
21:39:07.893965,0,35021,4,1
21:39:07.945112,0,35021,1,0
21:39:07.945114,0,35021,4,1
21:39:07.969556,0,35021,1,0
21:39:07.969559,0,35021,4,1
21:39:08.020429,0,35021,1,0
21:39:08.020431,0,35021,4,1
21:39:08.045047,0,35021,1,0
21:39:08.045048,0,35021,4,1
21:39:08.115841,0,35021,1,0
21:39:08.115843,0,35021,4,1
21:39:08.143187,0,35021,1,0
21:39:08.143189,0,35021,4,1
21:39:08.168499,0,35021,1,0
21:39:08.168501,0,35021,4,1
21:39:08.194335,0,35021,1,0
21:39:08.194337,0,35021,4,1
21:39:08.247299,0,35021,1,0
21:39:08.247301,0,35021,4,1
21:39:08.271094,0,35021,1,0
21:39:08.271096,0,35021,4,1
21:39:08.296491,0,35021,1,0
21:39:08.296493,0,35021,4,1
21:39:08.317617,0,35021,1,0
21:39:08.317618,0,35021,4,1
21:39:08.662434,0,45239,1,0
21:39:08.662436,0,45239,4,1
21:39:08.712972,0,45239,1,0
21:39:08.712974,0,45239,4,1
21:39:08.767633,0,45239,1,0
21:39:08.767634,0,45239,4,1
21:39:08.793226,0,45239,1,0
21:39:08.793227,0,45239,4,1
21:39:08.843787,0,45239,1,0
21:39:08.843789,0,45239,4,1
21:39:08.868339,0,45239,1,0
21:39:08.868341,0,45239,4,1
21:39:08.893810,0,45239,1,0
21:39:08.893812,0,45239,4,1
21:39:08.944098,0,45239,1,0
21:39:08.944099,0,45239,4,1
21:39:08.968592,0,45239,1,0
21:39:08.968594,0,45239,4,1
21:39:09.019406,0,45239,1,0
21:39:09.019408,0,45239,4,1
21:39:09.044271,0,45239,1,0
21:39:09.044272,0,45239,4,1
21:39:09.060146,0,45239,1,0
21:39:09.060146,0,45239,4,1
21:39:09.419581,0,35021,1,0
21:39:09.419584,0,35021,4,1
21:39:09.470823,0,35021,1,0
21:39:09.470825,0,35021,4,1
21:39:09.495950,0,35021,1,0
21:39:09.495952,0,35021,4,1
21:39:09.520822,0,35021,1,0
21:39:09.520823,0,35021,4,1
21:39:09.546020,0,35021,1,0
21:39:09.546022,0,35021,4,1
21:39:09.571059,0,35021,1,0
21:39:09.571060,0,35021,4,1
21:39:09.596340,0,35021,1,0
21:39:09.596341,0,35021,4,1
21:39:09.621650,0,35021,1,0
21:39:09.621652,0,35021,4,1
21:39:09.646711,0,35021,1,0
21:39:09.646713,0,35021,4,1
21:39:09.671960,0,35021,1,0
21:39:09.671961,0,35021,4,1
21:39:09.697240,0,35021,1,0
21:39:09.697242,0,35021,4,1
21:39:09.722567,0,35021,1,0
21:39:09.722569,0,35021,4,1
21:39:09.747856,0,35021,1,0
21:39:09.747857,0,35021,4,1
21:39:09.773004,0,35021,1,0
21:39:09.773006,0,35021,4,1
21:39:09.798344,0,35021,1,0
21:39:09.798345,0,35021,4,1
21:39:09.819043,0,35021,1,0
21:39:09.819044,0,35021,4,1
21:39:10.184148,0,45239,1,0
21:39:10.184149,0,45239,4,1
21:39:10.234888,0,45239,1,0
21:39:10.234890,0,45239,4,1
21:39:10.289968,0,45239,1,0
21:39:10.289970,0,45239,4,1
21:39:10.340728,0,45239,1,0
21:39:10.340729,0,45239,4,1
21:39:10.395123,0,45239,1,0
21:39:10.395124,0,45239,4,1
21:39:10.420097,0,45239,1,0
21:39:10.420098,0,45239,4,1
21:39:10.445043,0,45239,1,0
21:39:10.445045,0,45239,4,1
21:39:10.470171,0,45239,1,0
21:39:10.470173,0,45239,4,1
21:39:10.495385,0,45239,1,0
21:39:10.495387,0,45239,4,1
21:39:10.546471,0,45239,1,0
21:39:10.546472,0,45239,4,1
21:39:10.581318,0,45239,1,0
21:39:10.581319,0,45239,4,1
21:39:11.015488,0,35021,1,0
21:39:11.015490,0,35021,4,1
21:39:11.066111,0,35021,1,0
21:39:11.066112,0,35021,4,1
21:39:11.090107,0,35021,1,0
21:39:11.090108,0,35021,4,1
21:39:11.115303,0,35021,1,0
21:39:11.115305,0,35021,4,1
21:39:11.190930,0,35021,1,0
21:39:11.190932,0,35021,4,1
21:39:11.215457,0,35021,1,0
21:39:11.215458,0,35021,4,1
21:39:11.241215,0,35021,1,0
21:39:11.241216,0,35021,4,1
21:39:11.266723,0,35021,1,0
21:39:11.266725,0,35021,4,1
21:39:11.292115,0,35021,1,0
21:39:11.292116,0,35021,4,1
21:39:11.317941,0,35021,1,0
21:39:11.317942,0,35021,4,1
21:39:11.369870,0,35021,1,0
21:39:11.369871,0,35021,4,1
21:39:11.395145,0,35021,1,0
21:39:11.395146,0,35021,4,1
21:39:11.420802,0,35021,1,0
21:39:11.420803,0,35021,4,1
21:39:11.441904,0,35021,1,0
21:39:11.441905,0,35021,4,1
21:39:11.791878,0,45239,1,0
21:39:11.791880,0,45239,4,1
21:39:11.842966,0,45239,1,0
21:39:11.842967,0,45239,4,1
21:39:11.867249,0,45239,1,0
21:39:11.867250,0,45239,4,1
21:39:11.917986,0,45239,1,0
21:39:11.917987,0,45239,4,1
21:39:11.969251,0,45239,1,0
21:39:11.969252,0,45239,4,1
21:39:11.993880,0,45239,1,0
21:39:11.993882,0,45239,4,1
21:39:12.020143,0,45239,1,0
21:39:12.020145,0,45239,4,1
21:39:12.071619,0,45239,1,0
21:39:12.071620,0,45239,4,1
21:39:12.096103,0,45239,1,0
21:39:12.096105,0,45239,4,1
21:39:12.218480,0,45239,1,0
21:39:12.218481,0,45239,4,1
21:39:12.269794,0,45239,1,0
21:39:12.269796,0,45239,4,1
21:39:12.289950,0,45239,1,0
21:39:12.289951,0,45239,4,1
21:39:12.628918,0,35021,1,0
21:39:12.628920,0,35021,4,1
21:39:12.679929,0,35021,1,0
21:39:12.679931,0,35021,4,1
21:39:12.734676,0,35021,1,0
21:39:12.734678,0,35021,4,1
21:39:12.759914,0,35021,1,0
21:39:12.759916,0,35021,4,1
21:39:12.785422,0,35021,1,0
21:39:12.785423,0,35021,4,1
21:39:12.811168,0,35021,1,0
21:39:12.811170,0,35021,4,1
21:39:12.836688,0,35021,1,0
21:39:12.836689,0,35021,4,1
21:39:12.862002,0,35021,1,0
21:39:12.862004,0,35021,4,1
21:39:12.888095,0,35021,1,0
21:39:12.888096,0,35021,4,1
21:39:12.912850,0,35021,1,0
21:39:12.912852,0,35021,4,1
21:39:12.964274,0,35021,1,0
21:39:12.964275,0,35021,4,1
21:39:12.989255,0,35021,1,0
21:39:12.989257,0,35021,4,1
21:39:13.030176,0,35021,1,0
21:39:13.030177,0,35021,4,1
21:39:13.361182,0,45239,1,0
21:39:13.361184,0,45239,4,1
21:39:13.410599,0,45239,1,0
21:39:13.410601,0,45239,4,1
21:39:13.434882,0,45239,1,0
21:39:13.434883,0,45239,4,1
21:39:13.487967,0,45239,1,0
21:39:13.487968,0,45239,4,1
21:39:13.516079,0,45239,1,0
21:39:13.516081,0,45239,4,1
21:39:13.544677,0,45239,1,0
21:39:13.544679,0,45239,4,1
21:39:13.573520,0,45239,1,0
21:39:13.573521,0,45239,4,1
21:39:13.601939,0,45239,1,0
21:39:13.601940,0,45239,4,1
21:39:13.630222,0,45239,1,0
21:39:13.630224,0,45239,4,1
21:39:13.658758,0,45239,1,0
21:39:13.658760,0,45239,4,1
21:39:13.687170,0,45239,1,0
21:39:13.687171,0,45239,4,1
21:39:13.715759,0,45239,1,0
21:39:13.715760,0,45239,4,1
21:39:13.773418,0,45239,1,0
21:39:13.773419,0,45239,4,1
21:39:13.796323,0,45239,1,0
21:39:13.796324,0,45239,4,1
21:39:14.142653,0,35021,1,0
21:39:14.142654,0,35021,4,1
21:39:14.201041,0,35021,1,0
21:39:14.201043,0,35021,4,1
21:39:14.228918,0,35021,1,0
21:39:14.228919,0,35021,4,1
21:39:14.273830,0,35021,1,0
21:39:14.273832,0,35021,4,1
21:39:14.361907,0,35021,1,0
21:39:14.361908,0,35021,4,1
21:39:14.419570,0,35021,1,0
21:39:14.419571,0,35021,4,1
21:39:14.446991,0,35021,1,0
21:39:14.446993,0,35021,4,1
21:39:14.475658,0,35021,1,0
21:39:14.475659,0,35021,4,1
21:39:14.534707,0,35021,1,0
21:39:14.534708,0,35021,4,1
21:39:14.593799,0,35021,1,0
21:39:14.593800,0,35021,4,1
21:39:14.645820,0,35021,1,0
21:39:14.645821,0,35021,4,1
21:39:14.950153,0,45239,1,0
21:39:14.950154,0,45239,4,1
21:39:15.007608,0,45239,1,0
21:39:15.007609,0,45239,4,1
21:39:15.069641,0,45239,1,0
21:39:15.069642,0,45239,4,1
21:39:15.127429,0,45239,1,0
21:39:15.127431,0,45239,4,1
21:39:15.188981,0,45239,1,0
21:39:15.188983,0,45239,4,1
21:39:15.247333,0,45239,1,0
21:39:15.247335,0,45239,4,1
21:39:15.310014,0,45239,1,0
21:39:15.310016,0,45239,4,1
21:39:15.369440,0,45239,1,0
21:39:15.369442,0,45239,4,1
21:39:15.397551,0,45239,1,0
21:39:15.397553,0,45239,4,1
21:39:15.416445,0,45239,1,0
21:39:15.416446,0,45239,4,1
21:39:15.749223,0,35021,1,0
21:39:15.749226,0,35021,4,1
21:39:15.806250,0,35021,1,0
21:39:15.806251,0,35021,4,1
21:39:15.867989,0,35021,1,0
21:39:15.867991,0,35021,4,1
21:39:15.925870,0,35021,1,0
21:39:15.925871,0,35021,4,1
21:39:16.018932,0,35021,1,0
21:39:16.018933,0,35021,4,1
21:39:16.048875,0,35021,1,0
21:39:16.048876,0,35021,4,1
21:39:16.077037,0,35021,1,0
21:39:16.077037,0,35021,4,1
21:39:16.105318,0,35021,1,0
21:39:16.105319,0,35021,4,1
21:39:16.133465,0,35021,1,0
21:39:16.133466,0,35021,4,1
21:39:16.162531,0,35021,1,0
21:39:16.162534,0,35021,4,1
21:39:16.219865,0,35021,1,0
21:39:16.219866,0,35021,4,1
21:39:16.239102,0,35021,1,0
21:39:16.239103,0,35021,4,1
21:39:16.529199,0,45239,1,0
21:39:16.529200,0,45239,4,1
21:39:16.586686,0,45239,1,0
21:39:16.586688,0,45239,4,1
21:39:16.648533,0,45239,1,0
21:39:16.648534,0,45239,4,1
21:39:16.677202,0,45239,1,0
21:39:16.677203,0,45239,4,1
21:39:16.706325,0,45239,1,0
21:39:16.706326,0,45239,4,1
21:39:16.735573,0,45239,1,0
21:39:16.735574,0,45239,4,1
21:39:16.764841,0,45239,1,0
21:39:16.764843,0,45239,4,1
21:39:16.793891,0,45239,1,0
21:39:16.793892,0,45239,4,1
21:39:16.823036,0,45239,1,0
21:39:16.823037,0,45239,4,1
21:39:16.852176,0,45239,1,0
21:39:16.852177,0,45239,4,1
21:39:16.881150,0,45239,1,0
21:39:16.881152,0,45239,4,1
21:39:16.910516,0,45239,1,0
21:39:16.910518,0,45239,4,1
21:39:16.939602,0,45239,1,0
21:39:16.939604,0,45239,4,1
21:39:16.969475,0,45239,1,0
21:39:16.969476,0,45239,4,1
21:39:16.987542,0,45239,1,0
21:39:16.987544,0,45239,4,1
21:39:17.343518,0,35021,1,0
21:39:17.343520,0,35021,4,1
21:39:17.443234,0,35021,1,0
21:39:17.443236,0,35021,4,1
21:39:17.508318,0,35021,1,0
21:39:17.508320,0,35021,4,1
21:39:17.568624,0,35021,1,0
21:39:17.568626,0,35021,4,1
21:39:17.632522,0,35021,1,0
21:39:17.632524,0,35021,4,1
21:39:17.662398,0,35021,1,0
21:39:17.662400,0,35021,4,1
21:39:17.691673,0,35021,1,0
21:39:17.691675,0,35021,4,1
21:39:17.721494,0,35021,1,0
21:39:17.721495,0,35021,4,1
21:39:17.750974,0,35021,1,0
21:39:17.750975,0,35021,4,1
21:39:17.780223,0,35021,1,0
21:39:17.780225,0,35021,4,1
21:39:17.809460,0,35021,1,0
21:39:17.809461,0,35021,4,1
21:39:17.838888,0,35021,1,0
21:39:17.838889,0,35021,4,1
21:39:17.857914,0,35021,1,0
21:39:17.857915,0,35021,4,1
21:39:18.081305,0,45239,1,0
21:39:18.081306,0,45239,4,1
21:39:18.140568,0,45239,1,0
21:39:18.140569,0,45239,4,1
21:39:18.203437,0,45239,1,0
21:39:18.203438,0,45239,4,1
21:39:18.232633,0,45239,1,0
21:39:18.232634,0,45239,4,1
21:39:18.262718,0,45239,1,0
21:39:18.262719,0,45239,4,1
21:39:18.293446,0,45239,1,0
21:39:18.293447,0,45239,4,1
21:39:18.401163,0,45239,1,0
21:39:18.401164,0,45239,4,1
21:39:18.472898,0,45239,1,0
21:39:18.472900,0,45239,4,1
21:39:18.502088,0,45239,1,0
21:39:18.502090,0,45239,4,1
21:39:18.561216,0,45239,1,0
21:39:18.561218,0,45239,4,1
21:39:18.589833,0,45239,1,0
21:39:18.589835,0,45239,4,1
21:39:18.636919,0,45239,1,0
21:39:18.636921,0,45239,4,1
21:39:18.959514,0,35021,1,0
21:39:18.959515,0,35021,4,1
21:39:19.019596,0,35021,1,0
21:39:19.019598,0,35021,4,1
21:39:19.086838,0,35021,1,0
21:39:19.086840,0,35021,4,1
21:39:19.150089,0,35021,1,0
21:39:19.150090,0,35021,4,1
21:39:19.216418,0,35021,1,0
21:39:19.216420,0,35021,4,1
21:39:19.246608,0,35021,1,0
21:39:19.246610,0,35021,4,1
21:39:19.306143,0,35021,1,0
21:39:19.306145,0,35021,4,1
21:39:19.335201,0,35021,1,0
21:39:19.335204,0,35021,4,1
21:39:19.396856,0,35021,1,0
21:39:19.396858,0,35021,4,1
21:39:19.425219,0,35021,1,0
21:39:19.425220,0,35021,4,1
21:39:19.444615,0,35021,1,0
21:39:19.444616,0,35021,4,1
21:39:19.760348,0,45239,1,0
21:39:19.760350,0,45239,4,1
21:39:19.820676,0,45239,1,0
21:39:19.820678,0,45239,4,1
21:39:19.885755,0,45239,1,0
21:39:19.885756,0,45239,4,1
21:39:19.945851,0,45239,1,0
21:39:19.945853,0,45239,4,1
21:39:20.009575,0,45239,1,0
21:39:20.009577,0,45239,4,1
21:39:20.039193,0,45239,1,0
21:39:20.039195,0,45239,4,1
21:39:20.098848,0,45239,1,0
21:39:20.098850,0,45239,4,1
21:39:20.160500,0,45239,1,0
21:39:20.160502,0,45239,4,1
21:39:20.188179,0,45239,1,0
21:39:20.188180,0,45239,4,1
21:39:20.221835,0,45239,1,0
21:39:20.221836,0,45239,4,1
21:39:20.241301,0,45239,1,0
21:39:20.241302,0,45239,4,1
