time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
21:38:57.165303,896982,228848251,45239,585,7,209
21:38:57.205360,896982,268905010,35021,589,7,209
21:38:57.286633,896982,350177839,45239,597,7,193
21:38:57.326884,896982,390429615,35021,601,7,193
21:38:57.408164,896982,471709384,45239,609,7,165
21:38:57.448583,896982,512128651,35021,613,7,165
21:38:57.530076,896982,593621144,45239,621,7,165
21:38:57.569899,896982,633444437,35021,625,7,165
21:38:57.651171,896982,714716145,45239,633,7,149
21:38:57.789620,896982,853165809,35021,637,7,149
21:38:57.868443,896982,931988089,45239,645,7,149
21:38:57.909059,896982,972604076,35021,649,7,149
21:38:57.981098,896983,44643388,45239,656,7,129
21:38:58.034976,896983,98521189,35021,661,7,129
21:38:58.097077,896983,160622033,45239,667,7,129
21:38:58.147457,896983,211001781,35021,672,7,129
21:38:58.208833,896983,272377835,45239,678,7,129
21:38:58.269552,896983,333097055,35021,684,7,129
21:38:58.319678,896983,383222728,45239,689,7,116
21:38:58.380502,896983,444047347,35021,695,7,116
21:38:58.431519,896983,495064544,45239,700,7,116
21:38:58.492145,896983,555690504,35021,706,7,116
21:38:58.542143,896983,605688170,45239,711,7,116
21:38:58.603452,896983,666997759,35021,717,7,116
21:38:58.654262,896983,717807423,45239,722,7,116
21:38:58.802202,896983,865747436,35021,727,8,116
21:38:58.861538,896983,925083540,45239,733,7,116
21:38:58.902709,896983,966253868,35021,737,8,116
21:38:58.963263,896984,26808625,45239,743,8,116
21:38:59.003990,896984,67535198,35021,747,8,116
21:38:59.064538,896984,128083250,45239,753,8,116
21:38:59.112647,896984,176192182,35021,757,8,116
21:38:59.173986,896984,237530905,45239,763,8,116
21:38:59.215159,896984,278704308,35021,767,8,116
21:38:59.276053,896984,339598519,45239,773,8,116
21:38:59.316398,896984,379943672,35021,777,8,116
21:38:59.377995,896984,441540668,45239,783,8,116
21:38:59.418229,896984,481774301,35021,787,8,116
21:38:59.489489,896984,553034340,45239,794,7,116
21:38:59.520825,896984,584370042,35021,797,8,116
21:38:59.602545,896984,666090831,45239,805,7,116
21:38:59.623333,896984,686878067,35021,807,8,116
21:38:59.798683,896984,862228093,45239,815,8,116
21:38:59.818945,896984,882489990,35021,817,8,116
21:38:59.911955,896984,975500238,45239,826,7,116
21:38:59.932353,896984,995898570,35021,828,7,116
21:39:00.015258,896985,78803402,45239,836,8,116
21:39:00.036069,896985,99614227,35021,838,8,116
21:39:00.117709,896985,181254591,45239,846,8,116
21:39:00.151084,896985,214628930,35021,849,7,106
21:39:00.234730,896985,298275660,45239,857,7,106
21:39:00.255635,896985,319180273,35021,859,8,116
21:39:00.338339,896985,401884491,45239,867,8,116
21:39:00.368887,896985,432431790,35021,870,7,116
21:39:00.441214,896985,504759122,45239,877,8,116
21:39:00.472722,896985,536267751,35021,880,8,106
21:39:00.555979,896985,619523738,45239,888,7,116
21:39:00.577938,896985,641483088,35021,890,8,116
21:39:00.660585,896985,724129934,45239,898,8,116
21:39:00.681047,896985,744592175,35021,900,8,116
21:39:00.763859,896985,827403840,45239,908,8,116
21:39:00.831957,896985,895502829,35021,910,8,116
21:39:00.957836,896986,21381512,45239,918,8,116
21:39:00.978619,896986,42164119,35021,920,8,106
21:39:01.061904,896986,125449354,45239,928,8,106
21:39:01.082562,896986,146107619,35021,930,8,116
21:39:01.165330,896986,228875172,45239,938,8,116
21:39:01.186465,896986,250010555,35021,940,8,116
21:39:01.274555,896986,338100333,45239,948,8,116
21:39:01.294575,896986,358120592,35021,950,8,116
21:39:01.384478,896986,448023110,45239,959,7,116
21:39:01.404545,896986,468090317,35021,961,7,106
21:39:01.485895,896986,549440435,45239,969,8,116
21:39:01.506346,896986,569890915,35021,971,8,116
21:39:01.587561,896986,651106530,45239,979,8,116
21:39:01.607133,896986,670678520,35021,981,8,116
21:39:01.688254,896986,751799327,45239,989,8,116
21:39:01.710409,896986,773953976,35021,991,8,116
21:39:01.805600,896986,869145387,45239,999,8,116
21:39:01.923367,896986,986912027,35021,1001,8,116
21:39:02.014673,896987,78218746,45239,1009,8,116
21:39:02.037418,896987,100962923,35021,1011,8,116
21:39:02.128820,896987,192365116,45239,1019,8,116
21:39:02.151692,896987,215236929,35021,1021,8,116
21:39:02.243279,896987,306823892,45239,5,8,116
21:39:02.266194,896987,329739045,35021,7,8,116
21:39:02.357199,896987,420744719,45239,15,8,116
21:39:02.379645,896987,443190740,35021,17,8,116
21:39:02.470205,896987,533749909,45239,25,8,116
21:39:02.503303,896987,566848327,35021,28,7,116
21:39:02.582857,896987,646402701,45239,35,8,116
21:39:02.617133,896987,680677994,35021,38,8,116
21:39:02.696164,896987,759708866,45239,45,8,116
21:39:02.730173,896987,793718419,35021,48,8,106
21:39:02.809354,896987,872898968,45239,55,8,116
21:39:02.843854,896987,907399211,35021,58,8,116
21:39:03.031804,896988,95349089,45239,65,8,116
21:39:03.059746,896988,123291009,35021,68,8,116
21:39:03.130022,896988,193567684,45239,75,8,116
21:39:03.160607,896988,224152385,35021,78,8,116
21:39:03.240109,896988,303654583,45239,86,7,116
21:39:03.260738,896988,324283778,35021,88,8,106
21:39:03.350071,896988,413616485,45239,96,8,106
21:39:03.369626,896988,433171501,35021,98,8,116
21:39:03.457951,896988,521496090,45239,107,7,116
21:39:03.477773,896988,541318000,35021,109,7,116
21:39:03.557726,896988,621270961,45239,117,8,116
21:39:03.577766,896988,641311538,35021,119,8,116
21:39:03.657136,896988,720681441,45239,127,8,116
21:39:03.676788,896988,740332881,35021,129,8,116
21:39:03.755683,896988,819228657,45239,137,8,116
21:39:03.784992,896988,848537759,35021,140,7,116
21:39:03.854704,896988,918249397,45239,147,8,116
21:39:03.884221,896988,947766011,35021,150,8,116
21:39:04.055196,896989,118741192,45239,157,8,116
21:39:04.084946,896989,148491342,35021,160,8,106
21:39:04.153911,896989,217456295,45239,167,8,116
21:39:04.183599,896989,247144210,35021,170,8,116
21:39:04.253667,896989,317212408,45239,177,8,116
21:39:04.283425,896989,346970519,35021,180,8,116
21:39:04.355491,896989,419036039,45239,187,8,116
21:39:04.387721,896989,451266122,35021,190,8,116
21:39:04.473300,896989,536845410,45239,198,7,116
21:39:04.495793,896989,559338025,35021,200,8,106
21:39:04.592700,896989,656244988,45239,209,7,106
21:39:04.603886,896989,667431668,35021,210,8,116
21:39:04.707304,896989,770849231,45239,219,8,116
21:39:04.719380,896989,782925167,35021,220,8,116
