ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,893684830219745,893684961409808,893685636794619,806.574874,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000000,368435456,893685230219745,893685387724960,893686179718716,949.498971,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000001,736870913,893685680219745,893685845227542,893686865887250,1185.667505,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000001,368435457,893686130219745,893686329895050,893687320818775,1190.59903,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000002,736870914,893686530219745,893686996068449,893687950844874,1420.625129,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000002,368435458,893686980219745,893687471749376,893688427588132,1447.368387,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000003,736870915,893687380219745,893688099824390,893688973111203,1592.891458,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000003,368435459,893687830219745,893688578458656,893689486829471,1656.609726,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000004,736870916,893688280219745,893689122667591,893690117351052,1837.131307,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000004,368435460,893688680219745,893689637353764,893690610273489,1930.053744,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000005,736870917,893689130219745,893690276569378,893691155650185,2025.43044,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000005,368435461,893689530219745,893690759574674,893691661308684,2131.088939,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000006,736870918,893689980219745,893691303245198,893692256258406,2276.038661,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000006,368435462,893690380219745,893691808651055,893692730769964,2350.550219,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000007,736870919,893690830219745,893692405140054,893693321692944,2491.473199,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000007,368435463,893691280219745,893692878521876,893693736004430,2455.784685,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000008,736870920,893691680219745,893693450790976,893694253528964,2573.309219,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000008,368435464,893692130219745,893693867775305,893694685028741,2554.808996,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000009,736870921,893692530219745,893694385769187,893695230732696,2700.512951,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000009,368435465,893692980219745,893694831008921,893695671950443,2691.730698,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000010,736870922,893693380219745,893695366699778,893696264871746,2884.652001,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000010,368435466,893693830219745,893695808517337,893696686043427,2855.823682,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000011,736870923,893694280219745,893696400252930,893697275414848,2995.195103,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000011,368435467,893694680219745,893696815311071,893697690906387,3010.686642,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000012,736870924,893695130219745,893697406101250,893698174321232,3044.101487,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000012,368435468,893695530219745,893697826744208,893698694106190,3163.886445,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000013,736870925,893695980219745,893698391244054,893699236145363,3255.925618,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000013,368435469,893696430219745,893698848375489,893699766319282,3336.099537,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000014,736870926,893696830219745,893699433140692,893700303434077,3473.214332,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000014,368435470,893697280219745,893699914527785,893700806982818,3526.763073,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000015,736870927,893697680219745,893700475960376,893701359358786,3679.139041,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000015,368435471,893698130219745,893700967091387,893701837769924,3707.550179,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000016,736870928,893698530219745,893701508777839,893702415325174,3885.105429,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
