recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
894087628589100,1786679451225038197,192.168.70.134,1,736870912,0,7,60000,60028,0
894087704886986,1786679451301182467,192.168.70.134,1,736870912,1,7,60000,60028,0
894087779362303,1786679451375648344,192.168.70.134,1,736870912,2,7,60000,60028,0
894087853944499,1786679451450239664,192.168.70.134,1,736870912,3,7,60000,60028,0
894087928694344,1786679451524989742,192.168.70.134,1,736870912,4,7,60000,60028,0
894088002595569,1786679451598886432,192.168.70.134,1,736870912,5,7,60000,60028,0
894088065562113,1786679451661860796,192.168.70.134,1,736870912,6,7,49656,49684,0
894088540532900,1786679452136840764,192.168.70.134,0,368435456,0,7,60000,60028,0
894088616135971,1786679452212436009,192.168.70.134,0,368435456,1,7,60000,60028,0
894088689382178,1786679452285681493,192.168.70.134,0,368435456,2,7,60000,60028,0
894088763823231,1786679452360125876,192.168.70.134,0,368435456,3,7,60000,60028,0
894088837889583,1786679452434190985,192.168.70.134,0,368435456,4,7,60000,60028,0
894088910922613,1786679452507232017,192.168.70.134,0,368435456,5,7,60000,60028,0
894088972655985,1786679452568957272,192.168.70.134,0,368435456,6,7,49656,49684,0
894089544967775,1786679453141279626,192.168.70.134,1,736870913,0,7,60000,60028,0
894089618518315,1786679453214829723,192.168.70.134,1,736870913,1,7,60000,60028,0
894089691143517,1786679453287461557,192.168.70.134,1,736870913,2,7,60000,60028,0
894089766312754,1786679453362634441,192.168.70.134,1,736870913,3,7,60000,60028,0
894089842408217,1786679453438725764,192.168.70.134,1,736870913,4,7,60000,60028,0
894089920807424,1786679453517124772,192.168.70.134,1,736870913,5,7,60000,60028,0
894089993896290,1786679453590213488,192.168.70.134,1,736870913,6,7,49656,49684,0
894090374094294,1786679453970415053,192.168.70.134,0,368435457,0,7,60000,60028,0
894090497428856,1786679454093757878,192.168.70.134,0,368435457,1,7,60000,60028,0
894090573295023,1786679454169621264,192.168.70.134,0,368435457,2,7,60000,60028,0
894090648629812,1786679454244955985,192.168.70.134,0,368435457,3,7,60000,60028,0
