tick,tick_raw_ns,observation_available_raw_ns,ue0_c_hat_mbps,ue1_c_hat_mbps,ue0_source_event_raw_ns,ue1_source_event_raw_ns
0,894238383720884,894238383831778,2.939336,2.939336,0,0
1,894238433720884,894238433796380,2.939336,2.939336,894238296287489,894238285012864
2,894238483720884,894238483805067,2.939336,2.939336,894238296287489,894238433190443
3,894238533720884,894238533921623,2.939336,2.939336,894238445797210,894238433190443
4,894238583720884,894238583868525,2.939336,2.939336,894238445797210,894238433190443
5,894238633720884,894238633793260,2.366361312839042,2.939336,894238583308621,894238552273066
6,894238683720884,894238683787453,1.964896139767835,2.939336,894238631498759,894238552273066
7,894238733720884,894238733805881,1.7037341369744734,2.939336,894238683681313,894238671636473
8,894238783720884,894238783807395,1.554305729367578,2.939336,894238731393484,894238671636473
9,894238833720884,894238833792716,1.4989000519919253,2.939336,894238781834429,894238671636473
10,894238883720884,894238883798655,1.514585645755007,2.939336,894238832666769,894238787579369
11,894238933720884,894238933817713,1.5873089138230152,2.939336,894238879956763,894238787579369
12,894238983720884,894238983797873,1.7083252804605706,2.939336,894238931241678,894238901782542
13,894239033720884,894239033823922,1.8658774926237476,2.939336,894238982952827,894238901782542
14,894239083720884,894239083796951,2.0512273587655554,2.939336,894239029819021,894239016815610
15,894239133720884,894239133799619,2.2634931149635227,2.939336,894239081188620,894239016815610
16,894239183720884,894239184349201,2.4484347406540508,2.939336,894239098239574,894239132413878
17,894239233720884,894239233809278,2.5962368557811293,2.939336,894239098239574,894239132413878
18,894239283720884,894239283805179,2.714629733308136,2.939336,894239212699520,894239132413878
19,894239333720884,894239333793533,2.809344035329741,2.939336,894239212699520,894239247031874
20,894239383720884,894239383805741,2.8851154769470253,2.939336,894239327812639,894239247031874
21,894239433720884,894239433816777,2.945732630240853,2.939336,894239327812639,894239247031874
22,894239483720884,894239483800310,2.994226352875915,2.939336,894239327812639,894239390838139
23,894239533720884,894239533814465,3.0330348029525593,2.939336,894239472098891,894239390838139
