recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
893597565980299,1786678961155953429,192.168.70.134,1,736870912,0,7,60000,60028,0
893597644969215,1786678961234919448,192.168.70.134,1,736870912,1,7,60000,60028,0
893597723060909,1786678961313014693,192.168.70.134,1,736870912,2,7,60000,60028,0
893597825120569,1786678961415080260,192.168.70.134,0,368435456,0,7,60000,60028,0
893597953088568,1786678961543043377,192.168.70.134,0,368435456,1,7,60000,60028,0
893597965480082,1786678961555429030,192.168.70.134,1,736870912,3,7,60000,60028,0
893598104844133,1786678961694802504,192.168.70.134,0,368435456,2,7,60000,60028,0
893598114529748,1786678961704477118,192.168.70.134,1,736870912,4,7,60000,60028,0
893598237926312,1786678961827883088,192.168.70.134,0,368435456,3,7,60000,60028,0
893598247551382,1786678961837498799,192.168.70.134,1,736870912,5,7,60000,60028,0
893598368550961,1786678961958512065,192.168.70.134,1,736870912,6,7,49656,49684,0
893598380638386,1786678961970588696,192.168.70.134,0,368435456,4,7,60000,60028,0
893598521825141,1786678962111787241,192.168.70.134,1,736870913,0,7,60000,60028,0
893598533173339,1786678962123133285,192.168.70.134,0,368435456,5,7,60000,60028,0
893598660625612,1786678962250589570,192.168.70.134,0,368435456,6,7,49656,49684,0
893598672152497,1786678962262108004,192.168.70.134,1,736870913,1,7,60000,60028,0
893598809981510,1786678962399944008,192.168.70.134,0,368435457,0,7,60000,60028,0
893598821451464,1786678962411405286,192.168.70.134,1,736870913,2,7,60000,60028,0
893599007860868,1786678962597828047,192.168.70.134,0,368435457,1,7,60000,60028,0
893599062385075,1786678962652354044,192.168.70.134,1,736870913,3,7,60000,60028,0
893599204122945,1786678962794099174,192.168.70.134,0,368435457,2,7,60000,60028,0
893599216267503,1786678962806227552,192.168.70.134,1,736870913,4,7,60000,60028,0
893599356044062,1786678962946021708,192.168.70.134,0,368435457,3,7,60000,60028,0
893599367755359,1786678962957720740,192.168.70.134,1,736870913,5,7,60000,60028,0
893599497141010,1786678963087111332,192.168.70.134,1,736870913,6,7,49656,49684,0
893599508120093,1786678963098082109,192.168.70.134,0,368435457,4,7,60000,60028,0
893599650543461,1786678963240515280,192.168.70.134,1,736870914,0,7,60000,60028,0
893599661849804,1786678963251817666,192.168.70.134,0,368435457,5,7,60000,60028,0
893599789394924,1786678963379367129,192.168.70.134,0,368435457,6,7,49656,49684,0
893599800507936,1786678963390480704,192.168.70.134,1,736870914,1,7,60000,60028,0
893599939622850,1786678963529599424,192.168.70.134,0,368435458,0,7,60000,60028,0
893599951362014,1786678963541333517,192.168.70.134,1,736870914,2,7,60000,60028,0
893600181432356,1786678963771412912,192.168.70.134,0,368435458,1,7,60000,60028,0
893600192867393,1786678963782842975,192.168.70.134,1,736870914,3,7,60000,60028,0
893600331305571,1786678963921286083,192.168.70.134,0,368435458,2,7,60000,60028,0
893600347635958,1786678963937613038,192.168.70.134,1,736870914,4,7,60000,60028,0
893600482688483,1786678964072970703,192.168.70.134,0,368435458,3,7,60000,60028,0
893600500157500,1786678964090136122,192.168.70.134,1,736870914,5,7,60000,60028,0
893600622031282,1786678964212014551,192.168.70.134,1,736870914,6,7,49656,49684,0
893600632846833,1786678964222822431,192.168.70.134,0,368435458,4,7,60000,60028,0
893600770487554,1786678964360490066,192.168.70.134,1,736870915,0,7,60000,60028,0
893600786818259,1786678964376800416,192.168.70.134,0,368435458,5,7,60000,60028,0
893600909027320,1786678964499044634,192.168.70.134,0,368435458,6,7,49656,49684,0
893600920184630,1786678964510163224,192.168.70.134,1,736870915,1,7,60000,60028,0
893601095852306,1786678964685838840,192.168.70.134,0,368435459,0,7,60000,60028,0
893601113169884,1786678964703156233,192.168.70.134,1,736870915,2,7,60000,60028,0
893601250165649,1786678964840155925,192.168.70.134,0,368435459,1,7,60000,60028,0
893601266716828,1786678964856705064,192.168.70.134,1,736870915,3,7,60000,60028,0
893601399580593,1786678964989578095,192.168.70.134,0,368435459,2,7,60000,60028,0
893601417379184,1786678965007372411,192.168.70.134,1,736870915,4,7,60000,60028,0
893601550816856,1786678965140809270,192.168.70.134,0,368435459,3,7,60000,60028,0
893601567025095,1786678965157014069,192.168.70.134,1,736870915,5,7,60000,60028,0
893601688615966,1786678965278610575,192.168.70.134,1,736870915,6,7,49656,49684,0
893601705412514,1786678965295408565,192.168.70.134,0,368435459,4,7,60000,60028,0
893601853052431,1786678965443050698,192.168.70.134,1,736870916,0,7,60000,60028,0
893601863904534,1786678965453901088,192.168.70.134,0,368435459,5,7,60000,60028,0
893602033175498,1786678965623170736,192.168.70.134,0,368435459,6,7,49656,49684,0
893602094409486,1786678965684407112,192.168.70.134,1,736870916,1,7,60000,60028,0
893602227796713,1786678965817794735,192.168.70.134,0,368435460,0,7,60000,60028,0
893602245626862,1786678965835623002,192.168.70.134,1,736870916,2,7,60000,60028,0
893602380050979,1786678965970051241,192.168.70.134,0,368435460,1,7,60000,60028,0
893602398545189,1786678965988543369,192.168.70.134,1,736870916,3,7,60000,60028,0
893602531908051,1786678966121909607,192.168.70.134,0,368435460,2,7,60000,60028,0
893602549085664,1786678966139078447,192.168.70.134,1,736870916,4,7,60000,60028,0
893602691779227,1786678966281781515,192.168.70.134,0,368435460,3,7,60000,60028,0
893602702902034,1786678966292900002,192.168.70.134,1,736870916,5,7,60000,60028,0
893602829932145,1786678966419942140,192.168.70.134,1,736870916,6,7,49656,49684,0
893602843263799,1786678966433266112,192.168.70.134,0,368435460,4,7,60000,60028,0
893602981804758,1786678966571811298,192.168.70.134,1,736870917,0,7,60000,60028,0
893602996629571,1786678966586631043,192.168.70.134,0,368435460,5,7,60000,60028,0
893603221537774,1786678966811547167,192.168.70.134,0,368435460,6,7,49656,49684,0
893603239089900,1786678966829092944,192.168.70.134,1,736870917,1,7,60000,60028,0
893603388513368,1786678966978577349,192.168.70.134,0,368435461,0,7,60000,60028,0
893603400705299,1786678966990717978,192.168.70.134,1,736870917,2,7,60000,60028,0
893603538559564,1786678967128575352,192.168.70.134,0,368435461,1,7,60000,60028,0
893603550518321,1786678967140527156,192.168.70.134,1,736870917,3,7,60000,60028,0
893603688040853,1786678967278052593,192.168.70.134,0,368435461,2,7,60000,60028,0
893603698945937,1786678967288952938,192.168.70.134,1,736870917,4,7,60000,60028,0
893603837311705,1786678967427325201,192.168.70.134,0,368435461,3,7,60000,60028,0
893603849488407,1786678967439498130,192.168.70.134,1,736870917,5,7,60000,60028,0
893603974868892,1786678967564886261,192.168.70.134,1,736870917,6,7,49656,49684,0
893603986670437,1786678967576680288,192.168.70.134,0,368435461,4,7,60000,60028,0
893604141683193,1786678967731700295,192.168.70.134,1,736870918,0,7,60000,60028,0
893604150470590,1786678967740486031,192.168.70.134,0,368435461,5,7,60000,60028,0
893604314565305,1786678967904585630,192.168.70.134,0,368435461,6,7,49656,49684,0
893604326393030,1786678967916414487,192.168.70.134,1,736870918,1,7,60000,60028,0
893604465150239,1786678968055172421,192.168.70.134,0,368435462,0,7,60000,60028,0
893604476673328,1786678968066696031,192.168.70.134,1,736870918,2,7,60000,60028,0
893604614698122,1786678968204730519,192.168.70.134,0,368435462,1,7,60000,60028,0
893604625988486,1786678968216014425,192.168.70.134,1,736870918,3,7,60000,60028,0
893604766740745,1786678968356765200,192.168.70.134,0,368435462,2,7,60000,60028,0
893604777708926,1786678968367722609,192.168.70.134,1,736870918,4,7,60000,60028,0
893604916233962,1786678968506260188,192.168.70.134,0,368435462,3,7,60000,60028,0
893604928291517,1786678968518305749,192.168.70.134,1,736870918,5,7,60000,60028,0
