recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
893523625961000,1786678887215250525,192.168.70.134,1,736870912,0,7,60000,60028,0
893523704505546,1786678887293711813,192.168.70.134,1,736870912,1,7,60000,60028,0
893523779244647,1786678887368450146,192.168.70.134,1,736870912,2,7,60000,60028,0
893523893299238,1786678887482506002,192.168.70.134,0,368435456,0,7,60000,60028,0
893523991445483,1786678887580664099,192.168.70.134,1,736870912,3,7,60000,60028,0
893524008666443,1786678887597876254,192.168.70.134,0,368435456,1,7,60000,60028,0
893524141039123,1786678887730267547,192.168.70.134,1,736870912,4,7,60000,60028,0
893524158534926,1786678887747745904,192.168.70.134,0,368435456,2,7,60000,60028,0
893524293635953,1786678887882847636,192.168.70.134,1,736870912,5,7,60000,60028,0
893524304984022,1786678887894187755,192.168.70.134,0,368435456,3,7,60000,60028,0
893524413775396,1786678888002988032,192.168.70.134,1,736870912,6,7,49656,49684,0
893524453158780,1786678888042373096,192.168.70.134,0,368435456,4,7,60000,60028,0
893524600988611,1786678888190204552,192.168.70.134,1,736870913,0,7,60000,60028,0
893524647383832,1786678888236603759,192.168.70.134,0,368435456,5,7,60000,60028,0
893524751727408,1786678888340943795,192.168.70.134,1,736870913,1,7,60000,60028,0
893524769453452,1786678888358664768,192.168.70.134,0,368435456,6,7,49656,49684,0
893524908899080,1786678888498118103,192.168.70.134,1,736870913,2,7,60000,60028,0
893524921501562,1786678888510712372,192.168.70.134,0,368435457,0,7,60000,60028,0
893525058949067,1786678888648168903,192.168.70.134,1,736870913,3,7,60000,60028,0
893525071018873,1786678888660231643,192.168.70.134,0,368435457,1,7,60000,60028,0
893525208921534,1786678888798143537,192.168.70.134,1,736870913,4,7,60000,60028,0
893525221747472,1786678888810962109,192.168.70.134,0,368435457,2,7,60000,60028,0
893525361217146,1786678888950439759,192.168.70.134,1,736870913,5,7,60000,60028,0
893525378453407,1786678888967674229,192.168.70.134,0,368435457,3,7,60000,60028,0
893525484188474,1786678889073422426,192.168.70.134,1,736870913,6,7,49656,49684,0
893525531483965,1786678889120708628,192.168.70.134,0,368435457,4,7,60000,60028,0
893525740924336,1786678889330149571,192.168.70.134,1,736870914,0,7,60000,60028,0
893525783465816,1786678889372694488,192.168.70.134,0,368435457,5,7,60000,60028,0
893525890633229,1786678889479867013,192.168.70.134,1,736870914,1,7,60000,60028,0
893525903266915,1786678889492493181,192.168.70.134,0,368435457,6,7,49656,49684,0
893526039912222,1786678889629147446,192.168.70.134,1,736870914,2,7,60000,60028,0
893526051747638,1786678889640968884,192.168.70.134,0,368435458,0,7,60000,60028,0
893526189714560,1786678889778946057,192.168.70.134,1,736870914,3,7,60000,60028,0
893526206177302,1786678889795413465,192.168.70.134,0,368435458,1,7,60000,60028,0
893526337222875,1786678889926459883,192.168.70.134,1,736870914,4,7,60000,60028,0
893526353289267,1786678889942518212,192.168.70.134,0,368435458,2,7,60000,60028,0
893526484563455,1786678890073797381,192.168.70.134,1,736870914,5,7,60000,60028,0
893526500418262,1786678890089646559,192.168.70.134,0,368435458,3,7,60000,60028,0
893526609475064,1786678890198711979,192.168.70.134,1,736870914,6,7,49656,49684,0
893526649595997,1786678890238839537,192.168.70.134,0,368435458,4,7,60000,60028,0
893526757475056,1786678890346718405,192.168.70.134,1,736870915,0,7,60000,60028,0
893526801350618,1786678890390592980,192.168.70.134,0,368435458,5,7,60000,60028,0
893526911328288,1786678890500569155,192.168.70.134,1,736870915,1,7,60000,60028,0
893526928045104,1786678890517283270,192.168.70.134,0,368435458,6,7,49656,49684,0
893527059754057,1786678890648996821,192.168.70.134,1,736870915,2,7,60000,60028,0
893527075972792,1786678890665205979,192.168.70.134,0,368435459,0,7,60000,60028,0
893527219197028,1786678890808441015,192.168.70.134,1,736870915,3,7,60000,60028,0
893527231404656,1786678890820643768,192.168.70.134,0,368435459,1,7,60000,60028,0
893527364676193,1786678890953919788,192.168.70.134,1,736870915,4,7,60000,60028,0
893527381694948,1786678890970930629,192.168.70.134,0,368435459,2,7,60000,60028,0
893527511001735,1786678891100247536,192.168.70.134,1,736870915,5,7,60000,60028,0
893527528877545,1786678891118115067,192.168.70.134,0,368435459,3,7,60000,60028,0
893527638508918,1786678891227762831,192.168.70.134,1,736870915,6,7,49656,49684,0
893527677236387,1786678891266491846,192.168.70.134,0,368435459,4,7,60000,60028,0
893527784993542,1786678891374240926,192.168.70.134,1,736870916,0,7,60000,60028,0
893527853656703,1786678891442914914,192.168.70.134,0,368435459,5,7,60000,60028,0
893527959631529,1786678891548887262,192.168.70.134,1,736870916,1,7,60000,60028,0
893527977182427,1786678891566437328,192.168.70.134,0,368435459,6,7,49656,49684,0
893528105764477,1786678891695029134,192.168.70.134,1,736870916,2,7,60000,60028,0
893528122553540,1786678891711806616,192.168.70.134,0,368435460,0,7,60000,60028,0
893528253709159,1786678891842969440,192.168.70.134,1,736870916,3,7,60000,60028,0
893528270086852,1786678891859339074,192.168.70.134,0,368435460,1,7,60000,60028,0
893528401101585,1786678891990355427,192.168.70.134,1,736870916,4,7,60000,60028,0
893528418879251,1786678892008130518,192.168.70.134,0,368435460,2,7,60000,60028,0
893528548211441,1786678892137471214,192.168.70.134,1,736870916,5,7,60000,60028,0
893528565959440,1786678892155207674,192.168.70.134,0,368435460,3,7,60000,60028,0
893528674072546,1786678892263329076,192.168.70.134,1,736870916,6,7,49656,49684,0
893528714595217,1786678892303853712,192.168.70.134,0,368435460,4,7,60000,60028,0
893528923097881,1786678892512353234,192.168.70.134,1,736870917,0,7,60000,60028,0
893528966093024,1786678892555353646,192.168.70.134,0,368435460,5,7,60000,60028,0
893529074799566,1786678892664060571,192.168.70.134,1,736870917,1,7,60000,60028,0
893529091523908,1786678892680783994,192.168.70.134,0,368435460,6,7,49656,49684,0
893529225294110,1786678892814559414,192.168.70.134,1,736870917,2,7,60000,60028,0
893529241128480,1786678892830385631,192.168.70.134,0,368435461,0,7,60000,60028,0
893529374147622,1786678892963411402,192.168.70.134,1,736870917,3,7,60000,60028,0
893529391009350,1786678892980272253,192.168.70.134,0,368435461,1,7,60000,60028,0
893529526981615,1786678893116255774,192.168.70.134,1,736870917,4,7,60000,60028,0
893529538758494,1786678893128091062,192.168.70.134,0,368435461,2,7,60000,60028,0
