ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,893523427021310,0.05,5.2,open_loop,sent,893523427209424,893523427210174,893523428059929,0.188864,409600,7,409852,nan,nan,open_loop,
0,100000000,893523777021310,0.4,5.2,open_loop,sent,893523777108385,893523777109073,893523777809209,0.087763,409600,7,409852,nan,nan,open_loop,
1,200000001,893524077021310,0.7,5.2,open_loop,sent,893524077126884,893524077127621,893524078030962,0.106311,409600,7,409852,nan,nan,open_loop,
0,100000001,893524377021310,1.0,5.2,open_loop,sent,893524377109089,893524377109802,893524378042953,0.088492,409600,7,409852,nan,nan,open_loop,
1,200000002,893524677021310,1.3,5.2,open_loop,sent,893524677116376,893524677117127,893524678106426,0.095817,409600,7,409852,nan,nan,open_loop,
0,100000002,893525027021310,1.65,5.2,open_loop,sent,893525027114092,893525027114772,893525027975763,0.093462,409600,7,409852,nan,nan,open_loop,
1,200000003,893525327021310,1.95,5.2,open_loop,sent,893525327112384,893525327113073,893525327942085,0.091763,409600,7,409852,nan,nan,open_loop,
0,100000003,893525627021310,2.25,5.2,open_loop,sent,893525627184637,893525627186304,893525628017684,0.164994,409600,7,409852,nan,nan,open_loop,
1,200000004,893525977021310,2.6,5.2,open_loop,sent,893525977108046,893525977108705,893525978076048,0.087395,409600,7,409852,nan,nan,open_loop,
0,100000004,893526277021310,2.9,5.2,open_loop,sent,893526277226061,893526277227147,893526278101459,0.205837,409600,7,409852,nan,nan,open_loop,
1,200000005,893526577021310,3.2,5.2,open_loop,sent,893526577118788,893526577119706,893526578052793,0.098396,409600,7,409852,nan,nan,open_loop,
0,100000005,893526927021310,3.55,5.2,open_loop,sent,893526927119983,893526927121235,893526927903985,0.099925,409600,7,409852,nan,nan,open_loop,
1,200000006,893527227021310,3.85,5.2,open_loop,sent,893527227178069,893527227178691,893527228000727,0.157381,409600,7,409852,nan,nan,open_loop,
0,100000006,893527527021310,4.15,5.2,open_loop,sent,893527527133184,893527527134701,893527528277556,0.113391,409600,7,409852,nan,nan,open_loop,
1,200000007,893527877021310,4.5,5.2,open_loop,sent,893527877111611,893527877112124,893527877962902,0.090814,409600,7,409852,nan,nan,open_loop,
0,100000007,893528177021310,4.8,5.2,open_loop,sent,893528177122807,893528177123631,893528178055700,0.102321,409600,7,409852,nan,nan,open_loop,
1,200000008,893528477021310,5.1,5.2,open_loop,sent,893528477129273,893528477130836,893528478014638,0.109526,409600,7,409852,nan,nan,open_loop,
0,100000008,893528777021310,5.4,5.2,open_loop,sent,893528777251972,893528777252908,893528778310567,0.231598,409600,7,409852,nan,nan,open_loop,
1,200000009,893529127021310,5.75,5.2,open_loop,sent,893529127129622,893529127131023,893529128130137,0.109713,409600,7,409852,nan,nan,open_loop,
0,100000009,893529427021310,6.05,5.2,open_loop,sent,893529427129510,893529427131094,893529428027495,0.109784,409600,7,409852,nan,nan,open_loop,
1,200000010,893529727021310,6.35,5.2,open_loop,sent,893529727113244,893529727114048,893529728178528,0.092738,409600,7,409852,nan,nan,open_loop,
0,100000010,893530077021310,6.7,5.2,open_loop,sent,893530077116840,893530077117793,893530078013530,0.096483,409600,7,409852,nan,nan,open_loop,
1,200000011,893530377021310,7.0,5.2,open_loop,sent,893530377243812,893530377244760,893530378106009,0.22345,409600,7,409852,nan,nan,open_loop,
0,100000011,893530677021310,7.3,5.2,open_loop,sent,893530677113977,893530677114570,893530677933317,0.09326,409600,7,409852,nan,nan,open_loop,
1,200000012,893531027021310,7.65,5.2,open_loop,sent,893531027117051,893531027117792,893531028025983,0.096482,409600,7,409852,nan,nan,open_loop,
0,100000012,893531327021310,7.95,5.2,open_loop,sent,893531327131699,893531327133106,893531328200750,0.111796,409600,7,409852,nan,nan,open_loop,
1,200000013,893531627021310,8.25,5.2,open_loop,sent,893531627114334,893531627115248,893531627954948,0.093938,409600,7,409852,nan,nan,open_loop,
0,100000013,893531927021310,8.55,5.2,open_loop,sent,893531927115139,893531927115968,893531928434962,0.094658,409600,7,409852,nan,nan,open_loop,
1,200000014,893532277021310,8.9,5.2,open_loop,sent,893532277129310,893532277130076,893532277958801,0.108766,409600,7,409852,nan,nan,open_loop,
0,100000014,893532577021310,9.2,5.2,open_loop,sent,893532577113510,893532577114359,893532577995423,0.093049,409600,7,409852,nan,nan,open_loop,
1,200000015,893532877021310,9.5,5.2,open_loop,sent,893532877210361,893532877211016,893532878155124,0.189706,409600,7,409852,nan,nan,open_loop,
0,100000015,893533227021310,9.85,5.2,open_loop,sent,893533227118144,893533227118998,893533227998391,0.097688,409600,7,409852,nan,nan,open_loop,
1,200000016,893533527021310,10.15,5.2,open_loop,sent,893533527124054,893533527125039,893533528025481,0.103729,409600,7,409852,nan,nan,open_loop,
0,100000016,893533827021310,10.45,5.2,open_loop,sent,893533827114421,893533827115338,893533828073522,0.094028,409600,7,409852,nan,nan,open_loop,
