ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,893452348521052,0.05,5.2,open_loop,sent,893452348653296,893452348655891,893452349583113,0.134839,409600,7,409852,nan,nan,open_loop,
0,100000000,893452698521052,0.4,5.2,open_loop,sent,893452698614629,893452698615315,893452699299920,0.094263,409600,7,409852,nan,nan,open_loop,
1,200000001,893452998521052,0.7,5.2,open_loop,sent,893452998613380,893452998614094,893452999393542,0.093042,409600,7,409852,nan,nan,open_loop,
0,100000001,893453298521052,1.0,5.2,open_loop,sent,893453298611374,893453298612008,893453299318150,0.090956,409600,7,409852,nan,nan,open_loop,
1,200000002,893453598521052,1.3,5.2,open_loop,sent,893453598638658,893453598640876,893453599583681,0.119824,409600,7,409852,nan,nan,open_loop,
0,100000002,893453948521052,1.65,5.2,open_loop,sent,893453948622814,893453948624196,893453949475060,0.103144,409600,7,409852,nan,nan,open_loop,
1,200000003,893454248521052,1.95,5.2,open_loop,sent,893454248753194,893454248754633,893454249601028,0.233581,409600,7,409852,nan,nan,open_loop,
0,100000003,893454548521052,2.25,5.2,open_loop,sent,893454548620498,893454548621648,893454549594511,0.100596,409600,7,409852,nan,nan,open_loop,
1,200000004,893454898521052,2.6,5.2,open_loop,sent,893454898616447,893454898617190,893454899493990,0.096138,409600,7,409852,nan,nan,open_loop,
0,100000004,893455198521052,2.9,5.2,open_loop,sent,893455198624921,893455198625614,893455199465963,0.104562,409600,7,409852,nan,nan,open_loop,
1,200000005,893455498521052,3.2,5.2,open_loop,sent,893455498623931,893455498624856,893455499727862,0.103804,409600,7,409852,nan,nan,open_loop,
0,100000005,893455848521052,3.55,5.2,open_loop,sent,893455848631327,893455848632599,893455849541885,0.111547,409600,7,409852,nan,nan,open_loop,
1,200000006,893456148521052,3.85,5.2,open_loop,sent,893456148691495,893456148692002,893456149693759,0.17095,409600,7,409852,nan,nan,open_loop,
0,100000006,893456448521052,4.15,5.2,open_loop,sent,893456448615827,893456448616596,893456449473910,0.095544,409600,7,409852,nan,nan,open_loop,
1,200000007,893456798521052,4.5,5.2,open_loop,sent,893456798612171,893456798612630,893456799404033,0.091578,409600,7,409852,nan,nan,open_loop,
0,100000007,893457098521052,4.8,5.2,open_loop,sent,893457098604460,893457098604979,893457099474136,0.083927,409600,7,409852,nan,nan,open_loop,
1,200000008,893457398521052,5.1,5.2,open_loop,sent,893457398695305,893457398696209,893457399626746,0.175157,409600,7,409852,nan,nan,open_loop,
0,100000008,893457698521052,5.4,5.2,open_loop,sent,893457698619681,893457698620434,893457699603270,0.099382,409600,7,409852,nan,nan,open_loop,
1,200000009,893458048521052,5.75,5.2,open_loop,sent,893458048627263,893458048628642,893458049641059,0.10759,409600,7,409852,nan,nan,open_loop,
0,100000009,893458348521052,6.05,5.2,open_loop,sent,893458348620908,893458348621995,893458349438647,0.100943,409600,7,409852,nan,nan,open_loop,
1,200000010,893458648521052,6.35,5.2,open_loop,sent,893458648619770,893458648620388,893458649461680,0.099336,409600,7,409852,nan,nan,open_loop,
0,100000010,893458998521052,6.7,5.2,open_loop,sent,893458998610170,893458998611170,893458999508619,0.090118,409600,7,409852,nan,nan,open_loop,
1,200000011,893459298521052,7.0,5.2,open_loop,sent,893459298641667,893459298642505,893459299621800,0.121453,409600,7,409852,nan,nan,open_loop,
0,100000011,893459598521052,7.3,5.2,open_loop,sent,893459598615950,893459598616702,893459599436734,0.09565,409600,7,409852,nan,nan,open_loop,
1,200000012,893459948521052,7.65,5.2,open_loop,sent,893459948624053,893459948625214,893459949510647,0.104162,409600,7,409852,nan,nan,open_loop,
0,100000012,893460248521052,7.95,5.2,open_loop,sent,893460248608123,893460248608634,893460249488714,0.087582,409600,7,409852,nan,nan,open_loop,
1,200000013,893460548521052,8.25,5.2,open_loop,sent,893460548614876,893460548615713,893460549423347,0.094661,409600,7,409852,nan,nan,open_loop,
0,100000013,893460848521052,8.55,5.2,open_loop,sent,893460848602367,893460848602776,893460849428722,0.081724,409600,7,409852,nan,nan,open_loop,
1,200000014,893461198521052,8.9,5.2,open_loop,sent,893461198622878,893461198623706,893461200296142,0.102654,409600,7,409852,nan,nan,open_loop,
0,100000014,893461498521052,9.2,5.2,open_loop,sent,893461498707417,893461498708159,893461499539808,0.187107,409600,7,409852,nan,nan,open_loop,
1,200000015,893461798521052,9.5,5.2,open_loop,sent,893461798633692,893461798635330,893461799659962,0.114278,409600,7,409852,nan,nan,open_loop,
0,100000015,893462148521052,9.85,5.2,open_loop,sent,893462148733966,893462148734896,893462149568854,0.213844,409600,7,409852,nan,nan,open_loop,
1,200000016,893462448521052,10.15,5.2,open_loop,sent,893462449684724,893462449685763,893462450418393,1.164711,409600,7,409852,nan,nan,open_loop,
