time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:45:42.809823,468,8,49395,5,0,2,8,808
20:45:42.830419,470,8,61809,5,0,2,8,808
20:45:42.913066,478,8,49395,5,0,2,8,808
20:45:42.933999,480,8,61809,5,0,2,8,736
20:45:43.034521,488,8,49395,5,0,2,8,736
20:45:43.054977,490,8,61809,5,0,2,8,808
20:45:43.137612,498,8,49395,5,0,2,8,808
20:45:43.196920,500,8,61809,5,0,2,8,808
20:45:43.325335,508,8,49395,5,0,2,8,808
20:45:43.345548,510,8,61809,5,0,2,8,808
20:45:43.427152,518,8,49395,5,0,2,8,808
20:45:43.447433,520,8,61809,5,0,2,8,736
20:45:43.529068,528,8,49395,5,0,2,8,736
20:45:43.548595,530,8,61809,5,0,2,8,808
20:45:43.629469,538,8,49395,5,0,2,8,808
20:45:43.649894,540,8,61809,5,0,2,8,808
20:45:43.731231,548,8,49395,5,0,2,8,808
20:45:43.751567,550,8,61809,5,0,2,8,808
20:45:43.832606,558,8,49395,5,0,2,8,808
20:45:43.852939,560,8,61809,5,0,2,8,736
20:45:43.934452,568,8,49395,5,0,2,8,736
20:45:43.954815,570,8,61809,5,0,2,8,808
20:45:44.036644,578,8,49395,5,0,2,8,808
20:45:44.057060,580,8,61809,5,0,2,8,808
20:45:44.138919,588,8,49395,5,0,2,8,808
20:45:44.159219,590,8,61809,5,0,2,8,808
20:45:44.240739,598,8,49395,5,0,2,8,808
20:45:44.261088,600,8,61809,5,0,2,8,736
20:45:44.342700,608,8,49395,5,0,2,8,736
20:45:44.363099,610,8,61809,5,0,2,8,808
20:45:44.445104,618,8,49395,5,0,2,8,808
20:45:44.465503,620,8,61809,5,0,2,8,808
20:45:44.546452,628,8,49395,5,0,2,8,808
20:45:44.566684,630,8,61809,5,0,2,8,808
20:45:44.648208,638,8,49395,5,0,2,8,808
20:45:44.668403,640,8,61809,5,0,2,8,736
20:45:44.749687,648,8,49395,5,0,2,8,736
20:45:44.770060,650,8,61809,5,0,2,8,808
20:45:44.851600,658,8,49395,5,0,2,8,808
20:45:44.872056,660,8,61809,5,0,2,8,808
20:45:44.978182,668,8,49395,5,0,2,8,808
20:45:44.998070,670,8,61809,5,0,2,8,808
20:45:45.079193,678,8,49395,5,0,2,8,808
20:45:45.099445,680,8,61809,5,0,2,8,736
20:45:45.180753,688,8,49395,5,0,2,8,736
20:45:45.200933,690,8,61809,5,0,2,8,808
20:45:45.282368,698,8,49395,5,0,2,8,808
20:45:45.303240,700,8,61809,5,0,2,8,808
20:45:45.384585,708,8,49395,5,0,2,8,808
20:45:45.405093,710,8,61809,5,0,2,8,808
20:45:45.486816,718,8,49395,5,0,2,8,808
20:45:45.507225,720,8,61809,5,0,2,8,736
20:45:45.589060,728,8,49395,5,0,2,8,736
20:45:45.609624,730,8,61809,5,0,2,8,808
20:45:45.691172,738,8,49395,5,0,2,8,808
20:45:45.711543,740,8,61809,5,0,2,8,808
20:45:45.793286,748,8,49395,5,0,2,8,808
20:45:45.813522,750,8,61809,5,0,2,8,808
20:45:45.895480,758,8,49395,5,0,2,8,808
20:45:45.915692,760,8,61809,5,0,2,8,736
20:45:46.019087,768,8,49395,5,0,2,8,736
20:45:46.039386,770,8,61809,5,0,2,8,808
20:45:46.120473,778,8,49395,5,0,2,8,808
20:45:46.140671,780,8,61809,5,0,2,8,808
20:45:46.221138,788,8,49395,5,0,2,8,808
20:45:46.241636,790,8,61809,5,0,2,8,808
20:45:46.322160,798,8,49395,5,0,2,8,808
20:45:46.342589,800,8,61809,5,0,2,8,736
20:45:46.423281,808,8,49395,5,0,2,8,736
20:45:46.443797,810,8,61809,5,0,2,8,808
20:45:46.525192,818,8,49395,5,0,2,8,808
20:45:46.545479,820,8,61809,5,0,2,8,808
20:45:46.626581,828,8,49395,5,0,2,8,808
20:45:46.646658,830,8,61809,5,0,2,8,808
20:45:46.727408,838,8,49395,5,0,2,8,808
20:45:46.747544,840,8,61809,5,0,2,8,736
20:45:46.828357,848,8,49395,5,0,2,8,736
20:45:46.848525,850,8,61809,5,0,2,8,808
20:45:46.929265,858,8,49395,5,0,2,8,808
20:45:46.971933,860,8,61809,5,0,2,8,808
20:45:47.052183,868,8,49395,5,0,2,8,808
20:45:47.072378,870,8,61809,5,0,2,8,808
20:45:47.153078,878,8,49395,5,0,2,8,808
20:45:47.173032,880,8,61809,5,0,2,8,736
20:45:47.253945,888,8,49395,5,0,2,8,736
20:45:47.274069,890,8,61809,5,0,2,8,808
20:45:47.355125,898,8,49395,5,0,2,8,808
20:45:47.375100,900,8,61809,5,0,2,8,808
20:45:47.455965,908,8,49395,5,0,2,8,808
20:45:47.476096,910,8,61809,5,0,2,8,808
20:45:47.557226,918,8,49395,5,0,2,8,808
20:45:47.577504,920,8,61809,5,0,2,8,736
20:45:47.658552,928,8,49395,5,0,2,8,736
20:45:47.678909,930,8,61809,5,0,2,8,808
20:45:47.759923,938,8,49395,5,0,2,8,808
20:45:47.780020,940,8,61809,5,0,2,8,808
20:45:47.860924,948,8,49395,5,0,2,8,808
20:45:47.880861,950,8,61809,5,0,2,8,808
20:45:47.983655,958,8,49395,5,0,2,8,808
20:45:48.003759,960,8,61809,5,0,2,8,736
20:45:48.084415,968,8,49395,5,0,2,8,736
20:45:48.104437,970,8,61809,5,0,2,8,808
20:45:48.185324,978,8,49395,5,0,2,8,808
