time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
20:45:42.789890,49395,1,466,17,1,0,0,2147483647,-1,1
20:45:42.789890,49395,1,466,17,2,0,0,2147483647,-1,3
20:45:42.789890,49395,1,466,17,4,1,0,459489,8000,13
20:45:42.790179,61809,0,466,17,1,0,0,2147483647,-1,1
20:45:42.790179,61809,0,466,17,2,0,0,2147483647,-1,3
20:45:42.790179,61809,0,466,17,4,1,0,455267,8000,13
20:45:42.790227,49395,1,466,18,1,0,0,2147483647,-1,1
20:45:42.790227,49395,1,466,18,2,0,0,2147483647,-1,3
20:45:42.790228,49395,1,466,18,4,1,0,459521,8000,13
20:45:42.790484,61809,0,466,18,1,0,0,2147483647,-1,1
20:45:42.790484,61809,0,466,18,2,0,0,2147483647,-1,3
20:45:42.790484,61809,0,466,18,4,1,0,455299,8000,13
20:45:42.791071,49395,1,466,19,1,0,0,2147483647,-1,1
20:45:42.791071,49395,1,466,19,2,0,0,2147483647,-1,3
20:45:42.791071,49395,1,466,19,4,1,0,459525,8000,13
20:45:42.791324,61809,0,466,19,1,0,0,2147483647,-1,1
20:45:42.791325,61809,0,466,19,2,0,0,2147483647,-1,3
20:45:42.791325,61809,0,466,19,4,1,0,455303,8000,13
20:45:42.795145,49395,1,467,7,1,0,0,2147483647,-1,1
20:45:42.795146,49395,1,467,7,2,0,0,2147483647,-1,3
20:45:42.795146,49395,1,467,7,4,1,0,459529,8000,13
20:45:42.795371,61809,0,467,7,1,0,0,2147483647,-1,1
20:45:42.795371,61809,0,467,7,2,0,0,2147483647,-1,3
20:45:42.795371,61809,0,467,7,4,1,0,455307,8000,13
20:45:42.795487,49395,1,467,8,1,0,0,2147483647,-1,1
20:45:42.795487,49395,1,467,8,2,0,0,2147483647,-1,3
20:45:42.795487,49395,1,467,8,4,1,0,459561,8000,13
20:45:42.795726,61809,0,467,8,1,0,0,2147483647,-1,1
20:45:42.795726,61809,0,467,8,2,0,0,2147483647,-1,3
20:45:42.795726,61809,0,467,8,4,1,0,455339,8000,13
20:45:42.796184,61809,0,467,9,1,0,0,2147483647,-1,1
20:45:42.796184,61809,0,467,9,2,0,0,2147483647,-1,3
20:45:42.796184,61809,0,467,9,4,1,0,455343,8000,13
20:45:42.796327,49395,1,467,9,1,0,0,2147483647,-1,1
20:45:42.796328,49395,1,467,9,2,0,0,2147483647,-1,3
20:45:42.796328,49395,1,467,9,4,1,0,459565,8000,13
20:45:42.800357,61809,0,467,17,1,0,0,2147483647,-1,1
20:45:42.800357,61809,0,467,17,2,0,0,2147483647,-1,3
20:45:42.800358,61809,0,467,17,4,1,0,455347,8000,13
20:45:42.800629,49395,1,467,17,1,0,0,2147483647,-1,1
20:45:42.800629,49395,1,467,17,2,0,0,2147483647,-1,3
20:45:42.800629,49395,1,467,17,4,1,0,459569,8000,13
20:45:42.800809,61809,0,467,18,1,0,0,2147483647,-1,1
20:45:42.800809,61809,0,467,18,2,0,0,2147483647,-1,3
20:45:42.800809,61809,0,467,18,4,1,0,455379,8000,13
20:45:42.800859,49395,1,467,18,1,0,0,2147483647,-1,1
20:45:42.800859,49395,1,467,18,2,0,0,2147483647,-1,3
20:45:42.800860,49395,1,467,18,4,1,0,459601,8000,13
20:45:42.801286,49395,1,467,19,1,0,0,2147483647,-1,1
20:45:42.801286,49395,1,467,19,2,0,0,2147483647,-1,3
20:45:42.801286,49395,1,467,19,4,1,0,459605,8000,13
20:45:42.801354,61809,0,467,19,1,0,0,2147483647,-1,1
20:45:42.801355,61809,0,467,19,2,0,0,2147483647,-1,3
20:45:42.801355,61809,0,467,19,4,1,0,455383,8000,13
20:45:42.805237,49395,1,468,7,1,0,0,2147483647,-1,1
20:45:42.805237,49395,1,468,7,2,0,0,2147483647,-1,3
20:45:42.805237,49395,1,468,7,4,1,0,459609,8000,13
20:45:42.805654,61809,0,468,7,1,0,0,2147483647,-1,1
20:45:42.805654,61809,0,468,7,2,0,0,2147483647,-1,3
20:45:42.805655,61809,0,468,7,4,1,0,455387,8000,13
20:45:42.805888,49395,1,468,8,1,0,0,2147483647,-1,1
20:45:42.805888,49395,1,468,8,2,0,0,2147483647,-1,3
20:45:42.805888,49395,1,468,8,4,1,0,459641,8000,13
20:45:42.805992,61809,0,468,8,1,0,0,2147483647,-1,1
20:45:42.805992,61809,0,468,8,2,0,0,2147483647,-1,3
20:45:42.805992,61809,0,468,8,4,1,0,455419,8000,13
20:45:42.806208,49395,1,468,9,1,0,0,2147483647,-1,1
20:45:42.806209,49395,1,468,9,2,0,0,2147483647,-1,3
20:45:42.806209,49395,1,468,9,4,1,0,459645,8000,13
20:45:42.806873,61809,0,468,9,1,0,0,2147483647,-1,1
20:45:42.806873,61809,0,468,9,2,0,0,2147483647,-1,3
20:45:42.806874,61809,0,468,9,4,1,0,455423,8000,13
20:45:42.810441,49395,1,468,17,1,0,0,2147483647,-1,1
20:45:42.810441,49395,1,468,17,2,0,0,2147483647,-1,3
20:45:42.810441,49395,1,468,17,4,1,0,459649,8000,13
20:45:42.810640,61809,0,468,17,1,0,0,2147483647,-1,1
20:45:42.810640,61809,0,468,17,2,0,0,2147483647,-1,3
