time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:45:43.400833,0,516,0,-2147483648,-183,-96,-90,6,-96,4
20:45:43.400999,0,516,0,-2147483648,-183,-96,-90,6,-96,4
20:45:44.417883,0,616,0,-2147483648,-183,-93,-90,3,-93,4
20:45:44.418187,0,616,0,-2147483648,-183,-93,-90,3,-93,4
20:45:45.459828,0,716,0,-2147483648,-183,-90,-90,0,-90,4
20:45:45.460026,0,716,0,-2147483648,-183,-90,-90,0,-90,4
20:45:46.498703,0,816,0,-2147483648,-183,-95,-90,5,-95,4
20:45:46.498741,0,816,0,-2147483648,-183,-95,-90,5,-95,4
20:45:47.530630,0,916,0,-2147483648,-183,-93,-90,3,-93,4
20:45:47.530683,0,916,0,-2147483648,-183,-93,-90,3,-93,4
20:45:48.567308,0,1016,0,-2147483648,-183,-90,-90,0,-90,4
20:45:48.567401,0,1016,0,-2147483648,-183,-90,-90,0,-90,4
20:45:49.624991,0,92,0,-2147483648,-183,-93,-90,3,-93,4
20:45:49.625123,0,92,0,-2147483648,-183,-93,-90,3,-93,4
20:45:50.668762,0,192,0,-2147483648,-183,-95,-90,5,-95,4
20:45:50.668888,0,192,0,-2147483648,-183,-95,-90,5,-95,4
20:45:51.803033,0,292,0,-2147483648,-183,-95,-90,5,-95,4
20:45:51.803136,0,292,0,-2147483648,-183,-95,-90,5,-95,4
20:45:52.962752,0,392,0,-2147483648,-183,-95,-90,5,-95,4
20:45:52.963183,0,392,0,-2147483648,-183,-95,-90,5,-95,4
20:45:54.205414,0,492,0,-2147483648,-183,-95,-90,5,-95,4
20:45:54.205723,0,492,0,-2147483648,-183,-90,-90,0,-90,4
20:45:54.228259,0,494,0,-2147483648,-183,-93,-90,3,-93,4
20:45:54.228461,0,494,0,-2147483648,-183,-93,-90,3,-93,4
20:45:55.377995,0,592,0,-2147483648,-183,-95,-90,5,-95,4
20:45:55.378144,0,592,0,-2147483648,-183,-95,-90,5,-95,4
20:45:56.526919,0,692,0,-2147483648,-183,-93,-90,3,-93,4
20:45:56.527010,0,692,0,-2147483648,-183,-95,-90,5,-95,4
20:45:57.694155,0,792,0,-2147483648,-183,-95,-90,5,-95,4
20:45:57.694444,0,792,0,-2147483648,-183,-95,-90,5,-95,4
20:45:58.870092,0,892,0,-2147483648,-183,-95,-90,5,-95,4
20:45:58.870437,0,892,0,-2147483648,-183,-95,-90,5,-95,4
20:46:00.144368,0,992,0,-2147483648,-183,-95,-90,5,-95,4
20:46:00.144663,0,992,0,-2147483648,-183,-93,-90,3,-93,4
20:46:01.348443,0,68,0,-2147483648,-183,-90,-90,0,-90,4
20:46:01.348638,0,68,0,-2147483648,-183,-93,-90,3,-93,4
20:46:01.809579,0,104,0,-2147483648,-183,-95,-90,5,-95,4
20:46:02.593269,0,168,0,-2147483648,-183,-95,-90,5,-95,4
20:46:02.593530,0,168,0,-2147483648,-183,-93,-90,3,-93,4
20:46:03.754322,0,268,0,-2147483648,-183,-93,-90,3,-93,4
20:46:03.754664,0,268,0,-2147483648,-183,-95,-90,5,-95,4
20:46:04.960312,0,368,0,-2147483648,-183,-95,-90,5,-95,4
20:46:04.960375,0,368,0,-2147483648,-183,-93,-90,3,-93,4
20:46:06.129947,0,468,0,-2147483648,-183,-90,-90,0,-90,4
20:46:06.130052,0,468,0,-2147483648,-183,-90,-90,0,-90,4
20:46:07.347806,0,568,0,-2147483648,-183,-93,-90,3,-93,4
20:46:07.348258,0,568,0,-2147483648,-183,-95,-90,5,-95,4
20:46:08.499020,0,668,0,-2147483648,-183,-93,-90,3,-93,4
20:46:08.499332,0,668,0,-2147483648,-183,-95,-90,5,-95,4
20:46:09.721308,0,768,0,-2147483648,-183,-93,-90,3,-93,4
20:46:09.721576,0,768,0,-2147483648,-183,-95,-90,5,-95,4
20:46:10.901400,0,868,0,-2147483648,-183,-90,-90,0,-90,4
20:46:10.901552,0,868,0,-2147483648,-183,-93,-90,3,-93,4
20:46:12.090393,0,968,0,-2147483648,-183,-93,-90,3,-93,4
20:46:12.090924,0,968,0,-2147483648,-183,-93,-90,3,-93,4
20:46:13.104009,0,44,0,-2147483648,-183,-90,-90,0,-90,4
20:46:13.104675,0,44,0,-2147483648,-183,-90,-90,0,-90,4
20:46:14.178992,0,144,0,-2147483648,-183,-95,-90,5,-95,4
20:46:14.179286,0,144,0,-2147483648,-183,-95,-90,5,-95,4
