time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:45:42.805898,468,8,49395,5,0,2,8,808
20:45:42.826515,470,8,61809,5,0,2,8,808
20:45:42.908969,478,8,49395,5,0,2,8,808
20:45:42.930222,480,8,61809,5,0,2,8,736
20:45:43.030449,488,8,49395,5,0,2,8,736
20:45:43.051231,490,8,61809,5,0,2,8,808
20:45:43.133551,498,8,49395,5,0,2,8,808
20:45:43.194302,500,8,61809,5,0,2,8,808
20:45:43.321300,508,8,49395,5,0,2,8,808
20:45:43.341718,510,8,61809,5,0,2,8,808
20:45:43.423114,518,8,49395,5,0,2,8,808
20:45:43.443495,520,8,61809,5,0,2,8,736
20:45:43.524566,528,8,49395,5,0,2,8,736
20:45:43.545181,530,8,61809,5,0,2,8,808
20:45:43.625491,538,8,49395,5,0,2,8,808
20:45:43.646116,540,8,61809,5,0,2,8,808
20:45:43.727109,548,8,49395,5,0,2,8,808
20:45:43.747810,550,8,61809,5,0,2,8,808
20:45:43.828537,558,8,49395,5,0,2,8,808
20:45:43.849164,560,8,61809,5,0,2,8,736
20:45:43.930340,568,8,49395,5,0,2,8,736
20:45:43.950930,570,8,61809,5,0,2,8,808
20:45:44.032451,578,8,49395,5,0,2,8,808
20:45:44.053480,580,8,61809,5,0,2,8,808
20:45:44.134676,588,8,49395,5,0,2,8,808
20:45:44.155282,590,8,61809,5,0,2,8,808
20:45:44.236618,598,8,49395,5,0,2,8,808
20:45:44.257154,600,8,61809,5,0,2,8,736
20:45:44.338478,608,8,49395,5,0,2,8,736
20:45:44.359096,610,8,61809,5,0,2,8,808
20:45:44.440939,618,8,49395,5,0,2,8,808
20:45:44.461550,620,8,61809,5,0,2,8,808
20:45:44.542416,628,8,49395,5,0,2,8,808
20:45:44.562915,630,8,61809,5,0,2,8,808
20:45:44.644030,638,8,49395,5,0,2,8,808
20:45:44.664679,640,8,61809,5,0,2,8,736
20:45:44.745506,648,8,49395,5,0,2,8,736
20:45:44.766130,650,8,61809,5,0,2,8,808
20:45:44.847425,658,8,49395,5,0,2,8,808
20:45:44.868184,660,8,61809,5,0,2,8,808
20:45:44.974006,668,8,49395,5,0,2,8,808
20:45:44.994307,670,8,61809,5,0,2,8,808
20:45:45.075197,678,8,49395,5,0,2,8,808
20:45:45.095657,680,8,61809,5,0,2,8,736
20:45:45.176537,688,8,49395,5,0,2,8,736
20:45:45.197062,690,8,61809,5,0,2,8,808
20:45:45.278235,698,8,49395,5,0,2,8,808
20:45:45.298978,700,8,61809,5,0,2,8,808
20:45:45.380423,708,8,49395,5,0,2,8,808
20:45:45.401221,710,8,61809,5,0,2,8,808
20:45:45.482696,718,8,49395,5,0,2,8,808
20:45:45.503403,720,8,61809,5,0,2,8,736
20:45:45.584993,728,8,49395,5,0,2,8,736
20:45:45.605650,730,8,61809,5,0,2,8,808
20:45:45.686982,738,8,49395,5,0,2,8,808
20:45:45.707803,740,8,61809,5,0,2,8,808
20:45:45.789330,748,8,49395,5,0,2,8,808
20:45:45.809801,750,8,61809,5,0,2,8,808
20:45:45.891335,758,8,49395,5,0,2,8,808
20:45:45.911702,760,8,61809,5,0,2,8,736
20:45:46.014895,768,8,49395,5,0,2,8,736
20:45:46.035488,770,8,61809,5,0,2,8,808
20:45:46.116347,778,8,49395,5,0,2,8,808
20:45:46.136684,780,8,61809,5,0,2,8,808
20:45:46.217102,788,8,49395,5,0,2,8,808
20:45:46.237603,790,8,61809,5,0,2,8,808
20:45:46.318106,798,8,49395,5,0,2,8,808
20:45:46.338686,800,8,61809,5,0,2,8,736
20:45:46.419231,808,8,49395,5,0,2,8,736
20:45:46.439710,810,8,61809,5,0,2,8,808
20:45:46.521205,818,8,49395,5,0,2,8,808
20:45:46.541719,820,8,61809,5,0,2,8,808
20:45:46.622306,828,8,49395,5,0,2,8,808
20:45:46.642822,830,8,61809,5,0,2,8,808
20:45:46.723357,838,8,49395,5,0,2,8,808
20:45:46.743701,840,8,61809,5,0,2,8,736
20:45:46.824158,848,8,49395,5,0,2,8,736
20:45:46.844658,850,8,61809,5,0,2,8,808
20:45:46.925172,858,8,49395,5,0,2,8,808
20:45:46.968349,860,8,61809,5,0,2,8,808
20:45:47.048114,868,8,49395,5,0,2,8,808
20:45:47.068637,870,8,61809,5,0,2,8,808
20:45:47.148961,878,8,49395,5,0,2,8,808
20:45:47.169262,880,8,61809,5,0,2,8,736
20:45:47.249780,888,8,49395,5,0,2,8,736
20:45:47.270330,890,8,61809,5,0,2,8,808
20:45:47.350942,898,8,49395,5,0,2,8,808
20:45:47.371535,900,8,61809,5,0,2,8,808
20:45:47.451710,908,8,49395,5,0,2,8,808
20:45:47.472216,910,8,61809,5,0,2,8,808
20:45:47.553103,918,8,49395,5,0,2,8,808
20:45:47.573532,920,8,61809,5,0,2,8,736
20:45:47.654429,928,8,49395,5,0,2,8,736
20:45:47.674885,930,8,61809,5,0,2,8,808
20:45:47.755657,938,8,49395,5,0,2,8,808
