time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:44:08.535464,49395,601,15,1,0,0
20:44:08.535467,49395,601,15,4,3,0
20:44:08.594603,49395,606,16,1,0,0
20:44:08.594604,49395,606,16,4,3,0
20:44:08.658848,49395,612,5,1,0,0
20:44:08.658849,49395,612,5,4,3,0
20:44:08.723089,49395,617,6,1,0,0
20:44:08.723091,49395,617,6,4,3,0
20:44:08.787058,49395,622,15,1,0,0
20:44:08.787060,49395,622,15,4,3,0
20:44:08.815568,49395,625,4,1,0,0
20:44:08.815569,49395,625,4,4,3,0
20:44:08.844613,49395,627,14,1,0,0
20:44:08.844614,49395,627,14,4,3,0
20:44:08.873791,49395,630,4,1,0,0
20:44:08.873792,49395,630,4,4,3,0
20:44:08.961672,61809,637,15,1,0,0
20:44:08.961674,61809,637,15,4,3,0
20:44:09.022704,61809,642,16,1,0,0
20:44:09.022705,61809,642,16,4,3,0
20:44:09.027984,49395,643,5,1,0,0
20:44:09.027985,49395,643,5,4,3,0
20:44:09.139792,61809,652,16,1,0,0
20:44:09.139794,61809,652,16,4,3,0
20:44:09.150757,49395,653,15,1,0,0
20:44:09.150758,49395,653,15,4,3,0
20:44:09.167668,61809,655,4,1,0,0
20:44:09.167669,61809,655,4,4,3,0
20:44:09.197072,61809,657,14,1,0,0
20:44:09.197073,61809,657,14,4,3,0
20:44:09.227206,61809,660,4,1,0,0
20:44:09.227208,61809,660,4,4,3,0
20:44:09.227826,49395,660,5,1,0,0
20:44:09.227827,49395,660,5,4,3,0
20:44:09.286405,61809,665,6,1,0,0
20:44:09.286406,61809,665,6,4,3,0
20:44:09.316667,61809,667,17,1,0,0
20:44:09.316668,61809,667,17,4,3,0
20:44:09.343361,61809,670,4,1,0,0
20:44:09.343362,61809,670,4,4,3,0
20:44:09.418803,49395,676,15,1,0,0
20:44:09.418804,49395,676,15,4,3,0
20:44:09.435494,61809,678,4,1,0,0
20:44:09.435496,61809,678,4,4,3,0
20:44:09.464290,61809,680,14,1,0,0
20:44:09.464291,61809,680,14,4,3,0
20:44:09.493145,61809,683,4,1,0,0
20:44:09.493146,61809,683,4,4,3,0
20:44:09.523619,61809,685,14,1,0,0
20:44:09.523620,61809,685,14,4,3,0
20:44:09.529535,49395,686,4,1,0,0
20:44:09.529536,49395,686,4,4,3,0
20:44:09.553483,61809,688,4,1,0,0
20:44:09.553484,61809,688,4,4,3,0
20:44:09.559988,49395,688,15,1,0,0
20:44:09.559989,49395,688,15,4,3,0
20:44:09.671049,61809,698,5,1,0,0
20:44:09.671050,61809,698,5,4,3,0
20:44:09.677478,49395,698,16,1,0,0
20:44:09.677479,49395,698,16,4,3,0
20:44:09.699276,61809,700,14,1,0,0
20:44:09.699277,61809,700,14,4,3,0
20:44:09.705157,49395,701,4,1,0,0
20:44:09.705158,49395,701,4,4,3,0
20:44:09.728459,61809,703,4,1,0,0
20:44:09.728460,61809,703,4,4,3,0
20:44:09.734154,49395,703,14,1,0,0
20:44:09.734154,49395,703,14,4,3,0
20:44:09.764327,49395,706,4,1,0,0
20:44:09.764329,49395,706,4,4,3,0
20:44:09.793837,49395,708,15,1,0,0
20:44:09.793838,49395,708,15,4,3,0
20:44:09.846217,61809,713,6,1,0,0
20:44:09.846218,61809,713,6,4,3,0
20:44:09.874170,61809,715,15,1,0,0
20:44:09.874171,61809,715,15,4,3,0
20:44:09.914662,49395,719,5,1,0,0
20:44:09.914663,49395,719,5,4,3,0
20:44:10.021328,61809,725,16,1,0,0
20:44:10.021329,61809,725,16,4,3,0
20:44:10.049067,61809,728,4,1,0,0
20:44:10.049068,61809,728,4,4,3,0
20:44:10.067107,49395,729,15,1,0,0
20:44:10.067108,49395,729,15,4,3,0
20:44:10.078728,61809,730,15,1,0,0
20:44:10.078728,61809,730,15,4,3,0
20:44:10.183123,49395,739,16,1,0,0
20:44:10.183124,49395,739,16,4,3,0
20:44:10.199854,61809,741,5,1,0,0
20:44:10.199855,61809,741,5,4,3,0
20:44:10.210905,49395,742,4,1,0,0
20:44:10.210906,49395,742,4,4,3,0
20:44:10.244526,49395,744,15,1,0,0
20:44:10.244527,49395,744,15,4,3,0
20:44:10.378525,61809,751,16,1,0,0
20:44:10.378526,61809,751,16,4,3,0
20:44:10.460622,49395,754,16,1,0,0
20:44:10.460623,49395,754,16,4,3,0
20:44:10.485209,49395,757,4,1,0,0
20:44:10.485210,49395,757,4,4,3,0
20:44:10.531408,61809,761,16,1,0,0
20:44:10.531409,61809,761,16,4,3,0
20:44:10.555812,61809,764,4,1,0,0
20:44:10.555813,61809,764,4,4,3,0
20:44:10.581917,61809,766,15,1,0,0
