time,rnti,frame,slot,snrx10,tpc,rssi
20:44:08.684264,49395,613,17,100,1,937
20:44:08.896567,49395,631,17,100,1,937
20:44:08.972319,61809,638,7,100,1,937
20:44:09.273279,49395,663,17,100,1,929
20:44:09.458997,61809,679,17,100,1,937
20:44:09.792821,49395,708,7,100,1,937
20:44:10.278382,49395,747,7,100,1,937
20:44:10.735292,61809,779,17,100,1,937
20:44:10.740568,61809,780,7,100,1,937
20:44:11.271444,61809,826,17,100,1,937
20:44:11.311848,61809,830,7,100,1,937
20:44:11.621374,49395,849,17,100,1,937
20:44:12.085769,49395,890,7,100,1,937
20:44:12.318433,61809,910,7,100,1,937
20:44:12.431820,61809,920,7,100,1,944
20:44:13.804189,61809,5,7,100,1,937
20:44:14.752228,61809,86,17,100,1,937
20:44:15.114361,49395,116,7,100,1,929
20:44:15.184291,61809,122,7,100,1,944
20:44:15.752918,61809,167,7,100,1,929
20:44:15.816598,49395,172,17,110,1,937
20:44:16.665096,61809,240,17,100,1,937
20:44:16.891715,49395,262,7,100,1,937
20:44:17.101052,61809,283,7,100,1,937
20:44:17.725102,61809,341,17,100,1,937
20:44:18.011057,49395,369,17,100,1,937
20:44:18.851655,49395,445,7,100,1,937
20:44:19.008527,49395,460,7,100,1,937
20:44:19.229947,61809,481,7,100,1,929
20:44:19.393015,61809,496,17,100,1,937
20:44:20.539423,61809,599,17,100,1,937
20:44:20.697114,49395,615,7,100,1,929
20:44:20.865505,49395,620,17,100,1,929
20:44:21.081729,49395,642,7,100,1,937
20:44:21.166425,61809,650,17,100,1,937
20:44:21.211190,61809,655,7,100,1,937
20:44:21.221352,49395,656,7,100,1,937
20:44:21.271160,49395,661,7,100,1,937
20:44:21.397062,61809,673,7,100,1,929
20:44:21.452069,49395,678,17,100,1,937
20:44:21.497345,49395,683,7,100,1,937
20:44:22.040310,61809,728,17,100,1,937
20:44:22.586604,49395,777,17,100,1,937
20:44:22.671736,61809,785,7,100,1,937
20:44:23.350730,61809,840,7,100,1,937
20:44:24.362231,61809,926,17,100,1,937
20:44:24.580917,61809,944,17,100,1,937
20:44:24.813897,61809,965,7,100,1,937
20:44:24.819537,49395,965,17,100,1,937
20:44:25.063486,61809,987,7,100,1,937
20:44:25.497228,61809,0,17,100,1,937
20:44:26.131256,49395,53,7,100,1,937
20:44:27.465964,49395,163,7,100,1,937
20:44:27.643204,61809,178,17,100,1,937
20:44:27.911718,49395,202,7,100,1,937
20:44:28.171582,49395,221,7,100,1,937
20:44:28.494813,61809,248,7,100,1,937
20:44:28.682806,61809,264,17,100,1,937
20:44:28.937737,49395,287,7,100,1,937
20:44:29.678137,61809,346,17,100,1,929
20:44:30.913658,49395,445,7,100,1,937
20:44:30.964877,49395,449,17,100,1,937
20:44:31.115191,49395,462,17,100,1,937
20:44:31.750796,49395,516,7,100,1,937
20:44:32.205254,61809,554,17,100,1,937
20:44:32.802285,49395,598,17,100,1,937
20:44:32.927110,61809,609,7,100,1,937
20:44:33.060130,61809,622,7,100,1,937
20:44:33.450375,49395,651,7,100,1,929
20:44:33.475532,49395,653,17,100,1,937
20:44:33.501162,49395,656,7,100,1,937
20:44:33.573662,49395,663,7,100,1,937
20:44:33.578764,61809,663,17,100,1,929
20:44:34.082818,61809,712,17,100,1,937
20:44:34.415536,49395,740,7,100,1,929
20:44:34.839388,61809,782,17,100,1,937
20:44:35.291111,61809,828,7,100,1,937
20:44:35.719017,61809,871,7,100,1,937
20:44:36.037357,49395,901,7,100,1,937
20:44:36.796697,61809,969,17,100,1,937
20:44:36.937632,61809,983,17,100,1,937
20:44:36.977471,49395,987,17,100,1,929
20:44:37.379028,49395,1,7,100,1,929
20:44:37.821182,61809,31,17,100,1,937
20:44:38.128733,61809,58,17,100,1,937
20:44:38.345316,61809,77,17,100,1,937
20:44:38.716329,61809,110,7,100,1,937
20:44:38.906811,49395,126,17,100,1,937
20:44:38.982759,49395,131,7,100,1,937
20:44:39.005764,49395,133,7,100,1,929
20:44:39.050987,61809,137,7,100,1,929
20:44:39.441959,61809,171,7,100,1,937
20:44:39.570833,61809,182,7,100,1,937
20:44:39.605829,49395,185,7,100,1,937
20:44:40.003110,49395,217,17,100,1,937
20:44:40.226808,49395,239,17,100,1,937
20:44:40.608750,61809,277,17,100,1,937
20:44:40.623571,49395,279,7,100,1,937
20:44:40.658609,61809,282,17,100,1,937
20:44:40.855053,49395,302,7,100,1,944
20:44:41.609215,61809,372,7,100,1,937
20:44:43.304058,61809,527,7,100,1,937
20:44:43.451852,61809,541,17,100,1,929
20:44:43.489493,61809,545,8,100,1,929
20:44:43.493472,61809,545,17,110,1,937
20:44:44.148929,49395,601,7,100,1,937
20:44:44.154029,61809,601,17,100,1,937
20:44:44.210297,61809,607,7,100,1,937
20:44:44.256404,49395,611,17,100,1,937
20:44:44.627286,49395,647,17,100,1,937
20:44:45.872505,61809,756,7,100,1,937
20:44:45.872505,49395,756,7,100,1,937
20:44:46.193396,49395,781,7,110,1,937
20:44:46.366042,61809,796,7,100,1,929
20:44:46.400210,49395,799,7,100,1,937
20:44:46.571173,61809,814,7,100,1,937
20:44:46.634556,49395,819,17,100,1,937
20:44:46.651901,49395,821,7,100,1,937
20:44:46.834005,49395,837,7,100,1,937
20:44:47.069921,61809,855,7,100,1,937
20:44:47.550987,49395,897,7,100,1,937
20:44:47.681062,61809,908,17,100,1,929
20:44:47.709365,61809,911,7,100,1,929
20:44:48.151126,61809,944,17,100,1,937
20:44:48.506642,61809,976,7,100,1,937
20:44:48.704191,49395,993,17,100,1,937
