time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:43:57.859298,893682,922843582,61809,745,8,101
20:43:57.904835,893682,968380110,49395,749,8,101
20:43:57.972434,893683,35978880,61809,755,8,101
20:43:58.050660,893683,114205721,49395,759,8,101
20:43:58.118164,893683,181709022,61809,765,8,101
20:43:58.164376,893683,227920850,49395,769,8,101
20:43:58.233087,893683,296631885,61809,775,8,101
20:43:58.278746,893683,342291713,49395,779,8,101
20:43:58.347508,893683,411053155,61809,785,8,101
20:43:58.392938,893683,456483421,49395,789,8,101
20:43:58.462063,893683,525608659,61809,795,8,101
20:43:58.507570,893683,571115236,49395,799,8,101
20:43:58.575843,893683,639387956,61809,805,8,101
20:43:58.621340,893683,684885221,49395,809,8,101
20:43:58.689880,893683,753425677,61809,815,8,101
20:43:58.735480,893683,799025456,49395,819,8,101
20:43:58.803791,893683,867336237,61809,825,8,101
20:43:58.849493,893683,913037865,49395,829,8,101
20:43:58.918416,893683,981961612,61809,835,8,101
20:43:58.966207,893684,29752381,49395,839,8,101
20:43:59.034328,893684,97873601,61809,845,8,101
20:43:59.080083,893684,143628555,49395,849,8,101
20:43:59.148768,893684,212313177,61809,855,8,101
20:43:59.194836,893684,258381046,49395,859,8,101
20:43:59.264231,893684,327776013,61809,865,8,101
20:43:59.310352,893684,373897719,49395,869,8,101
20:43:59.380045,893684,443590470,61809,875,8,101
20:43:59.425852,893684,489397097,49395,879,8,101
20:43:59.494698,893684,558243437,61809,885,8,101
20:43:59.540791,893684,604336344,49395,889,8,101
20:43:59.609685,893684,673229855,61809,895,8,101
20:43:59.656221,893684,719766147,49395,899,8,101
20:43:59.725043,893684,788588417,61809,905,8,101
20:43:59.770988,893684,834533560,49395,909,8,101
20:43:59.840393,893684,903938043,61809,915,8,101
20:43:59.886566,893684,950111492,49395,919,8,101
20:43:59.981588,893685,45133656,61809,925,8,101
20:44:00.026775,893685,90320439,49395,929,8,101
20:44:00.095648,893685,159193754,61809,935,8,101
20:44:00.141160,893685,204705173,49395,939,8,101
20:44:00.209881,893685,273425880,61809,945,8,101
20:44:00.256599,893685,320143877,49395,949,8,101
20:44:00.325305,893685,388850496,61809,955,8,101
20:44:00.370889,893685,434433884,49395,959,8,101
20:44:00.440597,893685,504141841,61809,965,8,101
20:44:00.486312,893685,549857663,49395,969,8,101
20:44:00.554855,893685,618400710,61809,975,8,101
20:44:00.600598,893685,664142903,49395,979,8,101
20:44:00.670126,893685,733671282,61809,985,8,101
20:44:00.716057,893685,779601881,49395,989,8,101
20:44:00.784458,893685,848003124,61809,995,8,101
20:44:00.829656,893685,893201316,49395,999,8,101
20:44:00.897122,893685,960667750,61809,1005,8,101
20:44:00.966240,893686,29785582,49395,1009,8,101
20:44:01.034002,893686,97547434,61809,1015,8,101
20:44:01.173839,893686,237383843,49395,1019,8,101
20:44:01.240277,893686,303822401,61809,1,8,101
20:44:01.288994,893686,352539783,49395,5,8,101
20:44:01.360458,893686,424003722,61809,11,8,101
20:44:01.406997,893686,470542698,49395,15,8,101
20:44:01.476803,893686,540347916,61809,21,8,101
20:44:01.522790,893686,586335192,49395,25,8,101
20:44:01.591928,893686,655473106,61809,31,8,101
20:44:01.638417,893686,701962580,49395,35,8,101
20:44:01.707276,893686,770821655,61809,41,8,101
20:44:01.753186,893686,816730992,49395,45,8,101
20:44:01.821941,893686,885486769,61809,51,8,101
20:44:01.867698,893686,931243733,49395,55,8,101
20:44:01.936197,893686,999742095,61809,61,8,101
20:44:01.981935,893687,45480797,49395,65,8,101
20:44:02.052002,893687,115547391,61809,71,8,101
20:44:02.098129,893687,161674348,49395,75,8,101
20:44:02.166713,893687,230257826,61809,81,8,101
20:44:02.300670,893687,364215273,49395,85,8,101
20:44:02.372061,893687,435606723,61809,91,8,101
20:44:02.415871,893687,479416761,49395,95,8,101
20:44:02.484147,893687,547692099,61809,101,8,101
20:44:02.529665,893687,593209945,49395,105,8,101
20:44:02.597492,893687,661036773,61809,111,8,101
20:44:02.643185,893687,706730205,49395,115,8,101
20:44:02.711818,893687,775363407,61809,121,8,101
20:44:02.757371,893687,820916539,49395,125,8,101
20:44:02.825792,893687,889336869,61809,131,8,101
20:44:02.871582,893687,935127055,49395,135,8,101
20:44:02.939116,893688,2661644,61809,141,8,101
20:44:02.984604,893688,48148976,49395,145,8,101
20:44:03.052521,893688,116066676,61809,151,8,101
20:44:03.098407,893688,161952071,49395,155,8,101
20:44:03.166124,893688,229669422,61809,161,8,101
20:44:03.212026,893688,275570800,49395,165,8,101
20:44:03.280262,893688,343806903,61809,171,8,101
20:44:03.327688,893688,391233230,49395,175,8,101
20:44:03.439332,893688,502877409,61809,181,8,101
20:44:03.479780,893688,543325769,49395,185,8,101
20:44:03.548365,893688,611910710,61809,191,8,101
20:44:03.593754,893688,657298963,49395,195,8,101
20:44:03.662094,893688,725639003,61809,201,8,101
20:44:03.707583,893688,771128168,49395,205,8,101
20:44:03.775950,893688,839494980,61809,211,8,101
20:44:03.821355,893688,884900183,49395,215,8,101
20:44:03.889278,893688,952823591,61809,221,8,101
20:44:03.935231,893688,998775867,49395,225,8,101
20:44:04.002809,893689,66354618,61809,231,8,101
20:44:04.048169,893689,111714267,49395,235,8,101
20:44:04.115963,893689,179507858,61809,241,8,101
20:44:04.162408,893689,225953613,49395,245,8,101
20:44:04.231999,893689,295544076,61809,251,8,101
20:44:04.324637,893689,388182193,49395,255,8,101
20:44:04.428586,893689,492131631,61809,261,8,101
20:44:04.475566,893689,539111473,49395,265,8,101
20:44:04.541675,893689,605220011,61809,271,8,101
20:44:04.586819,893689,650364683,49395,275,8,101
20:44:04.654721,893689,718266701,61809,281,8,101
20:44:04.700203,893689,763747943,49395,285,8,101
20:44:04.768707,893689,832251884,61809,291,8,101
20:44:04.814119,893689,877664133,49395,295,8,101
20:44:04.882206,893689,945751668,61809,301,8,101
20:44:04.927084,893689,990629671,49395,305,8,101
20:44:04.994980,893690,58525772,61809,311,8,101
20:44:05.040544,893690,104088934,49395,315,8,101
20:44:05.108345,893690,171890397,61809,321,8,101
20:44:05.153856,893690,217401527,49395,325,8,101
20:44:05.221835,893690,285380031,61809,331,8,101
20:44:05.267663,893690,331208135,49395,335,8,101
20:44:05.336162,893690,399707592,61809,341,8,101
20:44:05.381330,893690,444875065,49395,345,8,101
20:44:05.449093,893690,512638137,61809,351,8,101
20:44:05.494964,893690,558508867,49395,355,8,101
20:44:05.563504,893690,627049420,61809,361,8,101
20:44:05.608848,893690,672393462,49395,365,8,101
20:44:05.676671,893690,740216491,61809,371,8,101
20:44:05.722632,893690,786177443,49395,375,8,101
20:44:05.790677,893690,854222108,61809,381,8,101
20:44:05.836163,893690,899708461,49395,385,8,101
20:44:05.904265,893690,967809842,61809,391,8,101
20:44:05.976155,893691,39700537,49395,395,8,101
20:44:06.043937,893691,107482389,61809,401,8,101
20:44:06.088951,893691,152495699,49395,405,8,101
20:44:06.156191,893691,219736700,61809,411,8,101
20:44:06.202723,893691,266268167,49395,415,8,101
20:44:06.276095,893691,339640780,61809,421,8,101
20:44:06.320860,893691,384405057,49395,425,8,101
20:44:06.388444,893691,451989746,61809,431,8,101
20:44:06.433661,893691,497206025,49395,435,8,101
20:44:06.502096,893691,565641723,61809,441,8,101
20:44:06.547859,893691,611404065,49395,445,8,101
20:44:06.616266,893691,679811460,61809,451,8,101
20:44:06.664898,893691,728443622,49395,455,8,101
20:44:06.735893,893691,799438528,61809,461,8,101
20:44:06.781412,893691,844957607,49395,465,8,101
20:44:06.849818,893691,913363267,61809,471,8,101
20:44:06.895492,893691,959037680,49395,475,8,101
20:44:06.974000,893692,37545023,61809,481,8,101
20:44:07.019490,893692,83035176,49395,485,8,101
20:44:07.087732,893692,151276799,61809,491,8,101
20:44:07.133244,893692,196788914,49395,495,8,101
20:44:07.201835,893692,265380055,61809,501,8,101
20:44:07.248792,893692,312337510,49395,505,8,101
20:44:07.364531,893692,428076570,61809,511,8,101
20:44:07.450739,893692,514283853,49395,515,8,101
20:44:07.518681,893692,582226637,61809,521,8,101
20:44:07.564032,893692,627576959,49395,525,8,101
20:44:07.632018,893692,695563324,61809,531,8,101
20:44:07.677865,893692,741410526,49395,535,8,101
20:44:07.747195,893692,810740417,61809,541,8,101
20:44:07.793704,893692,857249609,49395,545,8,101
20:44:07.862911,893692,926456195,61809,551,8,101
20:44:07.909188,893692,972733243,49395,555,8,101
20:44:07.978310,893693,41855711,61809,561,8,101
20:44:08.024525,893693,88070580,49395,565,8,101
20:44:08.094374,893693,157919473,61809,571,8,101
20:44:08.140463,893693,204008454,49395,575,8,101
20:44:08.211047,893693,274592423,61809,581,8,101
20:44:08.257658,893693,321203564,49395,585,8,101
20:44:08.420844,893693,484389698,61809,591,8,101
20:44:08.465073,893693,528618713,49395,595,8,101
20:44:08.476285,893693,539830673,49395,596,7,469
20:44:08.476822,893693,540367104,49395,596,8,2178
20:44:08.477276,893693,540821754,49395,596,9,2178
20:44:08.481603,893693,545148235,49395,596,17,469
20:44:08.482324,893693,545869476,49395,596,18,2178
20:44:08.482943,893693,546488631,49395,596,19,2178
20:44:08.487668,893693,551213249,49395,597,7,469
20:44:08.488497,893693,552042035,49395,597,8,2178
20:44:08.488817,893693,552361906,49395,597,9,2178
20:44:08.493418,893693,556963642,49395,597,17,469
20:44:08.494003,893693,557548807,49395,597,18,2178
20:44:08.494857,893693,558401850,49395,597,19,1889
20:44:08.499238,893693,562783127,49395,598,7,469
20:44:08.500002,893693,563547763,49395,598,8,2178
20:44:08.500624,893693,564169333,49395,598,9,2178
20:44:08.505214,893693,568759470,49395,598,17,469
20:44:08.505892,893693,569437094,49395,598,18,2178
20:44:08.506537,893693,570082163,49395,598,19,2178
20:44:08.510976,893693,574521786,49395,599,7,469
20:44:08.511755,893693,575300485,49395,599,8,2178
20:44:08.512244,893693,575789050,49395,599,9,2178
20:44:08.516796,893693,580341769,49395,599,17,469
20:44:08.517528,893693,581073754,49395,599,18,2178
20:44:08.518279,893693,581824007,49395,599,19,1889
20:44:08.522947,893693,586492616,49395,600,7,469
20:44:08.523840,893693,587385174,49395,600,8,1953
20:44:08.524124,893693,587669756,49395,600,9,1953
20:44:08.528644,893693,592188934,49395,600,17,469
20:44:08.529321,893693,592865847,49395,600,18,2178
20:44:08.529911,893693,593455877,49395,600,19,2178
20:44:08.534388,893693,597933353,49395,601,7,469
20:44:08.535214,893693,598759421,61809,601,8,101
20:44:08.535217,893693,598762140,49395,601,8,2049
20:44:08.535703,893693,599248233,49395,601,9,2178
20:44:08.540243,893693,603788701,49395,601,17,469
20:44:08.541058,893693,604603513,49395,601,18,2178
20:44:08.542545,893693,606090554,49395,601,19,1889
20:44:08.546257,893693,609802445,49395,602,7,469
20:44:08.546874,893693,610418882,49395,602,8,2178
20:44:08.547415,893693,610960171,49395,602,9,2178
20:44:08.551970,893693,615514981,49395,602,17,469
20:44:08.552861,893693,616406422,49395,602,18,2178
20:44:08.553370,893693,616914957,49395,602,19,2178
20:44:08.557988,893693,621532924,49395,603,7,469
20:44:08.558513,893693,622058645,49395,603,8,2178
20:44:08.559811,893693,623356699,49395,603,9,2178
20:44:08.563804,893693,627349211,49395,603,17,469
20:44:08.564443,893693,627987958,49395,603,18,2178
20:44:08.565191,893693,628736049,49395,603,19,1889
20:44:08.569755,893693,633300126,49395,604,7,469
20:44:08.570271,893693,633815895,49395,604,8,2178
20:44:08.570870,893693,634415135,49395,604,9,2178
20:44:08.575409,893693,638954477,49395,604,17,469
20:44:08.576197,893693,639742298,49395,604,18,2178
20:44:08.577661,893693,641206512,49395,604,19,2178
20:44:08.581276,893693,644821472,49395,605,7,469
20:44:08.581977,893693,645522313,49395,605,8,2178
20:44:08.582527,893693,646072415,49395,605,9,2178
20:44:08.587272,893693,650816851,49395,605,17,469
20:44:08.587768,893693,651313330,49395,605,18,2178
20:44:08.588662,893693,652207625,49395,605,19,1889
