time,eNB_ID,rnti,rb_id,length
20:49:11.835111,0,1,1,1504
20:49:11.835550,0,1,1,1504
20:49:11.835566,0,1,1,1504
20:49:11.840837,0,1,1,1504
20:49:11.841639,0,1,1,1504
20:49:11.841655,0,1,1,1504
20:49:11.846915,0,1,1,1504
20:49:11.847493,0,1,1,1504
20:49:11.847508,0,1,1,1504
20:49:11.852926,0,1,1,1504
20:49:11.853301,0,1,1,1504
20:49:11.853323,0,1,1,1504
20:49:11.858401,0,1,1,1504
20:49:11.858993,0,1,1,1504
20:49:11.859010,0,1,1,1504
20:49:11.864552,0,1,1,1504
20:49:11.864618,0,1,1,1504
20:49:11.865202,0,1,1,1504
20:49:11.870005,0,2,1,1504
20:49:11.870580,0,2,1,1504
20:49:11.870596,0,2,1,1504
20:49:11.875861,0,2,1,1504
20:49:11.876341,0,2,1,1504
20:49:11.876387,0,2,1,1504
20:49:11.881561,0,2,1,1504
20:49:11.881603,0,2,1,1504
20:49:11.881986,0,2,1,1504
20:49:11.887270,0,2,1,1504
20:49:11.887332,0,2,1,1504
20:49:11.888154,0,2,1,1504
20:49:11.893170,0,2,1,1504
20:49:11.893198,0,2,1,1504
20:49:11.893770,0,2,1,1504
20:49:11.898922,0,2,1,1504
20:49:11.898941,0,2,1,1504
20:49:11.899494,0,1,1,1504
20:49:11.899518,0,1,1,1504
20:49:11.904705,0,1,1,1504
20:49:11.905329,0,2,1,1504
20:49:11.910299,0,2,1,1504
20:49:11.910359,0,2,1,1504
20:49:11.910990,0,1,1,1504
20:49:11.911003,0,1,1,1504
20:49:11.916340,0,2,1,1504
20:49:11.916821,0,1,1,1504
20:49:11.921210,0,2,1,1504
20:49:11.922187,0,1,1,1504
20:49:11.922247,0,1,1,1504
20:49:11.922437,0,2,1,1504
20:49:11.927647,0,2,1,1504
20:49:11.928310,0,1,1,1504
20:49:11.932721,0,2,1,1504
20:49:11.933262,0,1,1,1504
20:49:11.933268,0,1,1,1504
20:49:11.934097,0,2,1,1504
20:49:11.959804,0,1,1,1504
20:49:11.960667,0,2,1,1504
20:49:11.960677,0,2,1,1504
20:49:11.965307,0,1,1,1504
20:49:11.966141,0,2,1,1504
20:49:11.966756,0,1,1,1504
20:49:11.972231,0,1,1,1504
20:49:11.972691,0,2,1,1504
20:49:11.972699,0,2,1,1504
20:49:11.977077,0,1,1,1504
20:49:11.977891,0,2,1,1504
20:49:11.978502,0,1,1,1504
20:49:11.983548,0,2,1,1504
20:49:11.983561,0,2,1,1504
20:49:11.984184,0,1,1,1504
20:49:11.984191,0,1,1,1504
20:49:11.989286,0,1,1,1504
20:49:11.989902,0,2,1,1504
20:49:11.995098,0,2,1,1504
20:49:11.995112,0,2,1,1504
20:49:11.995653,0,1,1,1504
20:49:11.995660,0,1,1,1504
20:49:12.000930,0,1,1,832
20:49:12.000942,0,1,1,1504
20:49:12.001824,0,2,1,1504
20:49:12.006026,0,2,1,1504
20:49:12.006551,0,1,1,1504
20:49:12.007093,0,2,1,1504
20:49:12.007103,0,2,1,832
20:49:12.012362,0,2,1,1504
20:49:12.012906,0,1,1,1504
20:49:12.012915,0,1,1,1504
20:49:12.018069,0,1,1,1504
20:49:12.018747,0,2,1,1504
20:49:12.018757,0,2,1,1504
20:49:12.023003,0,1,1,1504
20:49:12.023704,0,2,1,1504
20:49:12.024351,0,1,1,1504
20:49:12.029632,0,2,1,1504
20:49:12.029655,0,2,1,1504
20:49:12.030057,0,1,1,1504
20:49:12.030066,0,1,1,1504
20:49:12.035189,0,1,1,1504
20:49:12.035707,0,2,1,1504
20:49:12.040782,0,2,1,1504
20:49:12.040795,0,2,1,1504
20:49:12.041370,0,1,1,1504
20:49:12.041381,0,1,1,1504
20:49:12.046436,0,1,1,1504
20:49:12.047171,0,2,1,1504
20:49:12.051632,0,2,1,1504
20:49:12.052862,0,1,1,1504
20:49:12.052873,0,1,1,1504
20:49:12.053158,0,2,1,1504
20:49:12.057912,0,2,1,1504
20:49:12.058569,0,1,1,1504
20:49:12.062849,0,2,1,1504
20:49:12.063517,0,1,1,1504
20:49:12.063524,0,1,1,1504
20:49:12.064070,0,2,1,1504
20:49:12.069306,0,2,1,1504
20:49:12.069319,0,2,1,1504
20:49:12.070297,0,1,1,1504
20:49:12.074281,0,1,1,1504
20:49:12.074944,0,2,1,1504
20:49:12.075493,0,1,1,1504
20:49:12.080629,0,1,1,1504
20:49:12.081301,0,2,1,1504
20:49:12.081311,0,2,1,1504
20:49:12.085659,0,1,1,1504
20:49:12.086346,0,2,1,1504
20:49:12.086829,0,1,1,1504
20:49:12.091879,0,1,1,1504
20:49:12.091893,0,1,1,1504
20:49:12.092595,0,2,1,1504
20:49:12.092602,0,2,1,1504
