time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
20:49:00.944967,1,7,0,49395,793,2,793,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,4,2
20:49:01.025578,1,7,0,61809,800,2,800,8,8,0,0,5,0,12,92,10,1,0,0,2,6020,1,4,2
20:49:01.064420,1,7,0,49395,803,2,803,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,2,4,2
20:49:01.144520,1,7,0,61809,810,2,810,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,4,2
20:49:01.178070,1,7,0,49395,813,2,813,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
20:49:01.256611,1,7,0,61809,820,2,820,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
20:49:01.289529,1,7,0,49395,823,2,823,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
20:49:01.368198,1,7,0,61809,830,2,830,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,4,2
20:49:01.389223,0,1,0,49395,832,0,832,0,0,0,5,5,1,12,152,1,1,0,0,2,1200,1,2,2
20:49:01.389403,0,1,0,61809,832,0,832,0,0,0,0,5,1,12,152,8,1,0,0,2,1200,2,12,2
20:49:01.397150,0,1,0,49395,832,14,832,14,0,0,5,5,1,12,152,1,0,2,1,2,1200,2,6,2
20:49:01.397241,0,1,0,61809,832,14,832,14,0,0,0,5,1,12,152,8,0,2,1,2,1200,2,8,2
20:49:01.401408,1,7,0,49395,833,2,833,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,4,2
20:49:01.408322,0,1,0,49395,833,14,833,14,0,0,5,5,1,12,152,1,0,3,2,2,1200,2,6,2
20:49:01.408877,0,1,0,61809,833,14,833,14,0,0,0,5,1,12,152,8,0,3,2,2,1200,2,8,2
20:49:01.419638,0,1,0,49395,834,14,834,14,0,0,5,5,1,12,152,1,0,1,3,2,1200,2,6,2
20:49:01.420101,0,1,0,61809,834,14,834,14,0,0,0,5,1,12,152,8,0,1,3,2,1200,2,8,2
20:49:01.481595,1,7,0,61809,840,2,840,8,8,0,0,5,0,12,92,15,1,0,0,2,6020,2,4,2
20:49:01.514792,1,7,0,49395,843,2,843,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,4,2
20:49:01.593550,1,7,0,61809,850,2,850,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,4,2
20:49:01.626769,1,7,0,49395,853,2,853,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,2,4,2
20:49:01.705698,1,7,0,61809,860,2,860,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
20:49:01.739062,1,7,0,49395,863,2,863,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
20:49:01.817184,1,7,0,61809,870,2,870,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,4,2
20:49:01.850957,1,7,0,49395,873,2,873,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
20:49:01.930137,1,7,0,61809,880,2,880,8,8,0,0,5,0,12,92,3,1,0,0,2,6020,2,4,2
20:49:02.024411,1,7,0,49395,883,2,883,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,4,2
20:49:02.128526,1,7,0,61809,890,2,890,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,4,2
20:49:02.162323,1,7,0,49395,893,2,893,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,4,2
20:49:02.241333,1,7,0,61809,900,2,900,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
20:49:02.275054,1,7,0,49395,903,2,903,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,2,4,2
20:49:02.353952,1,7,0,61809,910,2,910,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
20:49:02.387242,1,7,0,49395,913,2,913,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,4,2
20:49:02.466037,1,7,0,61809,920,2,920,8,8,0,0,5,0,12,92,6,1,0,0,2,6020,1,4,2
20:49:02.499693,1,7,0,49395,923,2,923,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,4,2
20:49:02.578895,1,7,0,61809,930,2,930,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,2,4,2
20:49:02.600193,0,1,0,49395,932,0,932,0,0,0,5,5,1,13,168,15,1,0,0,2,1200,2,2,2
20:49:02.600426,0,1,0,61809,932,0,932,0,0,0,0,5,1,13,168,10,1,0,0,2,1200,2,12,2
20:49:02.608011,0,1,0,49395,932,14,932,14,0,0,5,5,1,13,168,15,0,2,1,2,1200,2,6,2
20:49:02.608267,0,1,0,61809,932,14,932,14,0,0,0,5,1,13,168,10,0,2,1,2,1200,2,8,2
20:49:02.612442,1,7,0,49395,933,2,933,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
20:49:02.619214,0,1,0,49395,933,14,933,14,0,0,5,5,1,13,168,15,0,3,2,2,1200,2,6,2
20:49:02.619864,0,1,0,61809,933,14,933,14,0,0,0,5,1,13,168,10,0,3,2,2,1200,2,8,2
20:49:02.630453,0,1,0,49395,934,14,934,14,0,0,5,5,1,13,168,15,0,1,3,2,1200,2,6,2
