time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
20:50:40.307509,61809,801,8,60,48,2,101,0,5,8,890
20:50:40.307513,49395,801,8,60,48,2,101,0,5,8,890
20:50:40.409447,61809,811,8,60,48,1,101,0,5,8,890
20:50:40.409452,49395,811,8,60,48,1,101,0,5,8,890
20:50:40.511335,61809,821,8,60,48,1,101,0,5,8,890
20:50:40.511340,49395,821,8,60,48,1,101,0,5,8,890
20:50:40.611998,61809,831,8,60,48,1,101,0,5,8,890
20:50:40.612002,49395,831,8,60,48,1,101,0,5,8,890
20:50:40.712688,61809,841,8,60,48,1,101,0,5,8,890
20:50:40.712693,49395,841,8,60,48,1,101,0,5,8,890
20:50:40.813718,61809,851,8,60,48,2,101,0,5,8,890
20:50:40.813720,49395,851,8,55,48,2,101,0,5,8,890
20:50:40.914766,61809,861,8,60,48,1,101,0,5,8,890
20:50:40.914768,49395,861,8,55,48,1,101,0,5,8,890
20:50:41.037658,61809,871,8,60,48,1,101,0,5,8,890
20:50:41.037663,49395,871,8,60,48,1,101,0,5,8,890
20:50:41.138583,61809,881,8,60,48,1,101,0,5,8,890
20:50:41.138585,49395,881,8,60,48,1,101,0,5,8,890
20:50:41.239528,61809,891,8,60,48,1,101,0,5,8,890
20:50:41.239531,49395,891,8,60,48,2,101,0,5,8,890
20:50:41.340608,61809,901,8,60,48,2,101,0,5,8,890
20:50:41.340611,49395,901,8,60,48,1,101,0,5,8,890
20:50:41.440761,61809,911,8,60,48,1,101,0,5,8,890
20:50:41.440765,49395,911,8,60,48,1,101,0,5,8,890
20:50:41.541592,61809,921,8,60,48,1,101,0,5,8,890
20:50:41.541594,49395,921,8,55,48,1,101,0,5,8,890
20:50:41.642538,61809,931,8,60,48,1,101,0,5,8,890
20:50:41.642542,49395,931,8,60,48,1,101,0,5,8,890
20:50:41.743633,61809,941,8,60,48,1,101,0,5,8,890
20:50:41.743635,49395,941,8,60,48,2,101,0,5,8,890
20:50:41.843716,61809,951,8,55,48,2,101,0,5,8,890
20:50:41.843718,49395,951,8,60,48,1,101,0,5,8,890
20:50:41.965623,61809,961,8,60,48,1,101,0,5,8,890
20:50:41.965628,49395,961,8,60,48,1,101,0,5,8,890
20:50:42.065810,61809,971,8,60,48,1,101,0,5,8,890
20:50:42.065815,49395,971,8,60,48,1,101,0,5,8,890
20:50:42.165555,61809,981,8,60,48,1,101,0,5,8,890
20:50:42.165559,49395,981,8,60,48,1,101,0,5,8,890
20:50:42.265129,61809,991,8,55,48,2,101,0,5,8,890
20:50:42.265132,49395,991,8,60,48,2,101,0,5,8,890
20:50:42.365091,61809,1001,8,60,48,1,101,0,5,8,890
20:50:42.365095,49395,1001,8,60,48,1,101,0,5,8,890
20:50:42.465076,61809,1011,8,60,48,1,101,0,5,8,890
20:50:42.465081,49395,1011,8,60,48,1,101,0,5,8,890
20:50:42.565460,61809,1021,8,60,48,1,101,0,5,8,890
20:50:42.565466,49395,1021,8,60,48,1,101,0,5,8,890
20:50:42.665436,61809,7,8,55,48,1,101,0,5,8,890
20:50:42.665440,49395,7,8,60,48,2,101,0,5,8,890
20:50:42.766108,61809,17,8,60,48,2,101,0,5,8,890
20:50:42.766112,49395,17,8,60,48,1,101,0,5,8,890
20:50:42.865981,61809,27,8,60,48,1,101,0,5,8,890
20:50:42.865984,49395,27,8,60,48,1,101,0,5,8,890
20:50:42.986444,61809,37,8,60,48,1,101,0,5,8,890
20:50:42.986448,49395,37,8,60,48,1,101,0,5,8,890
20:50:43.085571,61809,47,8,60,48,1,101,0,5,8,890
20:50:43.085573,49395,47,8,60,48,1,101,0,5,8,890
20:50:43.184571,61809,57,8,60,48,1,101,0,5,8,890
20:50:43.184573,49395,57,8,60,48,2,101,0,5,8,890
20:50:43.284125,61809,67,8,60,48,2,101,0,5,8,890
20:50:43.284130,49395,67,8,60,48,1,101,0,5,8,890
20:50:43.393492,61809,77,8,60,48,1,101,0,5,8,890
20:50:43.393496,49395,77,8,55,48,1,101,0,5,8,890
20:50:43.506648,61809,87,8,60,48,1,101,0,5,8,890
20:50:43.506652,49395,87,8,60,48,1,101,0,5,8,890
20:50:43.620704,61809,97,8,60,48,1,101,0,5,8,890
20:50:43.620707,49395,97,8,60,48,1,101,0,5,8,890
20:50:43.734239,61809,107,8,60,48,2,101,0,5,8,890
20:50:43.734243,49395,107,8,60,48,2,101,0,5,8,890
20:50:43.848498,61809,117,8,60,48,1,101,0,5,8,890
20:50:43.848502,49395,117,8,60,48,1,101,0,5,8,890
20:50:43.962540,61809,127,8,60,48,1,101,0,5,8,890
20:50:43.962544,49395,127,8,60,48,1,101,0,5,8,890
20:50:44.078425,61809,137,8,55,48,1,101,0,5,8,890
20:50:44.078430,49395,137,8,60,48,1,101,0,5,8,890
20:50:44.193146,61809,147,8,60,48,1,101,0,5,8,890
20:50:44.193150,49395,147,8,55,48,2,101,0,5,8,890
20:50:44.306543,61809,157,8,60,48,2,101,0,5,8,890
20:50:44.306547,49395,157,8,60,48,1,101,0,5,8,890
20:50:44.420554,61809,167,8,55,48,1,101,0,5,8,890
20:50:44.420557,49395,167,8,60,48,1,101,0,5,8,890
20:50:44.534131,61809,177,8,60,48,1,101,0,5,8,890
20:50:44.534135,49395,177,8,60,48,1,101,0,5,8,890
20:50:44.646615,61809,187,8,60,48,1,101,0,5,8,890
20:50:44.646620,49395,187,8,60,48,1,101,0,5,8,890
20:50:44.766437,61809,197,8,60,48,1,101,0,5,8,890
20:50:44.766440,49395,197,8,55,48,2,101,0,5,8,890
20:50:44.887784,61809,207,8,60,48,2,101,0,5,8,890
20:50:44.887787,49395,207,8,60,48,1,101,0,5,8,890
20:50:45.006290,61809,217,8,60,48,1,101,0,5,8,890
20:50:45.006293,49395,217,8,60,48,1,101,0,5,8,890
20:50:45.126762,61809,227,8,60,48,1,101,0,5,8,890
20:50:45.126766,49395,227,8,60,48,1,101,0,5,8,890
20:50:45.252396,61809,237,8,60,48,1,101,0,5,8,890
20:50:45.252400,49395,237,8,60,48,1,101,0,5,8,890
20:50:45.377970,61809,247,8,60,48,2,101,0,5,8,890
20:50:45.377974,49395,247,8,65,48,2,101,0,5,8,890
20:50:45.498395,61809,257,8,55,48,1,101,0,5,8,890
20:50:45.498400,49395,257,8,60,48,1,101,0,5,8,890
20:50:45.613629,61809,267,8,60,48,1,101,0,5,8,890
20:50:45.613632,49395,267,8,60,48,1,101,0,5,8,890
20:50:45.727096,61809,277,8,60,48,1,101,0,5,8,890
20:50:45.727100,49395,277,8,60,48,1,101,0,5,8,890
20:50:45.928618,61809,287,8,60,48,1,101,0,5,8,890
20:50:45.928622,49395,287,8,65,48,2,101,0,5,8,890
20:50:46.045188,61809,297,8,60,48,2,101,0,5,8,890
20:50:46.045191,49395,297,8,60,48,1,101,0,5,8,890
20:50:46.159329,61809,307,8,60,48,1,101,0,5,8,890
20:50:46.159333,49395,307,8,60,48,1,101,0,5,8,890
20:50:46.273875,61809,317,8,60,48,1,101,0,5,8,890
20:50:46.273878,49395,317,8,60,48,1,101,0,5,8,890
20:50:46.388205,61809,327,8,60,48,1,101,0,5,8,890
20:50:46.388208,49395,327,8,60,48,1,101,0,5,8,890
20:50:46.512597,61809,337,8,60,48,1,101,0,5,8,890
20:50:46.512601,49395,337,8,60,48,2,101,0,5,8,890
