time,rnti,frame,slot,mcs,tbs
20:50:40.403007,61809,811,2,8,101
20:50:40.403016,49395,811,2,8,101
20:50:40.505024,61809,821,2,8,101
20:50:40.505028,49395,821,2,8,101
20:50:40.605664,61809,831,2,8,101
20:50:40.605668,49395,831,2,8,101
20:50:40.706467,61809,841,2,8,101
20:50:40.706469,49395,841,2,8,101
20:50:40.807191,61809,851,2,8,101
20:50:40.807196,49395,851,2,8,101
20:50:40.908268,61809,861,2,8,101
20:50:40.908273,49395,861,2,8,101
20:50:41.031462,61809,871,2,8,101
20:50:41.031466,49395,871,2,8,101
20:50:41.132144,61809,881,2,8,101
20:50:41.132149,49395,881,2,8,101
20:50:41.233253,61809,891,2,8,101
20:50:41.233258,49395,891,2,8,101
20:50:41.334361,61809,901,2,8,101
20:50:41.334366,49395,901,2,8,101
20:50:41.434495,61809,911,2,8,101
20:50:41.434500,49395,911,2,8,101
20:50:41.535355,61809,921,2,8,101
20:50:41.535360,49395,921,2,8,101
20:50:41.636258,61809,931,2,8,101
20:50:41.636263,49395,931,2,8,101
20:50:41.737354,61809,941,2,8,101
20:50:41.737361,49395,941,2,8,101
20:50:41.837392,61809,951,2,8,101
20:50:41.837397,49395,951,2,8,101
20:50:41.958551,61809,961,2,8,101
20:50:41.958559,49395,961,2,8,101
20:50:42.059593,61809,971,2,8,101
20:50:42.059599,49395,971,2,8,101
20:50:42.159337,61809,981,2,8,101
20:50:42.159343,49395,981,2,8,101
20:50:42.258906,61809,991,2,8,101
20:50:42.258911,49395,991,2,8,101
20:50:42.358781,61809,1001,2,8,101
20:50:42.358788,49395,1001,2,8,101
20:50:42.458791,61809,1011,2,8,101
20:50:42.458798,49395,1011,2,8,101
20:50:42.559192,61809,1021,2,8,101
20:50:42.559198,49395,1021,2,8,101
20:50:42.659044,61809,7,2,8,101
20:50:42.659050,49395,7,2,8,101
20:50:42.759661,61809,17,2,8,101
20:50:42.759665,49395,17,2,8,101
20:50:42.859776,61809,27,2,8,101
20:50:42.859782,49395,27,2,8,101
20:50:42.980218,61809,37,2,8,101
20:50:42.980225,49395,37,2,8,101
20:50:43.079358,61809,47,2,8,101
20:50:43.079365,49395,47,2,8,101
20:50:43.178476,61809,57,2,8,101
20:50:43.178484,49395,57,2,8,101
20:50:43.277777,61809,67,2,8,101
20:50:43.277783,49395,67,2,8,101
20:50:43.386150,61809,77,2,8,101
20:50:43.386157,49395,77,2,8,101
20:50:43.499616,61809,87,2,8,101
20:50:43.499624,49395,87,2,8,101
20:50:43.613576,61809,97,2,8,101
20:50:43.613582,49395,97,2,8,101
20:50:43.727152,61809,107,2,8,101
20:50:43.727161,49395,107,2,8,101
20:50:43.841510,61809,117,2,8,101
20:50:43.841514,49395,117,2,8,101
20:50:43.955302,61809,127,2,8,101
20:50:43.955309,49395,127,2,8,101
20:50:44.071061,61809,137,2,8,101
