time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:53:12.495409,0,61809,328,100,0,0,28,28,0,28,1,1,1000000,887123,898410,50000,150000,3,1
20:53:12.495410,0,49395,328,100,0,0,28,28,0,28,1,1,1000000,971030,973927,50000,150000,3,1
20:53:13.651887,0,61809,428,100,0,0,28,28,0,28,1,1,1000000,898410,908569,50000,150000,3,1
20:53:13.651888,0,49395,428,100,0,0,28,28,0,28,1,1,1000000,973927,976534,50000,150000,3,1
20:53:14.822504,0,61809,528,100,0,0,28,28,0,28,1,1,1000000,908569,917712,50000,150000,3,1
20:53:14.822505,0,49395,528,100,0,0,28,28,0,28,1,1,1000000,976534,978881,50000,150000,3,1
20:53:16.005735,0,61809,628,100,0,0,28,28,0,28,1,1,1000000,917712,925941,50000,150000,3,1
20:53:16.005735,0,49395,628,100,0,0,28,28,0,28,1,1,1000000,978881,980993,50000,150000,3,1
20:53:17.162153,0,61809,728,100,0,0,28,28,0,28,1,1,1000000,925941,933347,50000,150000,3,1
20:53:17.162153,0,49395,728,100,0,0,28,28,0,28,1,1,1000000,980993,982893,50000,150000,3,1
20:53:18.319988,0,61809,828,100,0,0,28,28,0,28,1,1,1000000,933347,940012,50000,150000,3,1
20:53:18.319989,0,49395,828,100,0,0,28,28,0,28,1,1,1000000,982893,984604,50000,150000,3,1
20:53:19.482932,0,61809,928,100,0,0,28,28,0,28,1,1,1000000,940012,946011,50000,150000,3,1
20:53:19.482932,0,49395,928,100,0,0,28,28,0,28,1,1,1000000,984604,986143,50000,150000,3,1
20:53:20.700025,0,61809,4,100,0,0,28,28,0,28,1,1,1000000,946011,951410,50000,150000,3,1
20:53:20.700026,0,49395,4,100,0,0,28,28,0,28,1,1,1000000,986143,987529,50000,150000,3,1
20:53:21.915747,0,61809,104,100,0,0,28,28,0,28,1,1,1000000,951410,956269,50000,150000,3,1
20:53:21.915748,0,49395,104,100,0,0,28,28,0,28,1,1,1000000,987529,988776,50000,150000,3,1
20:53:22.241352,0,61809,128,24,0,0,28,28,0,28,1,1,1000000,956269,960642,50000,150000,3,1
20:53:22.300063,0,61809,133,5,0,0,28,28,0,28,-1,-1,-1,960642,960642,50000,150000,0,0
20:53:22.362997,0,61809,139,11,0,0,28,28,0,28,2,2,1000000,960642,964578,50000,150000,3,1
20:53:22.420902,0,61809,144,5,0,0,28,28,0,28,-1,-1,-1,964578,964578,50000,150000,0,0
20:53:22.482382,0,61809,149,10,0,0,28,28,0,28,2,2,1000000,964578,968120,50000,150000,3,1
20:53:22.511453,0,61809,152,3,0,0,28,28,0,28,-1,-1,-1,968120,968120,50000,150000,0,0
20:53:22.569755,0,61809,157,8,0,0,28,28,0,28,-1,-1,-1,968120,968120,50000,150000,0,0
20:53:22.598008,0,61809,159,10,0,0,28,28,0,28,3,3,1000000,968120,971308,50000,150000,3,1
20:53:22.655801,0,61809,164,5,0,0,28,28,0,28,-1,-1,-1,971308,971308,50000,150000,0,0
20:53:22.684222,0,61809,167,8,0,0,28,28,0,28,-1,-1,-1,971308,971308,50000,150000,0,0
20:53:22.703432,0,61809,168,9,0,0,28,28,0,28,-1,-1,-1,971308,971308,50000,150000,0,0
20:53:23.137729,0,61809,204,45,0,0,28,28,0,28,4,4,1000000,971308,974177,50000,150000,2,1
20:53:23.137729,0,49395,204,100,0,0,28,28,0,28,1,1,1000000,988776,989899,50000,150000,3,1
20:53:24.246230,0,49395,297,93,0,0,28,28,0,28,1,1,1000000,989899,990909,50000,150000,3,1
20:53:24.306815,0,49395,302,5,0,0,28,28,0,28,-1,-1,-1,990909,990909,50000,150000,0,0
20:53:24.320600,0,61809,304,100,0,0,28,28,0,28,1,1,1000000,974177,976759,50000,150000,3,1
20:53:24.320600,0,49395,304,7,0,0,28,28,0,28,-1,-1,-1,990909,990909,50000,150000,0,0
20:53:24.369323,0,49395,308,11,0,0,28,28,0,28,3,3,1000000,990909,991818,50000,150000,3,1
20:53:24.426561,0,49395,313,5,0,0,28,28,0,28,-1,-1,-1,991818,991818,50000,150000,0,0
20:53:24.488601,0,49395,318,10,0,0,28,28,0,28,2,2,1000000,991818,992636,50000,150000,3,1
20:53:24.517281,0,49395,321,3,0,0,28,28,0,28,-1,-1,-1,992636,992636,50000,150000,0,0
20:53:24.545904,0,49395,323,5,0,0,28,28,0,28,-1,-1,-1,992636,992636,50000,150000,0,0
20:53:24.575267,0,49395,326,8,0,0,28,28,0,28,-1,-1,-1,992636,992636,50000,150000,0,0
20:53:24.603979,0,49395,328,10,0,0,28,28,0,28,4,4,1000000,992636,993372,50000,150000,2,1
20:53:24.662495,0,49395,333,5,0,0,28,28,0,28,-1,-1,-1,993372,993372,50000,150000,0,0
20:53:24.690591,0,49395,336,8,0,0,28,28,0,28,-1,-1,-1,993372,993372,50000,150000,0,0
20:53:24.709500,0,49395,337,9,0,0,28,28,0,28,-1,-1,-1,993372,993372,50000,150000,0,0
20:53:25.553076,0,61809,404,100,0,0,28,28,0,28,1,1,1000000,976759,979083,50000,150000,3,1
20:53:25.553076,0,49395,404,76,0,0,28,28,0,28,4,4,1000000,993372,994035,50000,150000,2,1
20:53:26.785120,0,61809,504,100,0,0,28,28,0,28,1,1,1000000,979083,981175,50000,150000,3,1
20:53:26.785120,0,49395,504,100,0,0,28,28,0,28,1,1,1000000,994035,994631,50000,150000,3,1
20:53:28.013228,0,61809,604,100,0,0,28,28,0,28,1,1,1000000,981175,983057,50000,150000,3,1
20:53:28.013229,0,49395,604,100,0,0,28,28,0,28,1,1,1000000,994631,995168,50000,150000,3,1
20:53:29.266064,0,61809,704,100,0,0,28,28,0,28,1,1,1000000,983057,984752,50000,150000,3,1
20:53:29.266064,0,49395,704,100,0,0,28,28,0,28,1,1,1000000,995168,995651,50000,150000,3,1
20:53:30.509450,0,61809,804,100,0,0,28,28,0,28,1,1,1000000,984752,986276,50000,150000,3,1
20:53:30.509451,0,49395,804,100,0,0,28,28,0,28,1,1,1000000,995651,996086,50000,150000,3,1
20:53:31.761997,0,61809,904,100,0,0,28,28,0,28,1,1,1000000,986276,987649,50000,150000,3,1
20:53:31.761998,0,49395,904,100,0,0,28,28,0,28,1,1,1000000,996086,996478,50000,150000,3,1
20:53:33.010723,0,61809,1004,100,0,0,28,28,0,28,1,1,1000000,987649,988884,50000,150000,3,1
20:53:33.010724,0,49395,1004,100,0,0,28,28,0,28,1,1,1000000,996478,996830,50000,150000,3,1
20:53:34.264004,0,61809,80,100,0,0,28,28,0,28,1,1,1000000,988884,989995,50000,150000,3,1
20:53:34.264005,0,49395,80,100,0,0,28,28,0,28,1,1,1000000,996830,997147,50000,150000,3,1
20:53:35.466494,0,61809,180,100,0,0,28,28,0,28,1,1,1000000,989995,990996,50000,150000,3,1
20:53:35.466495,0,49395,180,100,0,0,28,28,0,28,1,1,1000000,997147,997432,50000,150000,3,1
20:53:36.658140,0,61809,280,100,0,0,28,28,0,28,1,1,1000000,990996,991896,50000,150000,3,1
20:53:36.658140,0,49395,280,100,0,0,28,28,0,28,1,1,1000000,997432,997689,50000,150000,3,1
20:53:37.894369,0,61809,380,100,0,0,28,28,0,28,1,1,1000000,991896,992706,50000,150000,3,1
20:53:37.894370,0,49395,380,100,0,0,28,28,0,28,1,1,1000000,997689,997920,50000,150000,3,1
20:53:39.137011,0,61809,480,100,0,0,28,28,0,28,1,1,1000000,992706,993436,50000,150000,3,1
20:53:39.137012,0,49395,480,100,0,0,28,28,0,28,1,1,1000000,997920,998128,50000,150000,3,1
20:53:40.311752,0,61809,580,100,0,0,28,28,0,28,1,1,1000000,993436,994092,50000,150000,3,1
20:53:40.311752,0,49395,580,100,0,0,28,28,0,28,1,1,1000000,998128,998315,50000,150000,3,1
20:53:41.572022,0,61809,680,100,0,0,28,28,0,28,1,1,1000000,994092,994683,50000,150000,3,1
20:53:41.572023,0,49395,680,100,0,0,28,28,0,28,1,1,1000000,998315,998483,50000,150000,3,1
20:53:42.837471,0,61809,780,100,0,0,28,28,0,28,1,1,1000000,994683,995215,50000,150000,3,1
20:53:42.837471,0,49395,780,100,0,0,28,28,0,28,1,1,1000000,998483,998635,50000,150000,3,1
20:53:44.088833,0,61809,880,100,0,0,28,28,0,28,1,1,1000000,995215,995693,50000,150000,3,1
20:53:44.088834,0,49395,880,100,0,0,28,28,0,28,1,1,1000000,998635,998771,50000,150000,3,1
20:53:45.340387,0,61809,980,100,0,0,28,28,0,28,1,1,1000000,995693,996124,50000,150000,3,1
20:53:45.340388,0,49395,980,100,0,0,28,28,0,28,1,1,1000000,998771,998894,50000,150000,3,1
20:53:46.533915,0,61809,56,100,0,0,28,28,0,28,1,1,1000000,996124,996511,50000,150000,3,1
20:53:46.533915,0,49395,56,100,0,0,28,28,0,28,1,1,1000000,998894,999005,50000,150000,3,1
20:53:47.771157,0,61809,156,100,0,0,28,28,0,28,1,1,1000000,996511,996860,50000,150000,3,1
20:53:47.771158,0,49395,156,100,0,0,28,28,0,28,1,1,1000000,999005,999104,50000,150000,3,1
