time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
20:53:11.520268,49395,245,2,245,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.531804,61809,246,2,246,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.633893,49395,255,2,255,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.645339,61809,256,2,256,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:11.748446,49395,265,2,265,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.759732,61809,266,2,266,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.861863,49395,275,2,275,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:11.873208,61809,276,2,276,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.001991,49395,285,2,285,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.013071,61809,286,2,286,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.116680,49395,295,2,295,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.127807,61809,296,2,296,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:12.229889,49395,305,2,305,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.241111,61809,306,2,306,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.348643,49395,315,2,315,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.359978,61809,316,2,316,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.462562,49395,325,2,325,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.473818,61809,326,2,326,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.576482,49395,335,2,335,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.587971,61809,336,2,336,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:12.691035,49395,345,2,345,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.702477,61809,346,2,346,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.805173,49395,355,2,355,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.816506,61809,356,2,356,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.920810,49395,365,2,365,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:12.932211,61809,366,2,366,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.037108,49395,375,2,375,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.048375,61809,376,2,376,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:13.152690,49395,385,2,385,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.163883,61809,386,2,386,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.267140,49395,395,2,395,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.279027,61809,396,2,396,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.383870,49395,405,2,405,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.395594,61809,406,2,406,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.500981,49395,415,2,415,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.512929,61809,416,2,416,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:13.617476,49395,425,2,425,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.629162,61809,426,2,426,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.732386,49395,435,2,435,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.743901,61809,436,2,436,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.848141,49395,445,2,445,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.859574,61809,446,2,446,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:13.989557,49395,455,2,455,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.001231,61809,456,2,456,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:14.106166,49395,465,2,465,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.117727,61809,466,2,466,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.221365,49395,475,2,475,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.232787,61809,476,2,476,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.335742,49395,485,2,485,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.346933,61809,486,2,486,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.449041,49395,495,2,495,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.460437,61809,496,2,496,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:14.562068,49395,505,2,505,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.573372,61809,506,2,506,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.675821,49395,515,2,515,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.687149,61809,516,2,516,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.789375,49395,525,2,525,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.800781,61809,526,2,526,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.903090,49395,535,2,535,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:14.914550,61809,536,2,536,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:15.045811,49395,545,2,545,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.057200,61809,546,2,546,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.159077,49395,555,2,555,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.170337,61809,556,2,556,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.272183,49395,565,2,565,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.283379,61809,566,2,566,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.385132,49395,575,2,575,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.396435,61809,576,2,576,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:15.498459,49395,585,2,585,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.509642,61809,586,2,586,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.611426,49395,595,2,595,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.622714,61809,596,2,596,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.725609,49395,605,2,605,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.737040,61809,606,2,606,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.839434,49395,615,2,615,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.850740,61809,616,2,616,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:15.973180,49395,625,2,625,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:15.984424,61809,626,2,626,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.086036,49395,635,2,635,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.097310,61809,636,2,636,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.198609,49395,645,2,645,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.209815,61809,646,2,646,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.310860,49395,655,2,655,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.322019,61809,656,2,656,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:16.422840,49395,665,2,665,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.433973,61809,666,2,666,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.535792,49395,675,2,675,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.547145,61809,676,2,676,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.647860,49395,685,2,685,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.659052,61809,686,2,686,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.760684,49395,695,2,695,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.771706,61809,696,2,696,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:16.874881,49395,705,2,705,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:16.886424,61809,706,2,706,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.015599,49395,715,2,715,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.026741,61809,716,2,716,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.129069,49395,725,2,725,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.140442,61809,726,2,726,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.243451,49395,735,2,735,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.254853,61809,736,2,736,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:17.356960,49395,745,2,745,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.368451,61809,746,2,746,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.470181,49395,755,2,755,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.481579,61809,756,2,756,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.584282,49395,765,2,765,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.595447,61809,766,2,766,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.698077,49395,775,2,775,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.709238,61809,776,2,776,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:17.811402,49395,785,2,785,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.822562,61809,786,2,786,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.925180,49395,795,2,795,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:17.959055,61809,796,2,796,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.061257,49395,805,2,805,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.072518,61809,806,2,806,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.173999,49395,815,2,815,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.185736,61809,816,2,816,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:18.287274,49395,825,2,825,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.298573,61809,826,2,826,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.400193,49395,835,2,835,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.411434,61809,836,2,836,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.512682,49395,845,2,845,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.524086,61809,846,2,846,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.625585,49395,855,2,855,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.636924,61809,856,2,856,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:18.738749,49395,865,2,865,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.750079,61809,866,2,866,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.851634,49395,875,2,875,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.862989,61809,876,2,876,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:18.990557,49395,885,2,885,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.001719,61809,886,2,886,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.103933,49395,895,2,895,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.115286,61809,896,2,896,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,92,-1
20:53:19.218787,49395,905,2,905,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.230257,61809,906,2,906,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.334430,49395,915,2,915,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.346175,61809,916,2,916,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.449267,49395,925,2,925,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.460390,61809,926,2,926,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
20:53:19.568717,49395,935,2,935,8,59,0,8,8,8,8,8,0,0,0,5,5,5,48,20,5,101,-1
