time,rnti,frame,slot,mcs,tbs
20:54:50.026199,61809,236,0,0,21
20:54:50.026204,49395,236,0,0,21
20:54:51.215301,61809,336,0,0,19
20:54:51.215303,49395,336,0,0,19
20:54:52.396714,61809,436,0,0,21
20:54:52.396716,49395,436,0,0,21
20:54:53.581728,61809,536,0,0,19
20:54:53.581732,49395,536,0,0,19
20:54:54.746187,61809,636,0,0,21
20:54:54.746189,49395,636,0,0,21
20:54:55.914359,61809,736,0,0,19
20:54:55.914361,49395,736,0,0,19
20:54:57.130829,61809,836,0,0,21
20:54:57.130831,49395,836,0,0,21
20:54:58.287669,61809,936,0,0,19
20:54:58.287671,49395,936,0,0,19
20:54:59.509479,61809,12,0,0,21
20:54:59.509481,49395,12,0,0,21
20:54:59.877730,61809,43,15,0,21
20:54:59.935527,61809,48,16,0,21
20:54:59.997783,61809,54,5,0,21
20:55:00.055535,61809,59,6,0,21
20:55:00.117032,61809,64,14,0,21
20:55:00.145520,61809,67,4,0,21
20:55:00.173580,61809,69,14,0,21
20:55:00.202197,61809,72,4,0,21
20:55:00.230639,61809,74,14,0,21
20:55:00.258814,61809,77,4,0,21
20:55:00.287242,61809,79,14,0,21
20:55:00.315373,61809,82,4,0,21
20:55:00.333967,61809,83,17,0,15
20:55:00.650277,49395,112,0,0,19
20:55:00.650279,61809,112,0,0,19
20:55:00.848586,61809,129,15,0,21
20:55:00.905382,61809,134,16,0,21
20:55:00.994290,61809,140,4,0,21
20:55:01.022369,61809,142,14,0,21
20:55:01.079295,61809,147,15,0,21
20:55:01.107019,61809,150,4,0,21
20:55:01.164137,61809,155,5,0,21
20:55:01.285747,61809,157,14,0,21
20:55:01.313656,61809,160,4,0,21
20:55:01.370521,61809,165,5,0,21
20:55:01.398314,61809,167,14,0,21
20:55:01.416264,61809,169,6,0,21
20:55:01.679662,61809,192,15,0,21
20:55:01.736536,61809,197,16,0,21
20:55:01.772725,61809,200,10,0,21
20:55:01.827227,61809,205,5,0,21
20:55:01.855466,61809,207,14,0,21
20:55:01.884085,61809,210,4,0,21
20:55:01.904949,49395,212,0,0,21
