time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:42:31.327962,0,600,0,-2147483648,-183,-93,-90,3,-93,4
20:42:31.328148,0,600,0,-2147483648,-183,-93,-90,3,-93,4
20:42:32.446819,0,700,0,-2147483648,-183,-93,-90,3,-93,4
20:42:32.447167,0,700,0,-2147483648,-183,-93,-90,3,-93,4
20:42:33.580479,0,800,0,-2147483648,-183,-95,-90,5,-95,4
20:42:33.580789,0,800,0,-2147483648,-183,-95,-90,5,-95,4
20:42:34.712643,0,900,0,-2147483648,-183,-93,-90,3,-93,4
20:42:34.712929,0,900,0,-2147483648,-183,-93,-90,3,-93,4
20:42:35.853370,0,1000,0,-2147483648,-183,-95,-90,5,-95,4
20:42:35.853817,0,1000,0,-2147483648,-183,-95,-90,5,-95,4
20:42:37.088551,0,76,0,-2147483648,-183,-95,-90,5,-95,4
20:42:37.088667,0,76,0,-2147483648,-183,-95,-90,5,-95,4
20:42:38.377889,0,176,0,-2147483648,-183,-96,-90,6,-96,4
20:42:38.378422,0,176,0,-2147483648,-183,-96,-90,6,-96,4
20:42:39.670326,0,276,0,-2147483648,-183,-93,-90,3,-93,4
20:42:39.670668,0,276,0,-2147483648,-183,-93,-90,3,-93,4
20:42:40.772308,0,376,0,-2147483648,-183,-93,-90,3,-93,4
20:42:40.772485,0,376,0,-2147483648,-183,-93,-90,3,-93,4
20:42:41.887171,0,476,0,-2147483648,-183,-90,-90,0,-90,4
20:42:41.887474,0,476,0,-2147483648,-183,-90,-90,0,-90,4
20:42:43.144710,0,576,0,-2147483648,-183,-95,-90,5,-95,4
20:42:43.145023,0,576,0,-2147483648,-183,-93,-90,3,-93,4
20:42:43.610728,0,612,0,-2147483648,-183,-93,-90,3,-93,4
20:42:44.392924,0,676,0,-2147483648,-183,-95,-90,5,-95,4
20:42:44.393161,0,676,0,-2147483648,-183,-95,-90,5,-95,4
20:42:45.688036,0,776,0,-2147483648,-183,-93,-90,3,-93,4
20:42:45.688288,0,776,0,-2147483648,-183,-93,-90,3,-93,4
20:42:46.868882,0,868,0,-2147483648,-183,-95,-90,5,-95,4
20:42:46.881488,0,869,0,-2147483648,-183,-95,-90,5,-95,4
20:42:46.970713,0,876,0,-2147483648,-183,-95,-90,5,-95,4
20:42:46.971430,0,876,0,-2147483648,-183,-95,-90,5,-95,4
20:42:48.173760,0,976,0,-2147483648,-183,-93,-90,3,-93,4
20:42:48.174120,0,976,0,-2147483648,-183,-95,-90,5,-95,4
