time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:38:06.329747,0,61809,728,100,0,0,28,28,0,28,1,1,1000000,996960,997264,50000,150000,3,1
20:38:06.329747,0,49395,728,100,0,0,28,28,0,28,1,1,1000000,990997,991897,50000,150000,3,1
20:38:07.495701,0,61809,828,100,0,0,28,28,0,28,1,1,1000000,997264,997538,50000,150000,3,1
20:38:07.495702,0,49395,828,100,0,0,28,28,0,28,1,1,1000000,991897,992707,50000,150000,3,1
20:38:08.660931,0,61809,928,100,0,0,28,28,0,28,1,1,1000000,997538,997784,50000,150000,3,1
20:38:08.660931,0,49395,928,100,0,0,28,28,0,28,1,1,1000000,992707,993436,50000,150000,3,1
20:38:09.793083,0,61809,4,100,0,0,28,28,0,28,1,1,1000000,997784,998005,50000,150000,3,1
20:38:09.793084,0,49395,4,100,0,0,28,28,0,28,1,1,1000000,993436,994093,50000,150000,3,1
20:38:10.943317,0,61809,104,100,0,0,28,28,0,28,1,1,1000000,998005,998205,50000,150000,3,1
20:38:10.943318,0,49395,104,100,0,0,28,28,0,28,1,1,1000000,994093,994683,50000,150000,3,1
20:38:12.258202,0,61809,204,100,0,0,28,28,0,28,1,1,1000000,998205,998384,50000,150000,3,1
20:38:12.258202,0,49395,204,100,0,0,28,28,0,28,1,1,1000000,994683,995215,50000,150000,3,1
20:38:13.479074,0,61809,304,100,0,0,28,28,0,28,1,1,1000000,998384,998546,50000,150000,3,1
20:38:13.479074,0,49395,304,100,0,0,28,28,0,28,1,1,1000000,995215,995693,50000,150000,3,1
20:38:14.686463,0,61809,404,100,0,0,28,28,0,28,1,1,1000000,998546,998691,50000,150000,3,1
20:38:14.686464,0,49395,404,100,0,0,28,28,0,28,1,1,1000000,995693,996124,50000,150000,3,1
20:38:15.947417,0,61809,504,100,0,0,28,28,0,28,1,1,1000000,998691,998822,50000,150000,3,1
20:38:15.947417,0,49395,504,100,0,0,28,28,0,28,1,1,1000000,996124,996512,50000,150000,3,1
20:38:16.222187,0,61809,527,23,0,0,28,28,0,28,1,1,1000000,998822,998940,50000,150000,3,1
20:38:16.280707,0,61809,532,5,0,0,28,28,0,28,-1,-1,-1,998940,998940,50000,150000,0,0
20:38:16.308596,0,61809,535,8,0,0,28,28,0,28,-1,-1,-1,998940,998940,50000,150000,0,0
20:38:16.337923,0,61809,537,10,0,0,28,28,0,28,3,3,1000000,998940,999046,50000,150000,3,1
20:38:16.367339,0,61809,540,3,0,0,28,28,0,28,-1,-1,-1,999046,999046,50000,150000,0,0
