time,eNB_ID,rnti,rb_id,length
20:39:08.353821,0,49395,1,0
20:39:08.353823,0,49395,4,1
20:39:19.042127,0,49395,1,0
20:39:19.042128,0,49395,4,1
20:39:19.191251,0,49395,1,0
20:39:19.191253,0,49395,4,1
20:39:19.452393,0,61809,1,0
20:39:19.452395,0,61809,4,1
20:39:19.509535,0,61809,1,0
20:39:19.509537,0,61809,4,1
20:39:19.718963,0,49395,1,0
20:39:19.718964,0,49395,4,1
20:39:19.777090,0,49395,1,0
20:39:19.777091,0,49395,4,1
20:39:20.166389,0,61809,1,0
20:39:20.166391,0,61809,4,1
20:39:20.310374,0,61809,1,0
20:39:20.310376,0,61809,4,1
20:39:20.525055,0,49395,1,0
20:39:20.525056,0,49395,4,1
20:39:20.581752,0,49395,1,0
20:39:20.581754,0,49395,4,1
20:39:20.844666,0,61809,1,0
20:39:20.844667,0,61809,4,1
20:39:20.873096,0,61809,1,0
20:39:20.873098,0,61809,4,1
20:39:20.901674,0,61809,1,0
20:39:20.901676,0,61809,4,1
20:39:21.219793,0,49395,1,0
20:39:21.219795,0,49395,4,1
20:39:21.306037,0,49395,1,0
20:39:21.306039,0,49395,4,1
20:39:21.568887,0,61809,1,0
20:39:21.568889,0,61809,4,1
20:39:21.625130,0,61809,1,0
20:39:21.625131,0,61809,4,1
20:39:21.829159,0,49395,1,0
20:39:21.829161,0,49395,4,1
20:39:21.884921,0,49395,1,0
20:39:21.884923,0,49395,4,1
20:39:22.255272,0,61809,1,0
20:39:22.255273,0,61809,4,1
20:39:22.310794,0,61809,1,0
20:39:22.310795,0,61809,4,1
20:39:22.516177,0,49395,1,0
20:39:22.516178,0,49395,4,1
20:39:22.572075,0,49395,1,0
20:39:22.572077,0,49395,4,1
20:39:22.912391,0,61809,1,0
20:39:22.912392,0,61809,4,1
20:39:22.968278,0,61809,1,0
20:39:22.968279,0,61809,4,1
20:39:23.318786,0,49395,1,0
20:39:23.318789,0,49395,4,1
20:39:23.385459,0,49395,1,0
20:39:23.385460,0,49395,4,1
20:39:23.615104,0,61809,1,0
20:39:23.615106,0,61809,4,1
20:39:23.671778,0,61809,1,0
20:39:23.671779,0,61809,4,1
20:39:24.040193,0,49395,1,0
20:39:24.040195,0,49395,4,1
