time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:39:08.328401,893393,391946755,61809,835,8,101
20:39:08.359366,893393,422911399,49395,838,8,101
20:39:08.431231,893393,494776567,61809,845,8,101
20:39:08.462680,893393,526225131,49395,848,8,92
20:39:08.535631,893393,599176121,61809,855,8,101
20:39:08.565853,893393,629398692,49395,858,8,101
20:39:08.637700,893393,701245744,61809,865,8,101
20:39:08.668287,893393,731831931,49395,868,8,101
20:39:08.738457,893393,802002051,61809,875,8,101
20:39:08.768799,893393,832344694,49395,878,8,101
20:39:08.839549,893393,903093794,61809,885,8,101
20:39:08.870269,893393,933813973,49395,888,8,92
20:39:08.941200,893394,4744840,61809,895,8,101
20:39:08.986631,893394,50176637,49395,898,8,101
20:39:09.056974,893394,120519513,61809,905,8,101
20:39:09.086754,893394,150299366,49395,908,8,101
20:39:09.157663,893394,221208026,61809,915,8,101
20:39:09.187752,893394,251297369,49395,918,8,101
20:39:09.257887,893394,321432589,61809,925,8,101
20:39:09.288067,893394,351611923,49395,928,8,92
20:39:09.357999,893394,421544300,61809,935,8,101
20:39:09.388042,893394,451587076,49395,938,8,101
20:39:09.458583,893394,522127908,61809,945,8,101
20:39:09.488525,893394,552070326,49395,948,8,101
20:39:09.558834,893394,622379492,61809,955,8,101
20:39:09.589272,893394,652816911,49395,958,8,101
20:39:09.662490,893394,726035012,61809,965,8,101
20:39:09.692580,893394,756125824,49395,968,8,92
20:39:09.807923,893394,871467963,61809,975,8,101
20:39:09.840816,893394,904360991,49395,978,8,101
20:39:09.919082,893394,982627253,61809,985,8,101
20:39:09.953494,893395,17039173,49395,988,8,101
20:39:10.033917,893395,97462518,61809,995,8,101
20:39:10.068529,893395,132074587,49395,998,8,101
20:39:10.148844,893395,212389186,61809,1005,8,101
20:39:10.184286,893395,247831644,49395,1008,8,92
20:39:10.263187,893395,326732091,61809,1015,8,101
20:39:10.297767,893395,361312507,49395,1018,8,101
20:39:10.377137,893395,440682215,61809,1,8,101
20:39:10.412144,893395,475688927,49395,4,8,101
20:39:10.490813,893395,554358780,61809,11,8,101
20:39:10.525583,893395,589127798,49395,14,8,101
20:39:10.616277,893395,679822538,61809,22,7,101
20:39:10.639878,893395,703423801,49395,24,8,92
20:39:10.731297,893395,794842294,61809,32,8,92
20:39:10.753917,893395,817462643,49395,34,8,101
20:39:10.846700,893395,910245048,61809,42,8,101
20:39:10.869453,893395,932998240,49395,44,8,101
20:39:10.983645,893396,47190706,61809,52,8,101
20:39:11.006849,893396,70394746,49395,54,8,101
20:39:11.098089,893396,161634334,61809,62,8,101
20:39:11.119899,893396,183444781,49395,64,8,92
20:39:11.209951,893396,273496205,61809,72,8,92
20:39:11.232654,893396,296199769,49395,74,8,101
20:39:11.322716,893396,386261110,61809,82,8,101
20:39:11.345393,893396,408938691,49395,84,8,101
20:39:11.436150,893396,499694913,61809,92,8,101
20:39:11.458879,893396,522424516,49395,94,8,101
20:39:11.549545,893396,613090015,61809,102,8,101
20:39:11.572237,893396,635782412,49395,104,8,92
20:39:11.663015,893396,726560580,61809,112,8,92
20:39:11.686208,893396,749753436,49395,114,8,101
20:39:11.776576,893396,840121325,61809,122,8,101
20:39:11.799369,893396,862914675,49395,124,8,101
20:39:11.889814,893396,953359427,61809,132,8,101
20:39:11.912406,893396,975951514,49395,134,8,101
20:39:12.032404,893397,95949735,61809,142,8,101
20:39:12.055100,893397,118644872,49395,144,8,92
20:39:12.144404,893397,207949416,61809,152,8,92
20:39:12.167058,893397,230602951,49395,154,8,101
20:39:12.257425,893397,320970135,61809,162,8,101
20:39:12.280116,893397,343661032,49395,164,8,101
20:39:12.369811,893397,433355847,61809,172,8,101
20:39:12.392341,893397,455886349,49395,174,8,101
20:39:12.482228,893397,545773679,61809,182,8,101
20:39:12.504857,893397,568402686,49395,184,8,92
20:39:12.594578,893397,658123408,61809,192,8,92
20:39:12.617285,893397,680829925,49395,194,8,101
20:39:12.706211,893397,769755794,61809,202,8,101
20:39:12.728290,893397,791835774,49395,204,8,101
20:39:12.818855,893397,882400313,61809,212,8,101
20:39:12.841135,893397,904679922,49395,214,8,101
20:39:12.963351,893398,26896545,61809,222,8,101
20:39:12.986158,893398,49703445,49395,224,8,92
20:39:13.076854,893398,140398848,61809,232,8,92
20:39:13.098803,893398,162348147,49395,234,8,101
20:39:13.189778,893398,253323538,61809,242,8,101
20:39:13.211587,893398,275132174,49395,244,8,101
20:39:13.301904,893398,365449747,61809,252,8,101
20:39:13.324583,893398,388128024,49395,254,8,101
20:39:13.414848,893398,478393557,61809,262,8,101
20:39:13.437748,893398,501293454,49395,264,8,92
20:39:13.527366,893398,590911124,61809,272,8,92
20:39:13.550185,893398,613730682,49395,274,8,101
20:39:13.640006,893398,703551023,61809,282,8,101
20:39:13.662041,893398,725586482,49395,284,8,101
20:39:13.752532,893398,816077643,61809,292,8,101
20:39:13.776742,893398,840287402,49395,294,8,101
20:39:13.870950,893398,934494857,61809,302,8,101
20:39:13.940126,893399,3670829,49395,304,8,92
20:39:14.030228,893399,93773723,61809,312,8,92
20:39:14.052855,893399,116400641,49395,314,8,101
20:39:14.143202,893399,206746895,61809,322,8,101
20:39:14.165643,893399,229188157,49395,324,8,101
20:39:14.256144,893399,319689507,61809,332,8,101
20:39:14.278738,893399,342283023,49395,334,8,101
20:39:14.369451,893399,432996198,61809,342,8,101
