time,direction,dci_format,rnti_type,rnti,dci_frame,dci_slot,sched_frame,sched_slot,mcs,mcs_table,rb_start,rb_size,start_symbol,nr_symbols,tbs,harq_pid,ndi,rv,round,qam_mod_order,target_code_rate,tpc,n_cce,N_cce
20:39:08.375007,0,1,0,49395,840,4,840,4,0,0,0,25,1,13,848,15,0,3,2,2,1200,2,14,2
20:39:08.385032,0,1,0,49395,841,4,841,4,0,0,0,25,1,13,848,15,0,1,3,2,1200,2,14,2
20:39:08.425725,1,7,0,61809,845,2,845,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,4,2
20:39:08.456142,1,7,0,49395,848,2,848,8,8,0,0,5,0,12,92,7,1,0,0,2,6020,1,4,2
20:39:08.529463,1,7,0,61809,855,2,855,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
20:39:08.560272,1,7,0,49395,858,2,858,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,1,4,2
20:39:08.632466,1,7,0,61809,865,2,865,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,4,2
20:39:08.662508,1,7,0,49395,868,2,868,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,2,4,2
20:39:08.732992,1,7,0,61809,875,2,875,8,8,0,0,5,0,13,101,3,1,0,0,2,6020,1,4,2
20:39:08.763210,1,7,0,49395,878,2,878,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,4,2
20:39:08.834108,1,7,0,61809,885,2,885,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,2,4,2
20:39:08.864758,1,7,0,49395,888,2,888,8,8,0,0,5,0,12,92,11,1,0,0,2,6020,1,4,2
20:39:08.936172,1,7,0,61809,895,2,895,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
20:39:08.981091,1,7,0,49395,898,2,898,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,1,4,2
20:39:09.051643,1,7,0,61809,905,2,905,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
20:39:09.080268,0,1,0,49395,908,0,908,0,0,0,5,5,1,13,168,1,1,0,0,2,1200,2,2,2
20:39:09.080576,0,1,0,61809,908,0,908,0,0,0,0,5,1,13,168,6,1,0,0,2,1200,2,12,2
20:39:09.081185,1,7,0,49395,908,2,908,8,8,0,0,5,0,13,101,13,1,0,0,2,6020,1,4,2
20:39:09.087126,0,1,0,49395,908,14,908,14,0,0,5,5,1,13,168,1,0,2,1,2,1200,2,6,2
20:39:09.087505,0,1,0,61809,908,14,908,14,0,0,0,5,1,13,168,6,0,2,1,2,1200,2,8,2
20:39:09.097798,0,1,0,49395,909,14,909,14,0,0,5,5,1,13,168,1,0,3,2,2,1200,2,6,2
20:39:09.098034,0,1,0,61809,909,14,909,14,0,0,0,5,1,13,168,6,0,3,2,2,1200,2,8,2
20:39:09.107527,0,1,0,49395,910,14,910,14,0,0,5,5,1,13,168,1,0,1,3,2,1200,2,6,2
20:39:09.108504,0,1,0,61809,910,14,910,14,0,0,0,5,1,13,168,6,0,1,3,2,1200,2,8,2
20:39:09.152385,1,7,0,61809,915,2,915,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
20:39:09.182393,1,7,0,49395,918,2,918,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,2,4,2
20:39:09.252726,1,7,0,61809,925,2,925,8,8,0,0,5,0,13,101,7,1,0,0,2,6020,1,4,2
20:39:09.282350,1,7,0,49395,928,2,928,8,8,0,0,5,0,12,92,0,1,0,0,2,6020,1,4,2
20:39:09.352750,1,7,0,61809,935,2,935,8,8,0,0,5,0,13,101,8,1,0,0,2,6020,2,4,2
20:39:09.382509,1,7,0,49395,938,2,938,8,8,0,0,5,0,13,101,1,1,0,0,2,6020,1,4,2
20:39:09.453320,1,7,0,61809,945,2,945,8,8,0,0,5,0,13,101,9,1,0,0,2,6020,1,4,2
20:39:09.483070,1,7,0,49395,948,2,948,8,8,0,0,5,0,13,101,2,1,0,0,2,6020,1,4,2
20:39:09.553381,1,7,0,61809,955,2,955,8,8,0,0,5,0,13,101,10,1,0,0,2,6020,1,4,2
20:39:09.583090,1,7,0,49395,958,2,958,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,4,2
20:39:09.656002,1,7,0,61809,965,2,965,8,8,0,0,5,0,13,101,11,1,0,0,2,6020,1,4,2
20:39:09.687100,1,7,0,49395,968,2,968,8,8,0,0,5,0,12,92,3,1,0,0,2,6020,2,4,2
20:39:09.802447,1,7,0,61809,975,2,975,8,8,0,0,5,0,13,101,12,1,0,0,2,6020,2,4,2
20:39:09.834491,1,7,0,49395,978,2,978,8,8,0,0,5,0,13,101,4,1,0,0,2,6020,1,4,2
20:39:09.912948,1,7,0,61809,985,2,985,8,8,0,0,5,0,13,101,14,1,0,0,2,6020,1,4,2
20:39:09.947291,1,7,0,49395,988,2,988,8,8,0,0,5,0,13,101,5,1,0,0,2,6020,1,4,2
20:39:10.027662,1,7,0,61809,995,2,995,8,8,0,0,5,0,13,101,15,1,0,0,2,6020,1,4,2
20:39:10.062043,1,7,0,49395,998,2,998,8,8,0,0,5,0,13,101,6,1,0,0,2,6020,1,4,2
20:39:10.142709,1,7,0,61809,1005,2,1005,8,8,0,0,5,0,13,101,0,1,0,0,2,6020,1,4,2
20:39:10.176624,0,1,0,49395,1008,0,1008,0,0,0,5,5,1,12,152,2,1,0,0,2,1200,2,2,2
20:39:10.176668,0,1,0,61809,1008,0,1008,0,0,0,0,5,1,12,152,5,1,0,0,2,1200,2,12,2
20:39:10.177984,1,7,0,49395,1008,2,1008,8,8,0,0,5,0,12,92,7,1,0,0,2,6020,2,4,2
20:39:10.184535,0,1,0,49395,1008,14,1008,14,0,0,5,5,1,12,152,2,0,2,1,2,1200,2,6,2
20:39:10.184824,0,1,0,61809,1008,14,1008,14,0,0,0,5,1,12,152,5,0,2,1,2,1200,2,8,2
