time,rnti,ue_id,frame,slot,lcid,lcgid,bytes_in_buffer,bj,pbr,priority
20:39:08.375168,49395,1,840,7,1,0,0,2147483647,-1,1
20:39:08.375169,49395,1,840,7,2,0,0,2147483647,-1,3
20:39:08.375169,49395,1,840,7,4,1,3,680740,8000,13
20:39:08.375672,61809,0,840,7,1,0,0,2147483647,-1,1
20:39:08.375672,61809,0,840,7,2,0,0,2147483647,-1,3
20:39:08.375673,61809,0,840,7,4,1,0,800000,8000,13
20:39:08.375748,49395,1,840,8,1,0,0,2147483647,-1,1
20:39:08.375748,49395,1,840,8,2,0,0,2147483647,-1,3
20:39:08.375749,49395,1,840,8,4,1,3,680772,8000,13
20:39:08.375956,61809,0,840,8,1,0,0,2147483647,-1,1
20:39:08.375957,61809,0,840,8,2,0,0,2147483647,-1,3
20:39:08.375957,61809,0,840,8,4,1,0,800000,8000,13
20:39:08.376072,49395,1,840,9,1,0,0,2147483647,-1,1
20:39:08.376072,49395,1,840,9,2,0,0,2147483647,-1,3
20:39:08.376073,49395,1,840,9,4,1,3,680776,8000,13
20:39:08.376384,61809,0,840,9,1,0,0,2147483647,-1,1
20:39:08.376384,61809,0,840,9,2,0,0,2147483647,-1,3
20:39:08.376384,61809,0,840,9,4,1,0,800000,8000,13
20:39:08.380008,49395,1,840,17,1,0,0,2147483647,-1,1
20:39:08.380008,49395,1,840,17,2,0,0,2147483647,-1,3
20:39:08.380009,49395,1,840,17,4,1,3,680780,8000,13
20:39:08.380315,61809,0,840,17,1,0,0,2147483647,-1,1
20:39:08.380316,61809,0,840,17,2,0,0,2147483647,-1,3
20:39:08.380316,61809,0,840,17,4,1,0,800000,8000,13
20:39:08.380627,49395,1,840,18,1,0,0,2147483647,-1,1
20:39:08.380627,49395,1,840,18,2,0,0,2147483647,-1,3
20:39:08.380628,49395,1,840,18,4,1,3,680812,8000,13
20:39:08.380967,49395,1,840,19,1,0,0,2147483647,-1,1
20:39:08.380968,49395,1,840,19,2,0,0,2147483647,-1,3
20:39:08.380968,49395,1,840,19,4,1,3,680816,8000,13
20:39:08.381011,61809,0,840,18,1,0,0,2147483647,-1,1
20:39:08.381011,61809,0,840,18,2,0,0,2147483647,-1,3
20:39:08.381011,61809,0,840,18,4,1,0,800000,8000,13
20:39:08.381312,61809,0,840,19,1,0,0,2147483647,-1,1
20:39:08.381312,61809,0,840,19,2,0,0,2147483647,-1,3
20:39:08.381312,61809,0,840,19,4,1,0,800000,8000,13
20:39:08.385037,49395,1,841,7,1,0,0,2147483647,-1,1
20:39:08.385038,49395,1,841,7,2,0,0,2147483647,-1,3
20:39:08.385038,49395,1,841,7,4,1,3,680820,8000,13
20:39:08.385612,49395,1,841,8,1,0,0,2147483647,-1,1
20:39:08.385613,49395,1,841,8,2,0,0,2147483647,-1,3
20:39:08.385613,49395,1,841,8,4,1,3,680852,8000,13
20:39:08.385641,61809,0,841,7,1,0,0,2147483647,-1,1
20:39:08.385641,61809,0,841,7,2,0,0,2147483647,-1,3
20:39:08.385641,61809,0,841,7,4,1,0,800000,8000,13
20:39:08.385950,61809,0,841,8,1,0,0,2147483647,-1,1
20:39:08.385950,61809,0,841,8,2,0,0,2147483647,-1,3
20:39:08.385950,61809,0,841,8,4,1,0,800000,8000,13
20:39:08.386035,49395,1,841,9,1,0,0,2147483647,-1,1
20:39:08.386036,49395,1,841,9,2,0,0,2147483647,-1,3
20:39:08.386036,49395,1,841,9,4,1,3,680856,8000,13
20:39:08.386555,61809,0,841,9,1,0,0,2147483647,-1,1
20:39:08.386555,61809,0,841,9,2,0,0,2147483647,-1,3
20:39:08.386556,61809,0,841,9,4,1,0,800000,8000,13
20:39:08.390235,49395,1,841,17,1,0,0,2147483647,-1,1
20:39:08.390235,49395,1,841,17,2,0,0,2147483647,-1,3
20:39:08.390235,49395,1,841,17,4,1,3,680860,8000,13
20:39:08.390714,61809,0,841,17,1,0,0,2147483647,-1,1
20:39:08.390715,61809,0,841,17,2,0,0,2147483647,-1,3
20:39:08.390715,61809,0,841,17,4,1,0,800000,8000,13
20:39:08.390753,49395,1,841,18,1,0,0,2147483647,-1,1
20:39:08.390753,49395,1,841,18,2,0,0,2147483647,-1,3
20:39:08.390753,49395,1,841,18,4,1,3,680892,8000,13
20:39:08.391069,61809,0,841,18,1,0,0,2147483647,-1,1
20:39:08.391069,61809,0,841,18,2,0,0,2147483647,-1,3
20:39:08.391069,61809,0,841,18,4,1,0,800000,8000,13
20:39:08.391251,49395,1,841,19,1,0,0,2147483647,-1,1
20:39:08.391251,49395,1,841,19,2,0,0,2147483647,-1,3
20:39:08.391251,49395,1,841,19,4,1,3,680896,8000,13
20:39:08.391639,61809,0,841,19,1,0,0,2147483647,-1,1
20:39:08.391639,61809,0,841,19,2,0,0,2147483647,-1,3
20:39:08.391639,61809,0,841,19,4,1,0,800000,8000,13
20:39:08.395448,49395,1,842,7,1,0,0,2147483647,-1,1
20:39:08.395448,49395,1,842,7,2,0,0,2147483647,-1,3
20:39:08.395448,49395,1,842,7,4,1,3,680900,8000,13
20:39:08.395711,61809,0,842,7,1,0,0,2147483647,-1,1
20:39:08.395712,61809,0,842,7,2,0,0,2147483647,-1,3
20:39:08.395712,61809,0,842,7,4,1,0,800000,8000,13
20:39:08.396275,61809,0,842,8,1,0,0,2147483647,-1,1
20:39:08.396275,61809,0,842,8,2,0,0,2147483647,-1,3
20:39:08.396275,61809,0,842,8,4,1,0,800000,8000,13
20:39:08.396557,49395,1,842,8,1,0,0,2147483647,-1,1
20:39:08.396557,49395,1,842,8,2,0,0,2147483647,-1,3
