time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:41:17.153293,0,61809,444,100,0,0,28,28,0,28,1,1,1000000,986115,987503,50000,150000,3,1
20:41:17.153294,0,49395,444,100,0,0,28,28,0,28,1,1,1000000,971384,974245,50000,150000,3,1
20:41:18.335338,0,61809,544,100,0,0,28,28,0,28,1,1,1000000,987503,988753,50000,150000,3,1
20:41:18.335339,0,49395,544,100,0,0,28,28,0,28,1,1,1000000,974245,976821,50000,150000,3,1
20:41:19.523837,0,61809,644,100,0,0,28,28,0,28,1,1,1000000,988753,989878,50000,150000,3,1
20:41:19.523838,0,49395,644,100,0,0,28,28,0,28,1,1,1000000,976821,979139,50000,150000,3,1
20:41:20.683242,0,61809,744,100,0,0,28,28,0,28,1,1,1000000,989878,990890,50000,150000,3,1
20:41:20.683243,0,49395,744,100,0,0,28,28,0,28,1,1,1000000,979139,981225,50000,150000,3,1
20:41:21.964866,0,61809,844,100,0,0,28,28,0,28,1,1,1000000,990890,991801,50000,150000,3,1
20:41:21.964867,0,49395,844,100,0,0,28,28,0,28,1,1,1000000,981225,983102,50000,150000,3,1
20:41:23.288713,0,61809,944,100,0,0,28,28,0,28,1,1,1000000,991801,992621,50000,150000,3,1
20:41:23.288714,0,49395,944,100,0,0,28,28,0,28,1,1,1000000,983102,984792,50000,150000,3,1
20:41:24.568033,0,61809,20,100,0,0,28,28,0,28,1,1,1000000,992621,993359,50000,150000,3,1
20:41:24.568034,0,49395,20,100,0,0,28,28,0,28,1,1,1000000,984792,986313,50000,150000,3,1
20:41:25.801893,0,61809,120,100,0,0,28,28,0,28,1,1,1000000,993359,994023,50000,150000,3,1
20:41:25.801893,0,49395,120,100,0,0,28,28,0,28,1,1,1000000,986313,987682,50000,150000,3,1
20:41:26.988666,0,61809,220,100,0,0,28,28,0,28,1,1,1000000,994023,994620,50000,150000,3,1
20:41:26.988666,0,49395,220,100,0,0,28,28,0,28,1,0,0,987682,888913,50000,150000,3,1
20:41:27.203426,0,49395,230,10,0,0,28,28,0,28,1,1,1000000,888913,900022,50000,150000,3,1
20:41:27.260476,0,49395,235,5,0,0,28,28,0,28,-1,-1,-1,900022,900022,50000,150000,0,0
20:41:27.322184,0,49395,241,11,0,0,28,28,0,28,2,2,1000000,900022,910020,50000,150000,3,1
20:41:27.350646,0,49395,243,2,0,0,28,28,0,28,-1,-1,-1,910020,910020,50000,150000,0,0
