time,rnti,frame,slot,mcs,tbs
20:41:17.153299,61809,444,0,0,21
20:41:17.153301,49395,444,0,0,21
20:41:18.335348,61809,544,0,0,19
20:41:18.335350,49395,544,0,0,19
20:41:19.523843,61809,644,0,0,21
20:41:19.523845,49395,644,0,0,21
20:41:20.683253,61809,744,0,0,19
20:41:20.683255,49395,744,0,0,19
20:41:21.964885,61809,844,0,0,21
20:41:21.964889,49395,844,0,0,21
20:41:23.288724,61809,944,0,0,19
20:41:23.288726,49395,944,0,0,19
20:41:24.568043,61809,20,0,0,21
20:41:24.568045,49395,20,0,0,21
20:41:25.801902,61809,120,0,0,19
20:41:25.801904,49395,120,0,0,19
20:41:26.988676,61809,220,0,0,21
20:41:26.988679,49395,220,0,0,21
20:41:27.203437,49395,230,15,0,21
20:41:27.260489,49395,235,16,0,21
20:41:27.322193,49395,241,4,0,21
20:41:27.350651,49395,243,14,0,21
20:41:27.465959,61809,253,15,0,21
20:41:27.517426,49395,258,5,0,21
20:41:27.539787,61809,260,4,0,21
20:41:27.568336,61809,262,14,0,21
20:41:27.637063,49395,268,14,0,21
20:41:27.665645,49395,271,4,0,21
20:41:27.689982,61809,273,6,0,21
20:41:27.780335,49395,281,5,0,21
20:41:27.808424,61809,283,14,0,21
20:41:27.809019,49395,283,15,0,21
20:41:27.923018,49395,293,16,0,21
20:41:27.927692,61809,294,4,0,21
20:41:27.950392,49395,296,4,0,21
20:41:27.979751,49395,298,15,0,21
20:41:28.042526,61809,304,5,0,21
20:41:28.132700,49395,308,16,0,21
20:41:28.160330,49395,311,4,0,21
20:41:28.189193,49395,313,14,0,21
20:41:28.202064,61809,314,16,0,21
20:41:28.218358,49395,316,4,0,21
20:41:28.248102,49395,318,15,0,21
20:41:28.262762,61809,320,0,0,19
20:41:28.262764,49395,320,0,0,19
20:41:28.324463,61809,325,6,0,21
20:41:28.370985,49395,329,5,0,21
20:41:28.446424,61809,335,14,0,21
20:41:28.475019,61809,338,4,0,21
20:41:28.493003,49395,339,15,0,21
20:41:28.591163,61809,348,5,0,21
20:41:28.608785,49395,349,16,0,21
20:41:28.636414,49395,352,4,0,21
20:41:28.665503,49395,354,15,0,21
20:41:28.711993,61809,358,16,0,21
20:41:28.781093,49395,364,17,0,15
20:41:28.810299,49395,367,4,0,21
20:41:28.835012,61809,369,6,0,21
