time,rnti,frame,slot,mcs,tbs
20:41:16.483047,49395,388,2,8,101
20:41:16.517738,61809,391,2,8,101
20:41:16.597882,49395,398,2,8,101
20:41:16.632121,61809,401,2,8,101
20:41:16.713257,49395,408,2,8,92
20:41:16.747865,61809,411,2,8,101
20:41:16.828345,49395,418,2,8,101
20:41:16.862235,61809,421,2,8,101
20:41:16.967699,49395,428,2,8,101
20:41:17.006792,61809,431,2,8,101
20:41:17.086692,49395,438,2,8,101
20:41:17.120669,61809,441,2,8,101
20:41:17.199796,49395,448,2,8,92
20:41:17.233759,61809,451,2,8,101
20:41:17.313000,49395,458,2,8,101
20:41:17.346814,61809,461,2,8,101
20:41:17.425875,49395,468,2,8,101
20:41:17.460561,61809,471,2,8,101
20:41:17.539794,49395,478,2,8,101
20:41:17.573389,61809,481,2,8,101
20:41:17.652589,49395,488,2,8,92
20:41:17.686798,61809,491,2,8,101
20:41:17.812390,49395,498,2,8,101
20:41:17.846182,61809,501,2,8,101
20:41:17.925392,49395,508,2,8,101
20:41:17.959332,61809,511,2,8,101
20:41:18.040671,49395,518,2,8,101
20:41:18.076009,61809,521,2,8,101
20:41:18.155261,49395,528,2,8,92
20:41:18.189386,61809,531,2,8,101
20:41:18.268743,49395,538,2,8,101
20:41:18.302761,61809,541,2,8,101
20:41:18.382035,49395,548,2,8,101
20:41:18.416496,61809,551,2,8,101
20:41:18.496266,49395,558,2,8,101
20:41:18.530533,61809,561,2,8,101
20:41:18.610509,49395,568,2,8,92
20:41:18.644538,61809,571,2,8,101
20:41:18.724699,49395,578,2,8,101
20:41:18.759809,61809,581,2,8,101
20:41:18.884444,49395,588,2,8,101
20:41:18.918331,61809,591,2,8,101
20:41:18.997748,49395,598,2,8,101
20:41:19.031445,61809,601,2,8,101
20:41:19.112639,49395,608,2,8,92
20:41:19.153120,61809,611,2,8,101
20:41:19.231959,49395,618,2,8,101
20:41:19.265624,61809,621,2,8,101
20:41:19.344193,49395,628,2,8,101
20:41:19.377965,61809,631,2,8,101
20:41:19.456871,49395,638,2,8,101
20:41:19.491189,61809,641,2,8,101
20:41:19.570030,49395,648,2,8,92
