time,frame,slot,rnti,rb_size,rb_start,qam_mod_order,mcs_index,number_of_bits
20:41:16.520423,391,8,61809,5,0,2,8,808
20:41:16.600321,398,8,49395,5,0,2,8,808
20:41:16.634981,401,8,61809,5,0,2,8,808
20:41:16.715857,408,8,49395,5,0,2,8,736
20:41:16.750483,411,8,61809,5,0,2,8,808
20:41:16.831123,418,8,49395,5,0,2,8,808
20:41:16.864918,421,8,61809,5,0,2,8,808
20:41:16.972051,428,8,49395,5,0,2,8,808
20:41:17.009839,431,8,61809,5,0,2,8,808
20:41:17.089197,438,8,49395,5,0,2,8,808
20:41:17.123248,441,8,61809,5,0,2,8,808
20:41:17.202655,448,8,49395,5,0,2,8,736
20:41:17.236398,451,8,61809,5,0,2,8,808
20:41:17.315591,458,8,49395,5,0,2,8,808
20:41:17.349524,461,8,61809,5,0,2,8,808
20:41:17.428442,468,8,49395,5,0,2,8,808
20:41:17.462591,471,8,61809,5,0,2,8,808
20:41:17.542319,478,8,49395,5,0,2,8,808
20:41:17.576274,481,8,61809,5,0,2,8,808
20:41:17.655460,488,8,49395,5,0,2,8,736
20:41:17.689544,491,8,61809,5,0,2,8,808
20:41:17.814948,498,8,49395,5,0,2,8,808
20:41:17.848821,501,8,61809,5,0,2,8,808
20:41:17.927788,508,8,49395,5,0,2,8,808
20:41:17.962011,511,8,61809,5,0,2,8,808
20:41:18.043111,518,8,49395,5,0,2,8,808
20:41:18.078696,521,8,61809,5,0,2,8,808
20:41:18.157713,528,8,49395,5,0,2,8,736
20:41:18.191998,531,8,61809,5,0,2,8,808
20:41:18.271247,538,8,49395,5,0,2,8,808
20:41:18.305422,541,8,61809,5,0,2,8,808
20:41:18.384763,548,8,49395,5,0,2,8,808
20:41:18.419166,551,8,61809,5,0,2,8,808
20:41:18.498880,558,8,49395,5,0,2,8,808
20:41:18.533176,561,8,61809,5,0,2,8,808
20:41:18.612916,568,8,49395,5,0,2,8,736
20:41:18.647258,571,8,61809,5,0,2,8,808
20:41:18.727202,578,8,49395,5,0,2,8,808
20:41:18.763118,581,8,61809,5,0,2,8,808
20:41:18.887190,588,8,49395,5,0,2,8,808
20:41:18.921029,591,8,61809,5,0,2,8,808
20:41:19.000167,598,8,49395,5,0,2,8,808
20:41:19.034224,601,8,61809,5,0,2,8,808
20:41:19.115199,608,8,49395,5,0,2,8,736
20:41:19.155840,611,8,61809,5,0,2,8,808
20:41:19.234508,618,8,49395,5,0,2,8,808
20:41:19.268555,621,8,61809,5,0,2,8,808
20:41:19.347168,628,8,49395,5,0,2,8,808
20:41:19.380730,631,8,61809,5,0,2,8,808
20:41:19.459348,638,8,49395,5,0,2,8,808
20:41:19.493664,641,8,61809,5,0,2,8,808
20:41:19.572485,648,8,49395,5,0,2,8,736
20:41:19.606551,651,8,61809,5,0,2,8,808
20:41:19.686083,658,8,49395,5,0,2,8,808
