time,rnti,frame,slot,lcid,data_size,tx_list_occupancy
20:40:16.141415,49395,456,15,1,0,0
20:40:16.141417,49395,456,15,4,3,0
20:40:16.198973,49395,461,16,1,0,0
20:40:16.198975,49395,461,16,4,3,0
20:40:16.226037,49395,464,4,1,0,0
20:40:16.226038,49395,464,4,4,3,0
20:40:16.255300,49395,466,15,1,0,0
20:40:16.255302,49395,466,15,4,3,0
20:40:16.311653,49395,471,15,1,0,0
20:40:16.311654,49395,471,15,4,3,0
20:40:16.424839,61809,481,15,1,0,0
20:40:16.424841,61809,481,15,4,3,0
20:40:16.486134,49395,487,4,1,0,0
20:40:16.486135,49395,487,4,4,3,0
20:40:16.493140,61809,487,16,1,0,0
20:40:16.493141,61809,487,16,4,3,0
20:40:16.515555,49395,489,14,1,0,0
20:40:16.515556,49395,489,14,4,3,0
20:40:16.544083,49395,492,4,1,0,0
20:40:16.544084,49395,492,4,4,3,0
20:40:16.573149,49395,494,15,1,0,0
20:40:16.573151,49395,494,15,4,3,0
20:40:16.613214,61809,498,6,1,0,0
20:40:16.613216,61809,498,6,4,3,0
20:40:16.686225,49395,504,16,1,0,0
20:40:16.686227,49395,504,16,4,3,0
20:40:16.713541,49395,507,4,1,0,0
20:40:16.713543,49395,507,4,4,3,0
20:40:16.731261,61809,508,15,1,0,0
20:40:16.731262,61809,508,15,4,3,0
20:40:16.742113,49395,509,14,1,0,0
20:40:16.742114,49395,509,14,4,3,0
20:40:16.759710,61809,511,5,1,0,0
20:40:16.759711,61809,511,5,4,3,0
20:40:16.770497,49395,512,4,1,0,0
20:40:16.770498,49395,512,4,4,3,0
20:40:16.799271,49395,514,15,1,0,0
20:40:16.799273,49395,514,15,4,3,0
20:40:16.956962,61809,521,15,1,0,0
20:40:16.956964,61809,521,15,4,3,0
20:40:16.991466,49395,524,16,1,0,0
20:40:16.991468,49395,524,16,4,3,0
20:40:17.018497,49395,527,4,1,0,0
20:40:17.018499,49395,527,4,4,3,0
20:40:17.046997,49395,529,14,1,0,0
20:40:17.046999,49395,529,14,4,3,0
20:40:17.070654,61809,531,16,1,0,0
20:40:17.070655,61809,531,16,4,3,0
20:40:17.075180,49395,532,4,1,0,0
20:40:17.075181,49395,532,4,4,3,0
20:40:17.097818,61809,534,4,1,0,0
20:40:17.097819,61809,534,4,4,3,0
20:40:17.104116,49395,534,15,1,0,0
20:40:17.104117,49395,534,15,4,3,0
20:40:17.126585,61809,536,15,1,0,0
20:40:17.126586,61809,536,15,4,3,0
20:40:17.219409,49395,544,16,1,0,0
20:40:17.219411,49395,544,16,4,3,0
20:40:17.242710,61809,546,16,1,0,0
20:40:17.242711,61809,546,16,4,3,0
