time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
20:40:05.378797,49395,504,8,60,48,2,92,0,5,8,890
20:40:05.435682,61809,509,8,60,48,2,101,0,5,8,890
20:40:05.492849,49395,514,8,60,48,1,101,0,5,8,890
20:40:05.549832,61809,519,8,60,48,1,101,0,5,8,890
20:40:05.606600,49395,524,8,60,48,1,101,0,5,8,890
20:40:05.664211,61809,529,8,60,48,1,101,0,5,8,890
20:40:05.721244,49395,534,8,60,48,1,101,0,5,8,890
20:40:05.778377,61809,539,8,60,48,1,101,0,5,8,890
20:40:05.835273,49395,544,8,60,48,1,92,0,5,8,890
20:40:05.891859,61809,549,8,60,48,1,101,0,5,8,890
20:40:05.971423,49395,554,8,60,48,2,101,0,5,8,890
20:40:06.029632,61809,559,8,60,48,2,101,0,5,8,890
20:40:06.087644,49395,564,8,60,48,1,101,0,5,8,890
20:40:06.145131,61809,569,8,60,48,1,101,0,5,8,890
20:40:06.202192,49395,574,8,60,48,1,101,0,5,8,890
20:40:06.259347,61809,579,8,60,48,1,101,0,5,8,890
20:40:06.316823,49395,584,8,60,48,1,92,0,5,8,890
20:40:06.374040,61809,589,8,60,48,1,101,0,5,8,890
20:40:06.431060,49395,594,8,60,48,1,101,0,5,8,890
20:40:06.487695,61809,599,8,60,48,1,101,0,5,8,890
20:40:06.545105,49395,604,8,60,48,2,101,0,5,8,890
20:40:06.602290,61809,609,8,60,48,2,101,0,5,8,890
20:40:06.659544,49395,614,8,60,48,1,101,0,5,8,890
20:40:06.716926,61809,619,8,60,48,1,101,0,5,8,890
20:40:06.774382,49395,624,8,60,48,1,92,0,5,8,890
20:40:06.830918,61809,629,8,60,48,1,101,0,5,8,890
20:40:06.887649,49395,634,8,60,48,1,101,0,5,8,890
20:40:06.965684,61809,639,8,60,48,1,101,0,5,8,890
20:40:07.023451,49395,644,8,60,48,1,101,0,5,8,890
20:40:07.080685,61809,649,8,60,48,2,101,0,5,8,890
20:40:07.137302,49395,654,8,60,48,2,101,0,5,8,890
20:40:07.194335,61809,659,8,60,48,1,101,0,5,8,890
20:40:07.251855,49395,664,8,60,48,1,92,0,5,8,890
20:40:07.309569,61809,669,8,60,48,1,101,0,5,8,890
20:40:07.366406,49395,674,8,60,48,1,101,0,5,8,890
20:40:07.423462,61809,679,8,60,48,1,101,0,5,8,890
20:40:07.481076,49395,684,8,60,48,1,101,0,5,8,890
20:40:07.537969,61809,689,8,60,48,1,101,0,5,8,890
20:40:07.595414,49395,694,8,60,48,2,101,0,5,8,890
20:40:07.652446,61809,699,8,60,48,2,101,0,5,8,890
20:40:07.710156,49395,704,8,60,48,1,92,0,5,8,890
20:40:07.767432,61809,709,8,60,48,1,101,0,5,8,890
20:40:07.825634,49395,714,8,60,48,1,101,0,5,8,890
20:40:07.883017,61809,719,8,60,48,1,101,0,5,8,890
20:40:07.959175,49395,724,8,60,48,1,101,0,5,8,890
20:40:08.019263,61809,729,8,60,48,1,101,0,5,8,890
20:40:08.076416,49395,734,8,60,48,1,101,0,5,8,890
20:40:08.133432,61809,739,8,60,48,1,101,0,5,8,890
20:40:08.189663,49395,744,8,60,48,2,92,0,5,8,890
20:40:08.245906,61809,749,8,60,48,2,101,0,5,8,890
20:40:08.301970,49395,754,8,60,48,1,101,0,5,8,890
20:40:08.359141,61809,759,8,60,48,1,101,0,5,8,890
20:40:08.416470,49395,764,8,60,48,1,101,0,5,8,890
20:40:08.472813,61809,769,8,60,48,1,101,0,5,8,890
20:40:08.529665,49395,774,8,60,48,1,101,0,5,8,890
20:40:08.586822,61809,779,8,60,48,1,101,0,5,8,890
20:40:08.642827,49395,784,8,60,48,1,92,0,5,8,890
20:40:08.700672,61809,789,8,60,48,2,101,0,5,8,890
20:40:08.762321,49395,794,8,60,48,2,101,0,5,8,890
20:40:08.825287,61809,799,8,60,48,1,101,0,5,8,890
20:40:08.881733,49395,804,8,60,48,1,101,0,5,8,890
20:40:08.938691,61809,809,8,60,48,1,101,0,5,8,890
20:40:09.004232,49395,814,8,60,48,1,101,0,5,8,890
20:40:09.060722,61809,819,8,60,48,1,101,0,5,8,890
20:40:09.118008,49395,824,8,60,48,1,92,0,5,8,890
20:40:09.176186,61809,829,8,60,48,1,101,0,5,8,890
20:40:09.232916,49395,834,8,60,48,2,101,0,5,8,890
20:40:09.289126,61809,839,8,60,48,2,101,0,5,8,890
20:40:09.346104,49395,844,8,60,48,1,101,0,5,8,890
20:40:09.402821,61809,849,8,60,48,1,101,0,5,8,890
20:40:09.459680,49395,854,8,60,48,1,101,0,5,8,890
20:40:09.516058,61809,859,8,60,48,1,101,0,5,8,890
20:40:09.572511,49395,864,8,60,48,1,92,0,5,8,890
20:40:09.628979,61809,869,8,60,48,1,101,0,5,8,890
20:40:09.685213,49395,874,8,60,48,1,101,0,5,8,890
20:40:09.742942,61809,879,8,60,48,1,101,0,5,8,890
20:40:09.802001,49395,884,8,60,48,2,101,0,5,8,890
20:40:09.863580,61809,889,8,60,48,2,101,0,5,8,890
20:40:09.922710,49395,894,8,60,48,1,101,0,5,8,890
20:40:09.992877,61809,899,8,60,48,1,101,0,5,8,890
20:40:10.053245,49395,904,8,60,48,1,92,0,5,8,890
20:40:10.110883,61809,909,8,60,48,1,101,0,5,8,890
20:40:10.167855,49395,914,8,60,48,1,101,0,5,8,890
20:40:10.226313,61809,919,8,60,48,1,101,0,5,8,890
20:40:10.280416,49395,924,8,60,48,1,101,0,5,8,890
20:40:10.330014,61809,929,8,60,48,1,101,0,5,8,890
20:40:10.379268,49395,934,8,60,48,2,101,0,5,8,890
20:40:10.429234,61809,939,8,60,48,2,101,0,5,8,890
20:40:10.479463,49395,944,8,60,48,1,92,0,5,8,890
20:40:10.529373,61809,949,8,60,48,1,101,0,5,8,890
20:40:10.579362,49395,954,8,60,48,1,101,0,5,8,890
20:40:10.629080,61809,959,8,60,48,1,101,0,5,8,890
20:40:10.678631,49395,964,8,60,48,1,101,0,5,8,890
20:40:10.729120,61809,969,8,60,48,1,101,0,5,8,890
20:40:10.782908,49395,974,8,60,48,1,101,0,5,8,890
20:40:10.836459,61809,979,8,60,48,2,101,0,5,8,890
20:40:10.886203,49395,984,8,60,48,2,92,0,5,8,890
20:40:10.936218,61809,989,8,60,48,1,101,0,5,8,890
20:40:10.986201,49395,994,8,60,48,1,101,0,5,8,890
20:40:11.035799,61809,999,8,60,48,1,101,0,5,8,890
20:40:11.085958,49395,1004,8,60,48,1,101,0,5,8,890
20:40:11.136197,61809,1009,8,60,48,1,101,0,5,8,890
20:40:11.186048,49395,1014,8,60,48,1,101,0,5,8,890
20:40:11.235827,61809,1019,8,65,48,1,101,0,5,8,890
20:40:11.289692,49395,0,8,60,48,2,92,0,5,8,890
20:40:11.339497,61809,5,8,60,48,2,101,0,5,8,890
20:40:11.389222,49395,10,8,60,48,1,101,0,5,8,890
20:40:11.439848,61809,15,8,60,48,1,101,0,5,8,890
20:40:11.488527,49395,20,8,60,48,1,101,0,5,8,890
20:40:11.538243,61809,25,8,60,48,1,101,0,5,8,890
20:40:11.587610,49395,30,8,60,48,1,101,0,5,8,890
20:40:11.637230,61809,35,8,55,48,1,101,0,5,8,890
20:40:11.687767,49395,40,8,60,48,1,92,0,5,8,890
20:40:11.736805,61809,45,8,60,48,1,101,0,5,8,890
20:40:11.786534,49395,50,8,60,48,2,101,0,5,8,890
20:40:11.836444,61809,55,8,60,48,2,101,0,5,8,890
20:40:11.887234,49395,60,8,60,48,1,101,0,5,8,890
20:40:11.938441,61809,65,8,60,48,1,101,0,5,8,890
20:40:12.001294,49395,70,8,60,48,1,101,0,5,8,890
20:40:12.050504,61809,75,8,60,48,1,101,0,5,8,890
20:40:12.100606,49395,80,8,60,48,1,92,0,5,8,890
20:40:12.150238,61809,85,8,60,48,1,101,0,5,8,890
20:40:12.200427,49395,90,8,60,48,1,101,0,5,8,890
20:40:12.250260,61809,95,8,60,48,2,101,0,5,8,890
20:40:12.301512,49395,100,8,60,48,2,101,0,5,8,890
20:40:12.351540,61809,105,8,60,48,1,101,0,5,8,890
20:40:12.401144,49395,110,8,55,48,1,101,0,5,8,890
20:40:12.450809,61809,115,8,60,48,1,101,0,5,8,890
20:40:12.500695,49395,120,8,60,48,1,92,0,5,8,890
20:40:12.550464,61809,125,8,60,48,1,101,0,5,8,890
20:40:12.600303,49395,130,8,60,48,1,101,0,5,8,890
20:40:12.649926,61809,135,8,60,48,1,101,0,5,8,890
20:40:12.700142,49395,140,8,60,48,2,101,0,5,8,890
20:40:12.750054,61809,145,8,60,48,2,101,0,5,8,890
20:40:12.800307,49395,150,8,60,48,1,101,0,5,8,890
20:40:12.850381,61809,155,8,60,48,1,101,0,5,8,890
20:40:12.900473,49395,160,8,60,48,1,92,0,5,8,890
20:40:12.967662,61809,165,8,65,48,1,101,0,5,8,890
20:40:13.017725,49395,170,8,60,48,1,101,0,5,8,890
