time,rnti,frame,slot,snrx10,tpc,rssi
20:37:15.206216,61809,524,7,100,1,937
20:37:25.692983,61809,380,17,100,1,937
20:37:25.848739,61809,394,7,100,1,937
20:37:26.582136,49395,449,17,100,1,937
20:37:26.616364,49395,452,17,100,1,937
20:37:26.668299,49395,457,7,100,1,937
20:37:27.062763,61809,491,17,100,1,929
20:37:28.859260,61809,641,17,100,1,937
20:37:28.979100,61809,652,7,100,1,937
20:37:29.426925,49395,687,17,100,1,937
20:37:29.461568,49395,690,17,100,1,929
20:37:30.399114,61809,764,17,100,1,937
20:37:31.044564,49395,821,7,100,1,929
20:37:31.078538,49395,824,7,100,1,937
20:37:31.348117,49395,844,7,100,1,937
20:37:32.026179,49395,903,7,100,1,937
20:37:32.665818,49395,950,17,100,1,937
20:37:33.248886,61809,1001,7,100,1,929
20:37:33.286345,61809,1004,7,100,1,929
20:37:33.466147,61809,1019,17,100,1,937
20:37:33.620426,61809,0,17,100,1,937
20:37:33.817816,61809,17,7,100,1,937
20:37:34.566830,49395,76,17,100,1,937
20:37:34.985026,61809,108,7,100,1,937
20:37:35.002256,61809,109,17,100,1,937
20:37:35.048564,61809,113,17,100,1,937
20:37:35.115844,61809,119,7,100,1,937
20:37:35.815059,49395,179,7,100,1,937
20:37:35.984113,49395,192,7,100,1,937
20:37:36.638573,61809,249,17,100,1,929
20:37:37.231752,49395,299,7,100,1,929
20:37:37.610681,49395,332,7,100,1,937
20:37:38.080965,61809,370,17,100,1,937
20:37:38.290433,61809,388,17,100,1,937
20:37:38.476145,61809,404,17,100,1,937
20:37:39.033465,49395,449,17,100,1,929
20:37:39.188876,49395,463,7,100,1,937
20:37:39.234932,49395,467,7,100,1,937
20:37:47.746174,49395,154,7,100,1,937
20:37:48.873008,49395,253,7,100,1,937
