time,rnti,frame,slot,mcs,tbs
20:37:13.778070,61809,402,2,28,480
20:37:13.789620,61809,403,1,28,480
20:37:13.801003,61809,404,1,28,480
20:37:13.812781,61809,405,1,28,480
20:37:13.848341,49395,408,2,28,437
20:37:13.859632,49395,409,1,28,437
20:37:13.871370,49395,410,1,28,437
20:37:13.883185,49395,411,1,28,437
20:37:13.932051,61809,415,2,28,480
20:37:13.943259,61809,416,1,28,480
20:37:13.955072,61809,417,1,28,480
20:37:13.967217,61809,418,1,28,480
20:37:14.003004,49395,421,2,28,480
20:37:14.014145,49395,422,1,28,480
20:37:14.025928,49395,423,1,28,480
20:37:14.037637,49395,424,1,28,480
20:37:14.085359,61809,428,2,28,480
20:37:14.096472,61809,429,1,28,480
20:37:14.108268,61809,430,1,28,480
20:37:14.120625,61809,431,1,28,480
20:37:14.157136,49395,434,2,28,480
20:37:14.168519,49395,435,1,28,480
20:37:14.180294,49395,436,1,28,480
20:37:14.192288,49395,437,1,28,480
20:37:14.240799,61809,441,2,28,480
20:37:14.252170,61809,442,1,28,480
20:37:14.264250,61809,443,1,28,480
20:37:14.276261,61809,444,1,28,480
20:37:14.312538,49395,447,2,28,480
20:37:14.323782,49395,448,1,28,480
20:37:14.335625,49395,449,1,28,480
20:37:14.347099,49395,450,1,28,480
20:37:14.394267,61809,454,2,28,480
20:37:14.405528,61809,455,1,28,480
20:37:14.417603,61809,456,1,28,480
20:37:14.429792,61809,457,1,28,480
20:37:14.464660,49395,460,2,28,480
20:37:14.475528,49395,461,1,28,480
20:37:14.487118,49395,462,1,28,480
20:37:14.498481,49395,463,1,28,480
20:37:14.544436,61809,467,2,28,480
20:37:14.555414,61809,468,1,28,480
20:37:14.566767,61809,469,1,28,480
20:37:14.578048,61809,470,1,28,480
20:37:14.612633,49395,473,2,28,480
20:37:14.623425,49395,474,1,28,480
20:37:14.634749,49395,475,1,28,480
20:37:14.646118,49395,476,1,28,480
20:37:14.692958,61809,480,2,28,437
20:37:14.703908,61809,481,1,28,437
20:37:14.715216,61809,482,1,28,437
20:37:14.726606,61809,483,1,28,437
20:37:14.761881,49395,486,2,28,480
20:37:14.772852,49395,487,1,28,480
20:37:14.784328,49395,488,1,28,480
20:37:14.795911,49395,489,1,28,480
20:37:14.842304,61809,493,2,27,469
20:37:14.853248,61809,494,1,27,469
20:37:14.864788,61809,495,1,27,469
20:37:14.876303,61809,496,1,27,469
20:37:14.911563,49395,499,2,27,469
20:37:14.922705,49395,500,1,27,469
20:37:14.934171,49395,501,1,27,469
20:37:14.945787,49395,502,1,27,469
20:37:14.992645,61809,506,2,27,469
20:37:15.003510,61809,507,1,27,469
20:37:15.014957,61809,508,1,27,469
20:37:15.026605,61809,509,1,27,469
20:37:15.061785,49395,512,2,27,421
20:37:15.072717,49395,513,1,27,421
20:37:15.084406,49395,514,1,27,421
20:37:15.095908,49395,515,1,27,421
20:37:15.142301,61809,519,2,25,421
20:37:15.153227,61809,520,1,25,421
20:37:15.164689,61809,521,1,25,421
20:37:15.176185,61809,522,1,25,421
20:37:15.211306,49395,525,2,25,421
20:37:15.221918,49395,526,1,25,421
20:37:15.233355,49395,527,1,25,421
20:37:15.244643,49395,528,1,25,421
20:37:15.290648,61809,532,2,23,372
20:37:15.301563,61809,533,1,23,372
20:37:15.312945,61809,534,1,23,372
20:37:15.324495,61809,535,1,23,372
20:37:15.359043,49395,538,2,23,372
20:37:15.369763,49395,539,1,23,372
20:37:15.381132,49395,540,1,23,372
20:37:15.392854,49395,541,1,23,372
20:37:15.439024,61809,545,2,22,341
20:37:15.449925,61809,546,1,22,341
20:37:15.461564,61809,547,1,22,341
20:37:15.473026,61809,548,1,22,341
20:37:15.507907,49395,551,2,22,341
20:37:15.518853,49395,552,1,22,341
20:37:15.530452,49395,553,1,22,341
20:37:15.541865,49395,554,1,22,341
20:37:15.588025,61809,558,2,20,285
20:37:15.598838,61809,559,1,20,285
20:37:15.610094,61809,560,1,20,285
20:37:15.621714,61809,561,1,20,285
20:37:15.656811,49395,564,2,20,285
20:37:15.667807,49395,565,1,20,285
20:37:15.679265,49395,566,1,20,285
20:37:15.690786,49395,567,1,20,285
20:37:15.736733,61809,571,2,19,261
20:37:15.747415,61809,572,1,19,261
20:37:15.758870,61809,573,1,19,261
20:37:15.770328,61809,574,1,19,261
20:37:15.805095,49395,577,2,19,261
20:37:15.815841,49395,578,1,19,261
20:37:15.827256,49395,579,1,19,261
20:37:15.838727,49395,580,1,19,261
20:37:15.932595,61809,584,2,18,217
20:37:15.943628,61809,585,1,18,217
20:37:15.955367,61809,586,1,18,217
20:37:15.967226,61809,587,1,18,217
20:37:16.003351,49395,590,2,18,241
20:37:16.014802,49395,591,1,18,241
20:37:16.026134,49395,592,1,18,241
20:37:16.037821,49395,593,1,18,241
20:37:16.085410,61809,597,2,17,225
20:37:16.096188,61809,598,1,17,225
20:37:16.107532,61809,599,1,17,225
20:37:16.119127,61809,600,1,17,225
20:37:16.154744,49395,603,2,16,225
20:37:16.165845,49395,604,1,16,225
20:37:16.177649,49395,605,1,16,225
20:37:16.189350,49395,606,1,16,225
20:37:16.236577,61809,610,2,16,225
20:37:16.247502,61809,611,1,16,225
20:37:16.259334,61809,612,1,16,225
20:37:16.271189,61809,613,1,16,225
20:37:16.307690,49395,616,2,16,209
20:37:16.318891,49395,617,1,16,209
20:37:16.330526,49395,618,1,16,209
20:37:16.342533,49395,619,1,16,209
20:37:16.389248,61809,623,2,16,225
