time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
20:37:13.778069,61809,402,2,402,8,427,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:13.848341,49395,408,2,408,8,424,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
20:37:13.932050,61809,415,2,415,8,392,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.003004,49395,421,2,421,8,388,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.085358,61809,428,2,428,8,360,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.157135,49395,434,2,434,8,357,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.240798,61809,441,2,441,8,331,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.312537,49395,447,2,447,8,328,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.394266,61809,454,2,454,8,305,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.464659,49395,460,2,460,8,302,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.544435,61809,467,2,467,8,281,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.612633,49395,473,2,473,8,278,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.692957,61809,480,2,480,8,260,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,437,-1
20:37:14.761880,49395,486,2,486,8,257,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,480,-1
20:37:14.842303,61809,493,2,493,8,241,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
20:37:14.911562,49395,499,2,499,8,238,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
20:37:14.992645,61809,506,2,506,8,223,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,469,-1
20:37:15.061785,49395,512,2,512,8,221,0,27,27,27,27,27,0,0,0,5,5,5,48,20,5,421,-1
20:37:15.142301,61809,519,2,519,8,207,0,25,25,25,25,25,0,0,0,5,5,5,48,20,5,421,-1
20:37:15.211306,49395,525,2,525,8,205,0,25,25,25,25,25,0,0,0,5,5,5,48,20,5,421,-1
20:37:15.290647,61809,532,2,532,8,193,0,23,23,23,23,23,0,0,0,5,5,5,48,20,5,372,-1
20:37:15.359043,49395,538,2,538,8,191,0,23,23,23,23,23,0,0,0,5,5,5,48,20,5,372,-1
20:37:15.439024,61809,545,2,545,8,180,0,22,22,22,22,22,0,0,0,5,5,5,48,20,5,341,-1
20:37:15.507907,49395,551,2,551,8,178,0,22,22,22,22,22,0,0,0,5,5,5,48,20,5,341,-1
20:37:15.588024,61809,558,2,558,8,168,0,20,20,20,20,20,0,0,0,5,5,5,48,20,5,285,-1
20:37:15.656811,49395,564,2,564,8,167,0,20,20,20,20,20,0,0,0,5,5,5,48,20,5,285,-1
20:37:15.736732,61809,571,2,571,8,158,0,19,19,19,19,19,0,0,0,5,5,5,48,20,5,261,-1
20:37:15.805094,49395,577,2,577,8,157,0,19,19,19,19,19,0,0,0,5,5,5,48,20,5,261,-1
20:37:15.932595,61809,584,2,584,8,148,0,18,18,18,18,18,0,0,0,5,5,5,48,20,5,217,-1
20:37:16.003351,49395,590,2,590,8,147,0,18,18,18,18,18,0,0,0,5,5,5,48,20,5,241,-1
20:37:16.085409,61809,597,2,597,8,140,0,17,17,17,17,17,0,0,0,5,5,5,48,20,5,225,-1
20:37:16.154743,49395,603,2,603,8,139,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
20:37:16.236576,61809,610,2,610,8,132,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
20:37:16.307690,49395,616,2,616,8,131,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,209,-1
20:37:16.389248,61809,623,2,623,8,125,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
20:37:16.459526,49395,629,2,629,8,124,0,16,16,16,16,16,0,0,0,5,5,5,48,20,5,225,-1
20:37:16.540109,61809,636,2,636,8,119,0,15,15,15,15,15,0,0,0,5,5,5,48,20,5,209,-1
20:37:16.609850,49395,642,2,642,8,118,0,15,15,15,15,15,0,0,0,5,5,5,48,20,5,209,-1
20:37:16.691183,61809,649,2,649,8,113,0,14,14,14,14,14,0,0,0,5,5,5,55,20,5,193,-1
20:37:16.761317,49395,655,2,655,8,112,0,14,14,14,14,14,0,0,0,5,5,5,55,20,5,193,-1
20:37:16.831944,61809,661,2,661,8,109,0,13,13,13,13,13,0,0,0,5,5,5,55,20,5,165,-1
20:37:16.902092,49395,667,2,667,8,108,0,13,13,13,13,13,0,0,0,5,5,5,55,20,5,165,-1
