recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
889971454498412,1786675335007950891,127.0.0.1,1,736870912,0,7,60000,60028,0
889971454586692,1786675335008004211,127.0.0.1,1,736870912,1,7,60000,60028,0
889971454620371,1786675335008036277,127.0.0.1,1,736870912,2,7,60000,60028,0
889971454647330,1786675335008062775,127.0.0.1,1,736870912,3,7,60000,60028,0
889971454674870,1786675335008090238,127.0.0.1,1,736870912,4,7,60000,60028,0
889971454702126,1786675335008117662,127.0.0.1,1,736870912,5,7,60000,60028,0
889971454730849,1786675335008146236,127.0.0.1,1,736870912,6,7,49656,49684,0
889971704096148,1786675335257527289,127.0.0.1,0,368435456,0,7,60000,60028,0
889971704155464,1786675335257578638,127.0.0.1,0,368435456,1,7,60000,60028,0
889971704273738,1786675335257692374,127.0.0.1,0,368435456,2,7,60000,60028,0
889971704297904,1786675335257715901,127.0.0.1,0,368435456,3,7,60000,60028,0
889971704324134,1786675335257741963,127.0.0.1,0,368435456,4,7,60000,60028,0
889971704350524,1786675335257768543,127.0.0.1,0,368435456,5,7,60000,60028,0
889971704372906,1786675335257790759,127.0.0.1,0,368435456,6,7,49656,49684,0
889971954317440,1786675335507755329,127.0.0.1,1,736870913,0,7,60000,60028,0
889971954365778,1786675335507790733,127.0.0.1,1,736870913,1,7,60000,60028,0
889971954381994,1786675335507802969,127.0.0.1,1,736870913,2,7,60000,60028,0
889971954391960,1786675335507812525,127.0.0.1,1,736870913,3,7,60000,60028,0
889971954436133,1786675335507856756,127.0.0.1,1,736870913,4,7,60000,60028,0
889971954442197,1786675335507862853,127.0.0.1,1,736870913,5,7,60000,60028,0
889971954467036,1786675335507889839,127.0.0.1,1,736870913,6,7,49656,49684,0
889972154248288,1786675335707693304,127.0.0.1,0,368435457,0,7,60000,60028,0
889972154305932,1786675335707732386,127.0.0.1,0,368435457,1,7,60000,60028,0
889972154320239,1786675335707743161,127.0.0.1,0,368435457,2,7,60000,60028,0
889972154329451,1786675335707752166,127.0.0.1,0,368435457,3,7,60000,60028,0
889972154356935,1786675335707779661,127.0.0.1,0,368435457,4,7,60000,60028,0
889972154363345,1786675335707785877,127.0.0.1,0,368435457,5,7,60000,60028,0
889972154371456,1786675335707795512,127.0.0.1,0,368435457,6,7,49656,49684,0
889972404319333,1786675335957766770,127.0.0.1,1,736870914,0,7,60000,60028,0
889972404392952,1786675335957821640,127.0.0.1,1,736870914,1,7,60000,60028,0
889972404406994,1786675335957832380,127.0.0.1,1,736870914,2,7,60000,60028,0
889972404415506,1786675335957840581,127.0.0.1,1,736870914,3,7,60000,60028,0
889972404423627,1786675335957848584,127.0.0.1,1,736870914,4,7,60000,60028,0
889972404443165,1786675335957868382,127.0.0.1,1,736870914,5,7,60000,60028,0
889972404449618,1786675335957874456,127.0.0.1,1,736870914,6,7,49656,49684,0
889972654358387,1786675336207808194,127.0.0.1,0,368435458,0,7,60000,60028,0
889972654428534,1786675336207860945,127.0.0.1,0,368435458,1,7,60000,60028,0
889972654444983,1786675336207873084,127.0.0.1,0,368435458,2,7,60000,60028,0
889972654454863,1786675336207882606,127.0.0.1,0,368435458,3,7,60000,60028,0
889972654471872,1786675336207899473,127.0.0.1,0,368435458,4,7,60000,60028,0
889972654478859,1786675336207906664,127.0.0.1,0,368435458,5,7,60000,60028,0
889972654488602,1786675336207918281,127.0.0.1,0,368435458,6,7,49656,49684,0
889972904246449,1786675336457696942,127.0.0.1,1,736870915,0,7,60000,60028,0
