recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
892103415994585,1786677466990877871,127.0.0.1,1,736870912,0,7,60000,60028,0
892103416089382,1786677466990936936,127.0.0.1,1,736870912,1,7,60000,60028,0
892103416124156,1786677466990969832,127.0.0.1,1,736870912,2,7,60000,60028,0
892103416153632,1786677466990999079,127.0.0.1,1,736870912,3,7,60000,60028,0
892103416182436,1786677466991027804,127.0.0.1,1,736870912,4,7,60000,60028,0
892103416209383,1786677466991054910,127.0.0.1,1,736870912,5,7,60000,60028,0
892103416234617,1786677466991079940,127.0.0.1,1,736870912,6,7,49656,49684,0
892103665670100,1786677467240534516,127.0.0.1,0,368435456,0,7,60000,60028,0
892103665760594,1786677467240614139,127.0.0.1,0,368435456,1,7,60000,60028,0
892103666006474,1786677467240855447,127.0.0.1,0,368435456,2,7,60000,60028,0
892103666037719,1786677467240886067,127.0.0.1,0,368435456,3,7,60000,60028,0
892103666067430,1786677467240915516,127.0.0.1,0,368435456,4,7,60000,60028,0
892103666098741,1786677467240946897,127.0.0.1,0,368435456,5,7,60000,60028,0
892103666122796,1786677467240970726,127.0.0.1,0,368435456,6,7,49656,49684,0
892103915689892,1786677467490556069,127.0.0.1,1,736870913,0,7,60000,60028,0
892103915755360,1786677467490610371,127.0.0.1,1,736870913,1,7,60000,60028,0
892103915774132,1786677467490625229,127.0.0.1,1,736870913,2,7,60000,60028,0
892103915786095,1786677467490636619,127.0.0.1,1,736870913,3,7,60000,60028,0
892103915924278,1786677467490774886,127.0.0.1,1,736870913,4,7,60000,60028,0
892103915932388,1786677467490782965,127.0.0.1,1,736870913,5,7,60000,60028,0
892103915959617,1786677467490812449,127.0.0.1,1,736870913,6,7,49656,49684,0
892104115766767,1786677467690638250,127.0.0.1,0,368435457,0,7,60000,60028,0
892104115845917,1786677467690702683,127.0.0.1,0,368435457,1,7,60000,60028,0
892104115872870,1786677467690725993,127.0.0.1,0,368435457,2,7,60000,60028,0
892104115894806,1786677467690747499,127.0.0.1,0,368435457,3,7,60000,60028,0
892104115918210,1786677467690770802,127.0.0.1,0,368435457,4,7,60000,60028,0
892104115936810,1786677467690789464,127.0.0.1,0,368435457,5,7,60000,60028,0
892104115969002,1786677467690823032,127.0.0.1,0,368435457,6,7,49656,49684,0
892104365732629,1786677467940607404,127.0.0.1,1,736870914,0,7,60000,60028,0
892104365824230,1786677467940683739,127.0.0.1,1,736870914,1,7,60000,60028,0
892104365860055,1786677467940715859,127.0.0.1,1,736870914,2,7,60000,60028,0
892104365881499,1786677467940736690,127.0.0.1,1,736870914,3,7,60000,60028,0
892104365902237,1786677467940757378,127.0.0.1,1,736870914,4,7,60000,60028,0
892104365922515,1786677467940777815,127.0.0.1,1,736870914,5,7,60000,60028,0
892104365964210,1786677467940819221,127.0.0.1,1,736870914,6,7,49656,49684,0
892104615765251,1786677468190645969,127.0.0.1,0,368435458,0,7,60000,60028,0
892104615856603,1786677468190718508,127.0.0.1,0,368435458,1,7,60000,60028,0
892104615876429,1786677468190734623,127.0.0.1,0,368435458,2,7,60000,60028,0
892104615887929,1786677468190745637,127.0.0.1,0,368435458,3,7,60000,60028,0
892104615906394,1786677468190764051,127.0.0.1,0,368435458,4,7,60000,60028,0
892104615921527,1786677468190779316,127.0.0.1,0,368435458,5,7,60000,60028,0
892104615931844,1786677468190791038,127.0.0.1,0,368435458,6,7,49656,49684,0
892104865941050,1786677468440824366,127.0.0.1,1,736870915,0,7,60000,60028,0
892104866021877,1786677468440884700,127.0.0.1,1,736870915,1,7,60000,60028,0
892104866040877,1786677468440901770,127.0.0.1,1,736870915,2,7,60000,60028,0
892104866054893,1786677468440915148,127.0.0.1,1,736870915,3,7,60000,60028,0
892104866086102,1786677468440946272,127.0.0.1,1,736870915,4,7,60000,60028,0
892104866097300,1786677468440957618,127.0.0.1,1,736870915,5,7,60000,60028,0
892104866108324,1786677468440971094,127.0.0.1,1,736870915,6,7,49656,49684,0
892105115897558,1786677468690787582,127.0.0.1,0,368435459,0,7,60000,60028,0
892105115985544,1786677468690852693,127.0.0.1,0,368435459,1,7,60000,60028,0
892105116005501,1786677468690868839,127.0.0.1,0,368435459,2,7,60000,60028,0
892105116018870,1786677468690881648,127.0.0.1,0,368435459,3,7,60000,60028,0
892105116246882,1786677468691109668,127.0.0.1,0,368435459,4,7,60000,60028,0
892105116494471,1786677468691357295,127.0.0.1,0,368435459,5,7,60000,60028,0
892105116984262,1786677468691849164,127.0.0.1,0,368435459,6,7,49656,49684,0
892105365851873,1786677468940739592,127.0.0.1,1,736870916,0,7,60000,60028,0
892105365929897,1786677468940800174,127.0.0.1,1,736870916,1,7,60000,60028,0
892105365950259,1786677468940816045,127.0.0.1,1,736870916,2,7,60000,60028,0
892105365963022,1786677468940828252,127.0.0.1,1,736870916,3,7,60000,60028,0
892105366092269,1786677468940957552,127.0.0.1,1,736870916,4,7,60000,60028,0
892105366102782,1786677468940967992,127.0.0.1,1,736870916,5,7,60000,60028,0
892105366111337,1786677468940979074,127.0.0.1,1,736870916,6,7,49656,49684,0
892105565717647,1786677469140608624,127.0.0.1,0,368435460,0,7,60000,60028,0
892105565818230,1786677469140689388,127.0.0.1,0,368435460,1,7,60000,60028,0
892105565837354,1786677469140705062,127.0.0.1,0,368435460,2,7,60000,60028,0
892105565893950,1786677469140761377,127.0.0.1,0,368435460,3,7,60000,60028,0
892105565902676,1786677469140769703,127.0.0.1,0,368435460,4,7,60000,60028,0
892105565911891,1786677469140779063,127.0.0.1,0,368435460,5,7,60000,60028,0
892105565921709,1786677469140790491,127.0.0.1,0,368435460,6,7,49656,49684,0
