recv_raw_ns,recv_wall_ns,source_ip,ue_id,message_id,chunk_index,total_chunks,udp_payload_bytes,onwire_bytes,duplicate
892678142622882,1786678041723363362,192.168.70.134,1,736870912,0,7,60000,60028,0
892678212525065,1786678041793192787,192.168.70.134,1,736870912,1,7,60000,60028,0
892678280690303,1786678041861358707,192.168.70.134,1,736870912,2,7,60000,60028,0
892678349439958,1786678041930121216,192.168.70.134,1,736870912,3,7,60000,60028,0
892678437847635,1786678042018520080,192.168.70.134,1,736870912,4,7,60000,60028,0
892678505602680,1786678042086274494,192.168.70.134,1,736870912,5,7,60000,60028,0
892678597426676,1786678042178097679,192.168.70.134,1,736870912,6,7,49656,49684,0
892678821427614,1786678042402102303,192.168.70.134,0,368435456,0,7,60000,60028,0
892678895474587,1786678042476152124,192.168.70.134,0,368435456,1,7,60000,60028,0
892678963574376,1786678042544249306,192.168.70.134,0,368435456,2,7,60000,60028,0
892679031309511,1786678042612000196,192.168.70.134,0,368435456,3,7,60000,60028,0
892679099234034,1786678042679930035,192.168.70.134,0,368435456,4,7,60000,60028,0
892679167120284,1786678042747797412,192.168.70.134,0,368435456,5,7,60000,60028,0
892679225411601,1786678042806092957,192.168.70.134,0,368435456,6,7,49656,49684,0
892679550176981,1786678043130866217,192.168.70.134,1,736870913,0,7,60000,60028,0
892679618825792,1786678043199508509,192.168.70.134,1,736870913,1,7,60000,60028,0
892679686785592,1786678043267471739,192.168.70.134,1,736870913,2,7,60000,60028,0
892679755699558,1786678043336395640,192.168.70.134,1,736870913,3,7,60000,60028,0
892679822950188,1786678043403635020,192.168.70.134,1,736870913,4,7,60000,60028,0
892679890400964,1786678043471086939,192.168.70.134,1,736870913,5,7,60000,60028,0
892679948186317,1786678043528881142,192.168.70.134,1,736870913,6,7,49656,49684,0
892680247236021,1786678043827935649,192.168.70.134,0,368435457,0,7,60000,60028,0
892680316439389,1786678043897128679,192.168.70.134,0,368435457,1,7,60000,60028,0
892680406521933,1786678043987218230,192.168.70.134,0,368435457,2,7,60000,60028,0
892680474985847,1786678044055682685,192.168.70.134,0,368435457,3,7,60000,60028,0
892680543656241,1786678044124356202,192.168.70.134,0,368435457,4,7,60000,60028,0
892680685001001,1786678044265695823,192.168.70.134,0,368435457,5,7,60000,60028,0
892680754247798,1786678044334942977,192.168.70.134,0,368435457,6,7,49656,49684,0
892680997347831,1786678044578045582,192.168.70.134,1,736870914,0,7,60000,60028,0
892681072504137,1786678044653199820,192.168.70.134,1,736870914,1,7,60000,60028,0
