ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,identity_ok,source_ip
1,200000000,736870912,892677962639250,892678142622882,892678597426676,634.787426,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000000,368435456,892678712639250,892678821427614,892679225411601,512.772351,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000001,736870913,892679412639250,892679550176981,892679948186317,535.547067,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000001,368435457,892680162639250,892680247236021,892680754247798,591.608548,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000002,736870914,892680862639250,892680997347831,892681431772882,569.133632,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000002,368435458,892681562639250,892681711647908,892682186880224,624.240974,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000003,736870915,892682312639250,892682430478390,892682904076070,591.43682,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000003,368435459,892683012639250,892683115107429,892683552019108,539.379858,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000004,736870916,892683762639250,892683885636241,892684325188801,562.549551,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000004,368435460,892684462639250,892684665152921,892685172311829,709.672579,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000005,736870917,892685162639250,892685287094799,892685677601742,514.962492,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000005,368435461,892685912639250,892686025738935,892686438591532,525.952282,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000006,736870918,892686612639250,892686709382399,892687229864418,617.225168,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000006,368435462,892687312639250,892687485707763,892687923956586,611.317336,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000007,736870919,892688062639250,892688234796649,892688701901260,639.26201,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000007,368435463,892688762639250,892689050170754,892689488767428,726.128178,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000008,736870920,892689512639250,892689680697901,892690113724768,601.085518,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000008,368435464,892690212639250,892690402715465,892690835431405,622.792155,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000009,736870921,892690912639250,892691028743787,892691519102567,606.463317,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000009,368435465,892691662639250,892691787403703,892692319510913,656.871663,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000010,736870922,892692362639250,892692516069910,892692956381365,593.742115,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000010,368435466,892693112639250,892693295067639,892693747516026,634.876776,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000011,736870923,892693812639250,892693946988630,892694417100357,604.461107,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000011,368435467,892694512639250,892694650393676,892695089052098,576.412848,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000012,736870924,892695262639250,892695449417330,892695887920171,625.280921,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000012,368435468,892695962639250,892696113847570,892696601870904,639.231654,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
1,200000013,736870925,892696712639250,892696828706391,892697262254531,549.615281,409600,7,409852,3346413535,3346413535,1,1,192.168.70.134
0,100000013,368435469,892697412639250,892697593687407,892698042473510,629.83426,409600,7,409852,3512885954,3512885954,1,1,192.168.70.134
