tick,tick_raw_ns,observation_available_raw_ns,ue0_c_hat_mbps,ue1_c_hat_mbps,ue0_source_event_raw_ns,ue1_source_event_raw_ns
0,892220235239677,892220235316309,5.2,5.2,0,0
1,892220285239677,892220285301341,5.2,5.2,892220186694331,892220204873395
2,892220335239677,892220335301653,5.2,5.2,892220283108091,892220204873395
3,892220385239677,892220385301631,5.2,5.2,892220283108091,892220302831898
4,892220435239677,892220435305892,5.2,5.2,892220283108091,892220302831898
5,892220485239677,892220485304595,4.1983424000000005,5.2,892220433457345,892220423988666
6,892220535239677,892220535304660,3.4732915200000005,5.2,892220483867011,892220423988666
7,892220585239677,892220585305824,2.9681372160000006,5.2,892220532517612,892220521654031
8,892220635239677,892220635305731,2.6395689728000007,5.2,892220582716336,892220521654031
9,892220685239677,892220685307821,2.4523207782400007,5.2,892220632956194,892220621054956
10,892220735239677,892220735304438,2.3780774225920007,5.2,892220683130703,892220621054956
11,892220785239677,892220785300630,2.393569138073601,5.2,892220733337856,892220722354817
12,892220835239677,892220835304453,2.4822377104588806,5.2,892220782721356,892220722354817
13,892220885239677,892220885299746,2.6278973683671047,5.2,892220833140054,892220821949094
14,892220935239677,892220935308061,2.6278973683671047,5.2,892220862200845,892220821949094
15,892220985239677,892220985300499,2.6278973683671047,5.2,892220862200845,892220921285312
16,892221035239677,892221035301795,2.6278973683671047,5.2,892220961789842,892220921285312
17,892221085239677,892221085299670,2.6278973683671047,5.2,892220961789842,892221021720216
18,892221135239677,892221135301776,2.6278973683671047,5.2,892221061588573,892221021720216
19,892221185239677,892221185299558,2.6278973683671047,5.2,892221061588573,892221120173954
20,892221235239677,892221235338583,2.6278973683671047,5.2,892221159419672,892221120173954
21,892221285239677,892221285334868,2.6278973683671047,4.177056,892221159419672,892221233589671
22,892221335239677,892221335405628,2.6278973683671047,3.4312848000000007,892221259677490,892221284630965
23,892221385239677,892221385312506,2.6278973683671047,2.8599686400000004,892221259677490,892221299891210
24,892221435239677,892221435304797,2.6278973683671047,2.4710085120000005,892221259677490,892221382114089
25,892221485239677,892221485306354,2.6278973683671047,2.2392628096000005,892221395866243,892221434289633
26,892221535239677,892221535303615,2.6278973683671047,2.1324438476800003,892221395866243,892221484361063
27,892221585239677,892221585618334,2.6278973683671047,2.1228958781440004,892221494905553,892221534988753
28,892221635239677,892221635309478,2.6278973683671047,2.1903503025152005,892221494905553,892221583772461
29,892221685239677,892221685305407,2.6278973683671047,2.3202210420121605,892221594339582,892221634431305
30,892221735239677,892221735308050,2.6278973683671047,2.4992104336097283,892221594339582,892221684014691
31,892221785239677,892221785309183,2.6278973683671047,2.4992104336097283,892221693710787,892221714814659
32,892221835239677,892221835307211,2.6278973683671047,2.4992104336097283,892221693710787,892221714814659
33,892221885239677,892221885535783,2.6278973683671047,2.4992104336097283,892221795217309,892221815628454
34,892221935239677,892221935488695,2.6278973683671047,2.4992104336097283,892221795217309,892221815628454
35,892221985239677,892221985312228,2.6278973683671047,2.4992104336097283,892221897746837,892221917666251
36,892222035239677,892222035405158,2.6278973683671047,2.4992104336097283,892221897746837,892221917666251
37,892222085239677,892222085402930,2.6278973683671047,2.4992104336097283,892221997423666,892222017568544
38,892222135239677,892222135568087,2.6278973683671047,2.4992104336097283,892221997423666,892222017568544
39,892222185239677,892222185302237,2.148865094693684,2.4992104336097283,892222133811092,892222118973642
40,892222235239677,892222235303563,1.841290475754947,2.4992104336097283,892222184861588,892222118973642
41,892222285239677,892222285364969,1.6705795806039578,2.4992104336097283,892222235092850,892222219220891
42,892222335239677,892222335430363,1.5946844644831666,2.4992104336097283,892222280889814,892222219220891
43,892222385239677,892222385318617,1.5559459715865334,2.4992104336097283,892222298955694,892222219220891
44,892222435239677,892222435310514,1.5403951772692268,2.4992104336097283,892222357618858,892222219220891
45,892222485239677,892222485303172,1.5652617418153816,2.4992104336097283,892222431336223,892222425044233
46,892222535239677,892222535301532,1.6529901934523052,2.4992104336097283,892222482687601,892222425044233
47,892222585239677,892222585307955,1.7880817547618442,2.4992104336097283,892222534704161,892222425044233
48,892222635239677,892222635326569,1.9595486038094756,2.4992104336097283,892222580847812,892222540077140
49,892222685239677,892222685309278,2.1651156830475804,2.4992104336097283,892222633135011,892222540077140
50,892222735239677,892222735314755,2.1651156830475804,2.4992104336097283,892222684275227,892222654590414
51,892222785239677,892222785317105,2.1651156830475804,2.4992104336097283,892222700088534,892222654590414
52,892222835239677,892222835303741,2.1651156830475804,2.4992104336097283,892222700088534,892222767952447
53,892222885239677,892222885422648,2.1651156830475804,2.4992104336097283,892222813827850,892222767952447
54,892222935239677,892222937697112,2.1651156830475804,2.4992104336097283,892222813827850,892222882468806
55,892222985239677,892222985315418,2.1651156830475804,2.4992104336097283,892222928936488,892222882468806
56,892223035239677,892223035315703,2.1651156830475804,2.4992104336097283,892222928936488,892222882468806
57,892223085239677,892223085315284,2.1651156830475804,2.038078746887783,892222928936488,892223032161350
58,892223135239677,892223135313380,2.1651156830475804,1.7375221975102262,892223042846709,892223085199941
59,892223185239677,892223185438732,2.1651156830475804,1.557030558008181,892223042846709,892223130796747
60,892223235239677,892223235630665,2.1651156830475804,1.480986046406545,892223160373096,892223183882600
61,892223285239677,892223285436569,2.1651156830475804,1.487361637125236,892223160373096,892223234529258
62,892223335239677,892223335370943,2.1651156830475804,1.5530909097001888,892223274853160,892223281310076
63,892223385239677,892223385309839,2.1651156830475804,1.6592823277601512,892223274853160,892223327502752
64,892223435239677,892223435310478,2.1651156830475804,1.778137862208121,892223274853160,892223384501884
65,892223485239677,892223485304000,2.1651156830475804,1.936711889766497,892223426100495,892223431726351
66,892223535239677,892223535304578,2.1651156830475804,2.1314063118131976,892223426100495,892223483008435
67,892223585239677,892223585312009,2.1651156830475804,2.351512249450558,892223426100495,892223534725261
68,892223635239677,892223635316620,2.1651156830475804,2.351512249450558,892223541112844,892223564236691
69,892223685239677,892223685314419,2.1651156830475804,2.351512249450558,892223541112844,892223564236691
70,892223735239677,892223735326072,2.1651156830475804,2.351512249450558,892223657424023,892223679858567
71,892223785239677,892223785316592,2.1651156830475804,2.351512249450558,892223657424023,892223679858567
72,892223835239677,892223835316832,2.1651156830475804,2.351512249450558,892223773031669,892223679858567
73,892223885239677,892223885473203,2.1651156830475804,2.351512249450558,892223773031669,892223795466631
74,892223935239677,892223935316476,2.1651156830475804,2.351512249450558,892223773031669,892223795466631
75,892223985239677,892223985305413,2.1651156830475804,2.351512249450558,892223886839154,892223910068546
76,892224035239677,892224035315243,2.1651156830475804,2.351512249450558,892223886839154,892223910068546
77,892224085239677,892224085436638,2.1651156830475804,2.351512249450558,892224002104373,892224024364875
78,892224135239677,892224135318652,2.1651156830475804,2.351512249450558,892224002104373,892224024364875
79,892224185239677,892224185463063,2.1651156830475804,2.351512249450558,892224117339909,892224024364875
80,892224235239677,892224235422602,2.1651156830475804,2.351512249450558,892224117339909,892224139442328
81,892224285239677,892224285404906,2.1651156830475804,2.351512249450558,892224230879163,892224139442328
82,892224335239677,892224335403809,2.1651156830475804,2.351512249450558,892224230879163,892224252945267
83,892224385239677,892224385396334,2.1651156830475804,2.351512249450558,892224230879163,892224252945267
84,892224435239677,892224435316696,2.1651156830475804,2.351512249450558,892224344664145,892224366558996
85,892224485239677,892224485314163,1.7333853464380644,2.351512249450558,892224344664145,892224366558996
86,892224535239677,892224535319526,1.4076314771504514,2.351512249450558,892224484822192,892224484814652
87,892224585239677,892224585403038,1.2113483817203612,2.351512249450558,892224530124876,892224484814652
88,892224635239677,892224635310962,1.121533105376289,2.351512249450558,892224581128601,892224484814652
89,892224685239677,892224685408737,1.117309684301031,2.351512249450558,892224633028572,892224597977731
90,892224735239677,892224735310711,1.1823245474408248,2.351512249450558,892224683950240,892224597977731
91,892224785239677,892224785311510,1.3019652379526598,2.351512249450558,892224735037618,892224710620659
92,892224835239677,892224835312290,1.462586590362128,2.351512249450558,892224784769535,892224710620659
93,892224885239677,892224885316724,1.6582500722897024,2.351512249450558,892224835069517,892224824163880
94,892224935239677,892224935326582,1.879100857831762,2.351512249450558,892224881875833,892224824163880
95,892224985239677,892224985313046,2.12345508626541,2.351512249450558,892224932406159,892224824163880
96,892225035239677,892225035312054,2.12345508626541,2.351512249450558,892224982479303,892224936617860
97,892225085239677,892225085313953,2.12345508626541,2.351512249450558,892224982479303,892224936617860
98,892225135239677,892225135304443,2.12345508626541,2.351512249450558,892224982479303,892225050640843
99,892225185239677,892225185299425,2.12345508626541,2.351512249450558,892225096781012,892225050640843
100,892225235239677,892225235298665,2.12345508626541,1.8973841995604463,892225096781012,892225183277601
101,892225285239677,892225285302305,2.12345508626541,1.6024305596483572,892225211303209,892225234508791
102,892225335239677,892225335418121,2.12345508626541,1.4271716477186858,892225211303209,892225284245302
103,892225385239677,892225385644140,2.12345508626541,1.3541005181749486,892225324675267,892225330977326
104,892225435239677,892225435535432,2.12345508626541,1.340619614539959,892225324675267,892225385093984
105,892225485239677,892225485302185,2.12345508626541,1.3906700916319672,892225324675267,892225431681884
106,892225535239677,892225535304440,2.12345508626541,1.4981776733055738,892225459367490,892225482654196
107,892225585239677,892225585304490,2.12345508626541,1.6522765386444591,892225459367490,892225534340653
108,892225635239677,892225635359164,2.12345508626541,1.8362148309155675,892225574058584,892225584615801
109,892225685239677,892225685478017,2.12345508626541,2.0510086647324544,892225574058584,892225632127292
110,892225735239677,892225735304307,2.12345508626541,2.2871941317859634,892225574058584,892225685166896
111,892225785239677,892225785306436,2.12345508626541,2.2871941317859634,892225691514015,892225714955590
112,892225835239677,892225835464166,2.12345508626541,2.2871941317859634,892225691514015,892225714955590
113,892225885239677,892225885301810,2.12345508626541,2.2871941317859634,892225806959164,892225830810196
114,892225935239677,892225935304270,2.12345508626541,2.2871941317859634,892225806959164,892225830810196
115,892225985239677,892225985372302,2.12345508626541,2.2871941317859634,892225921653345,892225830810196
116,892226035239677,892226035576556,2.12345508626541,2.2871941317859634,892225921653345,892225943812385
117,892226085239677,892226085406143,2.12345508626541,2.2871941317859634,892225921653345,892225943812385
118,892226135239677,892226135337711,2.12345508626541,2.2871941317859634,892226035674970,892226057831086
119,892226185239677,892226185306175,2.12345508626541,2.2871941317859634,892226035674970,892226057831086
120,892226235239677,892226235403923,2.12345508626541,2.2871941317859634,892226150567383,892226173377243
121,892226285239677,892226285311091,2.12345508626541,2.2871941317859634,892226150567383,892226173377243
122,892226335239677,892226335314786,2.12345508626541,2.2871941317859634,892226265084685,892226173377243
123,892226385239677,892226385311863,2.12345508626541,2.2871941317859634,892226265084685,892226287262462
124,892226435239677,892226435299707,2.12345508626541,2.2871941317859634,892226265084685,892226287262462
125,892226485239677,892226485307213,2.12345508626541,2.2871941317859634,892226432498006,892226287262462
126,892226535239677,892226535458573,2.12345508626541,2.2871941317859634,892226432498006,892226454453816
127,892226585239677,892226585411982,2.12345508626541,2.2871941317859634,892226432498006,892226454453816
128,892226635239677,892226635408250,2.12345508626541,2.2871941317859634,892226547094378,892226570436584
129,892226685239677,892226685451890,2.12345508626541,2.2871941317859634,892226547094378,892226570436584
130,892226735239677,892226735326930,2.12345508626541,2.2871941317859634,892226661926058,892226684019963
131,892226785239677,892226785383005,2.12345508626541,2.2871941317859634,892226661926058,892226684019963
132,892226835239677,892226835457646,2.12345508626541,2.2871941317859634,892226776658436,892226684019963
133,892226885239677,892226885470960,1.700056869012328,2.2871941317859634,892226776658436,892226798902951
134,892226935239677,892226935427466,1.3613382952098627,2.2871941317859634,892226776658436,892226798902951
135,892226985239677,892226985315789,1.1352946361678902,2.2871941317859634,892226932330258,892226913726362
136,892227035239677,892227035318334,1.0230149089343121,2.2871941317859634,892226982477066,892226913726362
137,892227085239677,892227085305863,1.0003575271474496,2.2871941317859634,892227033749162,892227027425398
138,892227135239677,892227135309675,1.0436556217179598,2.2871941317859634,892227084438982,892227027425398
139,892227185239677,892227185301040,1.145378897374368,2.2871941317859634,892227131971842,892227027425398
140,892227235239677,892227235301389,1.2942247178994943,2.2871941317859634,892227183855408,892227142510043
141,892227285239677,892227285311019,1.4818565743195957,2.2871941317859634,892227234581545,892227142510043
142,892227335239677,892227335314976,1.6924596594556767,2.2871941317859634,892227284541383,892227257094451
143,892227385239677,892227385460553,1.9282845275645415,2.2871941317859634,892227332019984,892227257094451
144,892227435239677,892227435319686,2.1288996220516334,1.8310481054287708,892227385135870,892227257094451
145,892227485239677,892227485305509,2.322386897641307,1.4965840843430167,892227408752555,892227433021039
146,892227535239677,892227535303414,2.4771767181130455,1.2974064674744135,892227408752555,892227483735462
