ue_id,frame_id,scheduled_raw_ns,scheduled_elapsed_s,demand_rate_mbps,controller,status,decision_raw_ns,send_start_raw_ns,send_end_raw_ns,send_lag_ms,payload_bytes,chunks,onwire_bytes,c_hat_mbps,c1_budget_mbps,admit_reason,local_error
1,200000000,892283288626119,0.05,1.04,open_loop,sent,892283288755900,892283288756753,892283289028910,0.130634,92160,2,92232,nan,nan,open_loop,
0,100000000,892283688626119,0.45,1.04,open_loop,sent,892283688711588,892283688712518,892283688949626,0.086399,92160,2,92232,nan,nan,open_loop,
1,200000001,892284038626119,0.8,1.04,open_loop,sent,892284038732534,892284038734623,892284038962184,0.108504,92160,2,92232,nan,nan,open_loop,
0,100000001,892284388626119,1.15,1.04,open_loop,sent,892284388704940,892284388705580,892284388919070,0.079461,92160,2,92232,nan,nan,open_loop,
1,200000002,892284738626119,1.5,1.04,open_loop,sent,892284742947305,892284742948273,892284753374221,4.322154,92160,2,92232,nan,nan,open_loop,
0,100000002,892285088626119,1.85,1.04,open_loop,sent,892285092845326,892285092845931,892285098549983,4.219812,92160,2,92232,nan,nan,open_loop,
1,200000003,892285438626119,2.2,1.04,open_loop,sent,892285438707241,892285438707571,892285438927028,0.081452,92160,2,92232,nan,nan,open_loop,
0,100000003,892285788626119,2.55,1.04,open_loop,sent,892285788790671,892285788791385,892285789003009,0.165266,92160,2,92232,nan,nan,open_loop,
1,200000004,892286138626119,2.9,1.04,open_loop,sent,892286138762422,892286138763284,892286138977138,0.137165,92160,2,92232,nan,nan,open_loop,
0,100000004,892286488626119,3.25,1.04,open_loop,sent,892286488704713,892286488705264,892286490316700,0.079145,92160,2,92232,nan,nan,open_loop,
1,200000005,892286838626119,3.6,1.04,open_loop,sent,892286838738261,892286838740262,892286839049232,0.114143,92160,2,92232,nan,nan,open_loop,
0,100000005,892287188626119,3.95,1.04,open_loop,sent,892287188728791,892287188730360,892287188973660,0.104241,92160,2,92232,nan,nan,open_loop,
1,200000006,892287588626119,4.35,1.04,open_loop,sent,892287588777862,892287588778232,892287589044511,0.152113,92160,2,92232,nan,nan,open_loop,
0,100000006,892287938626119,4.7,1.04,open_loop,sent,892287938697687,892287938698194,892287938908181,0.072075,92160,2,92232,nan,nan,open_loop,
1,200000007,892288288626119,5.05,1.04,open_loop,sent,892288288711592,892288288712049,892288289102661,0.08593,92160,2,92232,nan,nan,open_loop,
0,100000007,892288638626119,5.4,1.04,open_loop,sent,892288638729301,892288638729962,892288639040255,0.103843,92160,2,92232,nan,nan,open_loop,
1,200000008,892288988626119,5.75,1.04,open_loop,sent,892288988723950,892288988724870,892288988965732,0.098751,92160,2,92232,nan,nan,open_loop,
0,100000008,892289338626119,6.1,1.04,open_loop,sent,892289338722643,892289338723622,892289338953135,0.097503,92160,2,92232,nan,nan,open_loop,
1,200000009,892289688626119,6.45,1.04,open_loop,sent,892289688726447,892289688727353,892289688948761,0.101234,92160,2,92232,nan,nan,open_loop,
0,100000009,892290038626119,6.8,1.04,open_loop,sent,892290038714952,892290038715784,892290038934045,0.089665,92160,2,92232,nan,nan,open_loop,
1,200000010,892290388626119,7.15,1.04,open_loop,sent,892290388720744,892290388721269,892290388939258,0.09515,92160,2,92232,nan,nan,open_loop,
0,100000010,892290738626119,7.5,1.04,open_loop,sent,892290738703585,892290738703918,892290738942513,0.077799,92160,2,92232,nan,nan,open_loop,
1,200000011,892291138626119,7.9,1.04,open_loop,sent,892291138714601,892291138719121,892291138973251,0.093002,92160,2,92232,nan,nan,open_loop,
0,100000011,892291488626119,8.25,1.04,open_loop,sent,892291488853175,892291488853980,892291489082098,0.227861,92160,2,92232,nan,nan,open_loop,
1,200000012,892291838626119,8.6,1.04,open_loop,sent,892291838716801,892291838717368,892291839132741,0.091249,92160,2,92232,nan,nan,open_loop,
0,100000012,892292188626119,8.95,1.04,open_loop,sent,892292188857681,892292188859341,892292189112724,0.233222,92160,2,92232,nan,nan,open_loop,
1,200000013,892292538626119,9.3,1.04,open_loop,sent,892292538871582,892292538873195,892292539119747,0.247076,92160,2,92232,nan,nan,open_loop,
0,100000013,892292888626119,9.65,1.04,open_loop,sent,892292888797569,892292888799048,892292889049539,0.172929,92160,2,92232,nan,nan,open_loop,
1,200000014,892293238626119,10.0,1.04,open_loop,sent,892293238747713,892293238749175,892293239014744,0.123056,92160,2,92232,nan,nan,open_loop,
0,100000014,892293588626119,10.35,1.04,open_loop,sent,892293588748164,892293588749747,892293589167449,0.123628,92160,2,92232,nan,nan,open_loop,
1,200000015,892293938626119,10.7,1.04,open_loop,sent,892293938891712,892293938892472,892293939137879,0.266353,92160,2,92232,nan,nan,open_loop,
0,100000015,892294288626119,11.05,1.04,open_loop,sent,892294288722476,892294288723388,892294288979430,0.097269,92160,2,92232,nan,nan,open_loop,
1,200000016,892294638626119,11.4,1.04,open_loop,sent,892294638861874,892294638863214,892294639141122,0.237095,92160,2,92232,nan,nan,open_loop,
