time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
20:25:26.627370,0,35953,210,100,0,0,28,28,0,28,1,1,1000000,986774,988096,50000,150000,3,1
20:25:26.690232,0,7659,216,100,0,0,28,28,0,28,1,1,1000000,998932,999039,50000,150000,3,1
20:25:27.757249,0,35953,310,100,0,0,28,28,0,28,1,1,1000000,988096,989287,50000,150000,3,1
20:25:27.826191,0,7659,316,100,0,0,28,28,0,28,1,1,1000000,999039,999135,50000,150000,3,1
20:25:29.048037,0,35953,410,100,0,0,28,28,0,28,1,1,1000000,989287,990358,50000,150000,3,1
20:25:29.116306,0,7659,416,100,0,0,28,28,0,28,1,1,1000000,999135,999221,50000,150000,3,1
20:25:30.317239,0,35953,510,100,0,0,28,28,0,28,1,1,1000000,990358,991322,50000,150000,3,1
20:25:30.388195,0,7659,516,100,0,0,28,28,0,28,1,1,1000000,999221,999299,50000,150000,3,1
20:25:31.606680,0,35953,610,100,0,0,28,28,0,28,1,0,0,991322,892190,50000,150000,3,1
20:25:31.682090,0,7659,616,100,0,0,28,28,0,28,1,1,1000000,999299,999369,50000,150000,3,1
20:25:32.817032,0,35953,710,100,0,0,28,28,0,28,1,1,1000000,892190,902971,50000,150000,3,1
20:25:32.881811,0,7659,716,100,0,0,28,28,0,28,1,1,1000000,999369,999432,50000,150000,3,1
20:25:34.030220,0,35953,810,100,0,0,28,28,0,28,1,1,1000000,902971,912674,50000,150000,3,1
20:25:34.193258,0,7659,816,100,0,0,28,28,0,28,1,1,1000000,999432,999489,50000,150000,3,1
20:25:35.406221,0,35953,910,100,0,0,28,28,0,28,1,1,1000000,912674,921406,50000,150000,3,1
20:25:35.478257,0,7659,916,100,0,0,28,28,0,28,1,1,1000000,999489,999540,50000,150000,3,1
20:25:36.661903,0,35953,1008,98,0,0,28,28,0,28,1,1,1000000,921406,929266,50000,150000,3,1
20:25:36.675792,0,35953,1010,2,0,0,28,28,0,28,-1,-1,-1,929266,929266,50000,150000,0,0
20:25:36.719825,0,35953,1013,5,0,0,28,28,0,28,-1,-1,-1,929266,929266,50000,150000,0,0
20:25:36.745209,0,7659,1016,100,0,0,28,28,0,28,1,1,1000000,999540,999586,50000,150000,3,1
20:25:36.782127,0,35953,1019,11,0,0,28,28,0,28,3,3,1000000,929266,936339,50000,150000,3,1
20:25:36.839372,0,35953,0,5,0,0,28,28,0,28,-1,-1,-1,936339,936339,50000,150000,0,0
20:25:36.900716,0,35953,5,10,0,0,28,28,0,28,2,2,1000000,936339,942705,50000,150000,3,1
20:25:36.929093,0,35953,8,3,0,0,28,28,0,28,-1,-1,-1,942705,942705,50000,150000,0,0
20:25:36.957651,0,35953,10,5,0,0,28,28,0,28,-1,-1,-1,942705,942705,50000,150000,0,0
20:25:37.026123,0,7659,16,24,0,0,28,28,0,28,1,1,1000000,999586,999627,50000,150000,3,1
20:25:37.083849,0,35953,21,16,0,0,28,28,0,28,3,3,1000000,942705,948435,50000,150000,3,1
20:25:37.088400,0,7659,22,6,0,0,28,28,0,28,-1,-1,-1,999627,999627,50000,150000,0,0
20:25:37.117157,0,7659,24,8,0,0,28,28,0,28,-1,-1,-1,999627,999627,50000,150000,0,0
20:25:37.145918,0,7659,27,11,0,0,28,28,0,28,3,3,1000000,999627,999665,50000,150000,3,1
20:25:37.174871,0,7659,29,2,0,0,28,28,0,28,-1,-1,-1,999665,999665,50000,150000,0,0
20:25:37.203913,0,7659,32,5,0,0,28,28,0,28,-1,-1,-1,999665,999665,50000,150000,0,0
20:25:37.204545,0,35953,32,11,0,0,28,28,0,28,1,1,1000000,948435,953591,50000,150000,3,1
20:25:37.299388,0,35953,34,2,0,0,28,28,0,28,-1,-1,-1,953591,953591,50000,150000,0,0
20:25:37.299967,0,7659,34,7,0,0,28,28,0,28,-1,-1,-1,999665,999665,50000,150000,0,0
20:25:37.333747,0,35953,37,5,0,0,28,28,0,28,-1,-1,-1,953591,953591,50000,150000,0,0
20:25:37.430370,0,7659,44,17,0,0,28,28,0,28,4,4,1000000,999665,999698,50000,150000,2,1
20:25:37.457837,0,7659,47,3,0,0,28,28,0,28,-1,-1,-1,999698,999698,50000,150000,0,0
20:25:37.458419,0,35953,47,15,0,0,28,28,0,28,3,3,1000000,953591,958232,50000,150000,3,1
20:25:37.487029,0,7659,49,5,0,0,28,28,0,28,-1,-1,-1,999698,999698,50000,150000,0,0
20:25:37.487617,0,35953,49,2,0,0,28,28,0,28,-1,-1,-1,958232,958232,50000,150000,0,0
20:25:37.515747,0,7659,52,8,0,0,28,28,0,28,-1,-1,-1,999698,999698,50000,150000,0,0
20:25:37.604723,0,35953,59,12,0,0,28,28,0,28,2,2,1000000,958232,962409,50000,150000,3,1
20:25:37.632812,0,35953,62,3,0,0,28,28,0,28,-1,-1,-1,962409,962409,50000,150000,0,0
20:25:37.633438,0,7659,62,18,0,0,28,28,0,28,4,4,1000000,999698,999728,50000,150000,2,1
20:25:37.662747,0,35953,64,5,0,0,28,28,0,28,-1,-1,-1,962409,962409,50000,150000,0,0
20:25:37.757052,0,7659,72,10,0,0,28,28,0,28,1,1,1000000,999728,999755,50000,150000,3,1
20:25:37.785748,0,35953,75,16,0,0,28,28,0,28,3,3,1000000,962409,966168,50000,150000,3,1
20:25:37.878804,0,7659,83,11,0,0,28,28,0,28,1,1,1000000,999755,999780,50000,150000,3,1
20:25:37.906622,0,35953,85,10,0,0,28,28,0,28,1,1,1000000,966168,969551,50000,150000,3,1
20:25:37.909431,0,35953,86,1,0,0,28,28,0,28,-1,-1,-1,969551,969551,50000,150000,0,0
20:25:37.977111,0,7659,92,9,0,0,28,28,0,28,-1,-1,-1,999780,999780,50000,150000,0,0
20:25:37.996787,0,7659,93,10,0,0,28,28,0,28,2,2,1000000,999780,999802,50000,150000,3,1
20:25:38.020108,0,35953,95,10,0,0,28,28,0,28,2,2,1000000,969551,972596,50000,150000,3,1
20:25:38.048005,0,35953,98,3,0,0,28,28,0,28,-1,-1,-1,972596,972596,50000,150000,0,0
20:25:38.076907,0,35953,100,5,0,0,28,28,0,28,-1,-1,-1,972596,972596,50000,150000,0,0
20:25:38.116263,0,7659,104,11,0,0,28,28,0,28,1,1,1000000,999802,999822,50000,150000,3,1
