time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
20:25:25.917419,35953,142,8,60,48,1,101,0,5,8,890
20:25:25.938199,7659,144,8,60,48,1,92,0,5,8,890
20:25:26.031908,35953,152,8,60,48,1,92,0,5,8,890
20:25:26.052823,7659,154,8,60,48,1,101,0,5,8,890
20:25:26.136095,35953,162,8,60,48,1,101,0,5,8,890
20:25:26.156686,7659,164,8,60,48,2,101,0,5,8,890
20:25:26.239995,35953,172,8,60,48,2,101,0,5,8,890
20:25:26.260910,7659,174,8,60,48,1,101,0,5,8,890
20:25:26.343693,35953,182,8,60,48,1,101,0,5,8,890
20:25:26.364888,7659,184,8,60,48,1,92,0,5,8,890
20:25:26.447506,35953,192,8,60,48,1,92,0,5,8,890
20:25:26.468370,7659,194,8,60,48,1,101,0,5,8,890
20:25:26.551271,35953,202,8,60,48,1,101,0,5,8,890
20:25:26.572061,7659,204,8,60,48,1,101,0,5,8,890
20:25:26.655769,35953,212,8,60,48,1,101,0,5,8,890
20:25:26.677168,7659,214,8,60,48,2,101,0,5,8,890
20:25:26.804671,35953,222,8,60,48,2,101,0,5,8,890
20:25:26.825221,7659,224,8,60,48,1,92,0,5,8,890
20:25:26.907847,35953,232,8,60,48,1,92,0,5,8,890
20:25:26.928834,7659,234,8,60,48,1,101,0,5,8,890
20:25:27.012318,35953,242,8,60,48,1,101,0,5,8,890
20:25:27.033229,7659,244,8,60,48,1,101,0,5,8,890
20:25:27.118788,35953,252,8,60,48,1,101,0,5,8,890
20:25:27.140274,7659,254,8,60,48,1,101,0,5,8,890
20:25:27.224832,35953,262,8,60,48,2,101,0,5,8,890
20:25:27.245924,7659,264,8,60,48,2,92,0,5,8,890
20:25:27.331976,35953,272,8,60,48,1,92,0,5,8,890
20:25:27.352678,7659,274,8,60,48,1,101,0,5,8,890
20:25:27.437003,35953,282,8,60,48,1,101,0,5,8,890
20:25:27.460319,7659,284,8,55,48,1,101,0,5,8,890
20:25:27.555850,35953,292,8,60,48,1,101,0,5,8,890
20:25:27.579443,7659,294,8,60,48,1,101,0,5,8,890
20:25:27.672768,35953,302,8,60,48,1,101,0,5,8,890
20:25:27.696003,7659,304,8,60,48,2,92,0,5,8,890
20:25:27.788466,35953,312,8,60,48,2,92,0,5,8,890
20:25:27.811478,7659,314,8,60,48,1,101,0,5,8,890
20:25:27.995079,35953,322,8,60,48,1,101,0,5,8,890
20:25:28.019147,7659,324,8,60,48,1,101,0,5,8,890
20:25:28.111923,35953,332,8,60,48,1,101,0,5,8,890
20:25:28.135172,7659,334,8,60,48,1,101,0,5,8,890
20:25:28.227795,35953,342,8,60,48,1,101,0,5,8,890
20:25:28.249900,7659,344,8,60,48,1,92,0,5,8,890
