time,mono_sec,mono_nsec,rnti,frame,slot,sdu_bytes
20:25:25.917419,892570,980963838,35953,142,8,101
20:25:25.938198,892571,1743585,7659,144,8,92
20:25:26.031908,892571,95452848,35953,152,8,92
20:25:26.052822,892571,116367373,7659,154,8,101
20:25:26.136095,892571,199639963,35953,162,8,101
20:25:26.156685,892571,220230811,7659,164,8,101
20:25:26.239995,892571,303539802,35953,172,8,101
20:25:26.260909,892571,324454611,7659,174,8,101
20:25:26.343693,892571,407238278,35953,182,8,101
20:25:26.364887,892571,428432761,7659,184,8,92
20:25:26.447506,892571,511050853,35953,192,8,92
20:25:26.468370,892571,531915566,7659,194,8,101
20:25:26.551271,892571,614815818,35953,202,8,101
20:25:26.572061,892571,635606492,7659,204,8,101
20:25:26.655768,892571,719313657,35953,212,8,101
20:25:26.677168,892571,740712932,7659,214,8,101
20:25:26.804670,892571,868215627,35953,222,8,101
20:25:26.825220,892571,888765576,7659,224,8,92
20:25:26.907846,892571,971391765,35953,232,8,92
20:25:26.928833,892571,992378479,7659,234,8,101
20:25:27.012317,892572,75862637,35953,242,8,101
20:25:27.033229,892572,96774013,7659,244,8,101
20:25:27.118788,892572,182333310,35953,252,8,101
20:25:27.140274,892572,203819113,7659,254,8,101
20:25:27.224832,892572,288376855,35953,262,8,101
20:25:27.245924,892572,309469398,7659,264,8,92
20:25:27.331975,892572,395520751,35953,272,8,92
20:25:27.352678,892572,416223343,7659,274,8,101
20:25:27.437003,892572,500548372,35953,282,8,101
20:25:27.460319,892572,523863920,7659,284,8,101
20:25:27.555850,892572,619395373,35953,292,8,101
20:25:27.579443,892572,642988018,7659,294,8,101
20:25:27.672768,892572,736313325,35953,302,8,101
20:25:27.696002,892572,759547787,7659,304,8,92
20:25:27.788466,892572,852011469,35953,312,8,92
20:25:27.811478,892572,875023239,7659,314,8,101
20:25:27.995078,892573,58623575,35953,322,8,101
20:25:28.019147,892573,82692360,7659,324,8,101
20:25:28.111922,892573,175467522,35953,332,8,101
20:25:28.135172,892573,198717246,7659,334,8,101
20:25:28.227795,892573,291340055,35953,342,8,101
20:25:28.249899,892573,313444635,7659,344,8,92
20:25:28.335408,892573,398953203,35953,352,8,92
20:25:28.357193,892573,420738126,7659,354,8,101
20:25:28.443511,892573,507056652,35953,362,8,101
20:25:28.465031,892573,528576469,7659,364,8,101
20:25:28.551204,892573,614749674,35953,372,8,101
20:25:28.572661,892573,636205862,7659,374,8,101
20:25:28.658244,892573,721789746,35953,382,8,101
20:25:28.679861,892573,743406355,7659,384,8,92
20:25:28.765790,892573,829335610,35953,392,8,92
20:25:28.787311,892573,850856555,7659,394,8,101
20:25:28.965508,892574,29053003,35953,402,8,101
20:25:28.987957,892574,51501876,7659,404,8,101
20:25:29.078761,892574,142305950,35953,412,8,101
20:25:29.101559,892574,165104735,7659,414,8,101
20:25:29.192893,892574,256438452,35953,422,8,101
20:25:29.215322,892574,278867792,7659,424,8,92
20:25:29.311978,892574,375523693,35953,432,8,92
20:25:29.335757,892574,399302216,7659,434,8,101
20:25:29.430361,892574,493906818,35953,442,8,101
20:25:29.453297,892574,516841997,7659,444,8,101
20:25:29.549463,892574,613008378,35953,452,8,101
20:25:29.573690,892574,637235396,7659,454,8,101
20:25:29.669551,892574,733096411,35953,462,8,101
20:25:29.692833,892574,756378274,7659,464,8,92
20:25:29.788192,892574,851737287,35953,472,8,92
20:25:29.812548,892574,876093039,7659,474,8,101
20:25:29.997040,892575,60585619,35953,482,8,101
20:25:30.020104,892575,83649496,7659,484,8,101
20:25:30.113594,892575,177138987,35953,492,8,101
20:25:30.137186,892575,200731122,7659,494,8,101
20:25:30.229968,892575,293513370,35953,502,8,101
20:25:30.253369,892575,316914327,7659,504,8,92
20:25:30.349609,892575,413154557,35953,512,8,92
20:25:30.373269,892575,436814627,7659,514,8,101
20:25:30.468637,892575,532182206,35953,522,8,101
20:25:30.492680,892575,556224900,7659,524,8,101
20:25:30.587922,892575,651467425,35953,532,8,101
20:25:30.611867,892575,675411921,7659,534,8,101
20:25:30.707148,892575,770693638,35953,542,8,101
20:25:30.731062,892575,794607516,7659,544,8,92
20:25:30.824591,892575,888136120,35953,552,8,92
20:25:30.847107,892575,910651852,7659,554,8,101
20:25:31.035248,892576,98792871,35953,562,8,101
20:25:31.059595,892576,123140261,7659,564,8,101
20:25:31.155397,892576,218942265,35953,572,8,101
20:25:31.179830,892576,243375209,7659,574,8,101
20:25:31.276534,892576,340079462,35953,582,8,101
20:25:31.300115,892576,363660284,7659,584,8,92
20:25:31.397388,892576,460933811,35953,592,8,92
20:25:31.424034,892576,487579600,7659,594,8,101
20:25:31.519643,892576,583188000,35953,602,8,101
20:25:31.542990,892576,606535188,7659,604,8,101
20:25:31.641698,892576,705242925,35953,612,8,101
20:25:31.666941,892576,730486476,7659,614,8,101
20:25:31.760369,892576,823914139,35953,622,8,101
20:25:31.784004,892576,847548966,7659,624,8,92
20:25:31.877783,892576,941328000,35953,632,8,92
20:25:31.900887,892576,964432160,7659,634,8,101
20:25:32.085708,892577,149253048,35953,642,8,101
20:25:32.106855,892577,170400055,7659,644,8,101
20:25:32.193406,892577,256951670,35953,652,8,101
20:25:32.214661,892577,278206335,7659,654,8,101
20:25:32.301585,892577,365130220,35953,662,8,101
20:25:32.323038,892577,386583220,7659,664,8,92
20:25:32.410517,892577,474062018,35953,672,8,92
20:25:32.431596,892577,495141495,7659,674,8,101
20:25:32.519484,892577,583029736,35953,682,8,101
20:25:32.541416,892577,604961281,7659,684,8,101
20:25:32.628769,892577,692314630,35953,692,8,101
