time,eNB_ID,rnti,rb_id,length
20:24:07.972572,0,35953,1,0
20:24:07.972574,0,35953,4,1
20:24:08.026910,0,35953,1,0
20:24:08.026911,0,35953,4,1
20:24:08.178972,0,35953,1,0
20:24:08.178973,0,35953,4,1
20:24:08.237223,0,7659,1,0
20:24:08.237225,0,7659,4,1
20:24:08.316482,0,7659,1,0
20:24:08.316484,0,7659,4,1
20:24:08.369691,0,35953,1,0
20:24:08.369692,0,35953,4,1
20:24:08.427907,0,7659,1,0
20:24:08.427909,0,7659,4,1
20:24:08.454956,0,7659,1,0
20:24:08.454958,0,7659,4,1
20:24:08.481149,0,7659,1,0
20:24:08.481151,0,7659,4,1
20:24:08.481671,0,35953,1,0
20:24:08.481672,0,35953,4,1
20:24:08.507563,0,7659,1,0
20:24:08.507564,0,7659,4,1
20:24:08.508118,0,35953,1,0
20:24:08.508119,0,35953,4,1
20:24:08.534498,0,7659,1,0
20:24:08.534500,0,7659,4,1
20:24:08.619490,0,35953,1,0
20:24:08.619491,0,35953,4,1
20:24:08.642340,0,7659,1,0
20:24:08.642341,0,7659,4,1
20:24:08.646516,0,35953,1,0
20:24:08.646517,0,35953,4,1
20:24:08.667733,0,7659,1,0
20:24:08.667734,0,7659,4,1
20:24:08.753601,0,35953,1,0
20:24:08.753603,0,35953,4,1
20:24:08.774588,0,7659,1,0
20:24:08.774590,0,7659,4,1
20:24:08.779940,0,35953,1,0
20:24:08.779941,0,35953,4,1
20:24:08.800948,0,7659,1,0
20:24:08.800949,0,7659,4,1
20:24:08.887359,0,35953,1,0
20:24:08.887360,0,35953,4,1
20:24:08.912608,0,35953,1,0
20:24:08.912609,0,35953,4,1
20:24:08.913154,0,7659,1,0
20:24:08.913155,0,7659,4,1
20:24:08.940509,0,35953,1,0
20:24:08.940511,0,35953,4,1
20:24:09.026310,0,7659,1,0
20:24:09.026312,0,7659,4,1
20:24:09.048880,0,35953,1,0
20:24:09.048883,0,35953,4,1
20:24:09.166522,0,35953,1,0
20:24:09.166523,0,35953,4,1
20:24:09.194397,0,35953,1,0
20:24:09.194399,0,35953,4,1
20:24:09.222181,0,35953,1,0
20:24:09.222184,0,35953,4,1
20:24:09.232866,0,7659,1,0
20:24:09.232867,0,7659,4,1
20:24:09.250110,0,35953,1,0
20:24:09.250111,0,35953,4,1
20:24:09.343729,0,7659,1,0
20:24:09.343731,0,7659,4,1
20:24:09.359694,0,35953,1,0
20:24:09.359695,0,35953,4,1
20:24:09.369996,0,7659,1,0
20:24:09.369997,0,7659,4,1
20:24:09.473814,0,35953,1,0
20:24:09.473816,0,35953,4,1
20:24:09.479147,0,7659,1,0
20:24:09.479148,0,7659,4,1
20:24:09.505539,0,7659,1,0
20:24:09.505541,0,7659,4,1
20:24:09.533948,0,7659,1,0
20:24:09.533950,0,7659,4,1
20:24:09.589574,0,35953,1,0
20:24:09.589577,0,35953,4,1
20:24:09.642661,0,7659,1,0
20:24:09.642663,0,7659,4,1
20:24:09.668213,0,7659,1,0
20:24:09.668215,0,7659,4,1
20:24:09.695014,0,7659,1,0
20:24:09.695016,0,7659,4,1
20:24:09.701329,0,35953,1,0
20:24:09.701330,0,35953,4,1
20:24:09.721911,0,7659,1,0
20:24:09.721913,0,7659,4,1
20:24:09.748982,0,7659,1,0
20:24:09.748983,0,7659,4,1
20:24:09.813430,0,35953,1,0
20:24:09.813431,0,35953,4,1
20:24:09.856978,0,7659,1,0
20:24:09.856980,0,7659,4,1
20:24:09.882286,0,7659,1,0
20:24:09.882287,0,7659,4,1
20:24:09.908773,0,7659,1,0
20:24:09.908774,0,7659,4,1
20:24:09.920514,0,35953,1,0
20:24:09.920516,0,35953,4,1
20:24:09.934987,0,7659,1,0
20:24:09.934988,0,7659,4,1
20:24:09.945796,0,35953,1,0
